dimension,200,seed,1
,mode,2
times,cosR,error
0.000000,-0.001741,0.503600
0.100000,-0.000253,0.503200
0.200000,0.001733,0.502800
0.300000,0.003142,0.502700
0.400000,0.004934,0.502100
0.500000,0.006355,0.501600
0.600000,0.007922,0.501100
0.700000,0.009045,0.500400
0.800000,0.010807,0.500200
0.900000,0.012140,0.499800
1.000000,0.013687,0.498800
1.100000,0.015268,0.498400
1.200000,0.016864,0.497900
1.300000,0.018415,0.497200
1.400000,0.020318,0.496600
1.500000,0.022150,0.496100
1.600000,0.023622,0.495300
1.700000,0.025793,0.495500
1.800000,0.028033,0.494600
1.900000,0.029387,0.494600
2.000000,0.031014,0.494100
2.100000,0.032778,0.493300
2.200000,0.034198,0.492700
2.300000,0.035783,0.492100
2.400000,0.036988,0.492400
2.500000,0.038416,0.491800
2.600000,0.039834,0.491500
2.700000,0.041895,0.490800
2.800000,0.043660,0.490300
2.900000,0.045325,0.489200
3.000000,0.046858,0.488900
3.100000,0.048341,0.488900
3.200000,0.050244,0.488600
3.300000,0.051938,0.488000
3.400000,0.053554,0.487700
3.500000,0.055295,0.487300
3.600000,0.057152,0.486600
3.700000,0.059008,0.486300
3.800000,0.060549,0.486200
3.900000,0.061771,0.485600
4.000000,0.063890,0.485200
4.100000,0.065052,0.484900
4.200000,0.066700,0.484500
4.300000,0.068306,0.484000
4.400000,0.070618,0.483200
4.500000,0.072773,0.482800
4.600000,0.074249,0.482000
4.700000,0.075734,0.481500
4.800000,0.078074,0.480500
4.900000,0.079948,0.479800
5.000000,0.081971,0.479000
5.100000,0.084076,0.478700
5.200000,0.085455,0.478400
5.300000,0.087679,0.478100
5.400000,0.089306,0.477600
5.500000,0.091280,0.477000
5.600000,0.093090,0.475900
5.700000,0.094969,0.475500
5.800000,0.096647,0.475300
5.900000,0.098727,0.474700
6.000000,0.100859,0.474500
6.100000,0.103057,0.473800
6.200000,0.105085,0.473200
6.300000,0.106767,0.472400
6.400000,0.108987,0.471500
6.500000,0.110988,0.470800
6.600000,0.112568,0.470200
6.700000,0.114513,0.469300
6.800000,0.116151,0.468900
6.900000,0.117892,0.467700
7.000000,0.119579,0.467100
7.100000,0.121336,0.466900
7.200000,0.122902,0.466500
7.300000,0.124843,0.466400
7.400000,0.126222,0.466200
7.500000,0.128063,0.465000
7.600000,0.131070,0.463800
7.700000,0.133002,0.463200
7.800000,0.134667,0.462700
7.900000,0.136054,0.462400
8.000000,0.138644,0.461600
8.100000,0.140637,0.461000
8.200000,0.142883,0.460100
8.300000,0.145076,0.459100
8.400000,0.146018,0.458800
8.500000,0.148035,0.458500
8.600000,0.150035,0.458400
8.700000,0.152076,0.457700
8.800000,0.153872,0.457400
8.900000,0.156108,0.456700
9.000000,0.157650,0.456500
9.100000,0.159289,0.456500
9.200000,0.161643,0.456000
9.300000,0.163291,0.454800
9.400000,0.164879,0.454500
9.500000,0.166887,0.454200
9.600000,0.168756,0.454000
9.700000,0.171096,0.452700
9.800000,0.172562,0.452000
9.900000,0.174460,0.451800
10.000000,0.176663,0.450500
10.100000,0.178179,0.449900
10.200000,0.180160,0.449100
10.300000,0.182151,0.448700
10.400000,0.183702,0.448200
10.500000,0.185659,0.447700
10.600000,0.187420,0.447500
10.700000,0.189540,0.446500
10.800000,0.191655,0.446000
10.900000,0.193690,0.445000
11.000000,0.195706,0.444400
11.100000,0.197538,0.444000
11.200000,0.198891,0.443900
11.300000,0.200488,0.443600
11.400000,0.202436,0.441800
11.500000,0.204809,0.441600
11.600000,0.207285,0.439900
11.700000,0.209101,0.439600
11.800000,0.211085,0.438600
11.900000,0.213435,0.437800
12.000000,0.215322,0.437100
12.100000,0.217056,0.437100
12.200000,0.218859,0.436200
12.300000,0.221014,0.435500
