dimension,400,seed,1
,mode,adatron
times,cosR,error
0.000000,0.005153,0.504900
0.100000,0.328948,0.393500
0.200000,0.551310,0.307400
0.300000,0.714110,0.242500
0.400000,0.782930,0.210100
0.500000,0.832965,0.185100
0.600000,0.873822,0.157900
0.700000,0.903679,0.139700
0.800000,0.917690,0.128200
0.900000,0.931806,0.117400
1.000000,0.942254,0.110800
1.100000,0.954592,0.093800
1.200000,0.959944,0.088300
1.300000,0.965306,0.084100
1.400000,0.969133,0.079100
1.500000,0.972061,0.077200
1.600000,0.975272,0.070600
1.700000,0.978839,0.066900
1.800000,0.980447,0.063400
1.900000,0.982480,0.062400
2.000000,0.983738,0.061200
2.100000,0.985716,0.058800
2.200000,0.986529,0.057000
2.300000,0.987631,0.054200
2.400000,0.988277,0.053100
2.500000,0.989166,0.050600
2.600000,0.989740,0.049800
2.700000,0.990026,0.048400
2.800000,0.990325,0.047300
2.900000,0.990705,0.046000
3.000000,0.991204,0.043400
3.100000,0.992102,0.042700
3.200000,0.992447,0.040600
3.300000,0.992913,0.039100
3.400000,0.993656,0.036400
3.500000,0.993908,0.035500
3.600000,0.994136,0.035400
3.700000,0.994705,0.034100
3.800000,0.994953,0.032300
3.900000,0.995118,0.032000
4.000000,0.995318,0.030700
4.100000,0.995670,0.030400
4.200000,0.995764,0.030100
4.300000,0.995960,0.030000
4.400000,0.996174,0.026900
4.500000,0.996296,0.027800
4.600000,0.996461,0.027400
4.700000,0.996638,0.027700
4.800000,0.996744,0.028200
4.900000,0.996845,0.027100
5.000000,0.997005,0.027500
5.100000,0.997117,0.026100
5.200000,0.997213,0.025900
5.300000,0.997384,0.024000
5.400000,0.997401,0.024700
5.500000,0.997489,0.023900
5.600000,0.997566,0.024000
5.700000,0.997655,0.022900
5.800000,0.997689,0.023500
5.900000,0.997784,0.022900
6.000000,0.997834,0.022300
6.100000,0.997864,0.022200
6.200000,0.997912,0.022400
6.300000,0.997938,0.021300
6.400000,0.998009,0.020600
6.500000,0.998051,0.020100
6.600000,0.998164,0.019900
6.700000,0.998179,0.019900
6.800000,0.998235,0.018800
6.900000,0.998309,0.018900
7.000000,0.998317,0.019400
7.100000,0.998387,0.018500
7.200000,0.998442,0.017800
7.300000,0.998469,0.018200
7.400000,0.998566,0.017800
7.500000,0.998609,0.018000
7.600000,0.998616,0.018100
7.700000,0.998688,0.018000
7.800000,0.998726,0.017400
7.900000,0.998752,0.016600
8.000000,0.998779,0.016200
8.100000,0.998829,0.015900
8.200000,0.998846,0.016000
8.300000,0.998916,0.016300
8.400000,0.998916,0.016300
8.500000,0.998929,0.016600
8.600000,0.998948,0.016400
8.700000,0.998964,0.016300
8.800000,0.999018,0.015900
8.900000,0.999025,0.016200
9.000000,0.999062,0.014900
9.100000,0.999080,0.014900
9.200000,0.999107,0.014400
9.300000,0.999117,0.014100
9.400000,0.999130,0.014400
9.500000,0.999139,0.014400
9.600000,0.999158,0.014800
9.700000,0.999168,0.014100
9.800000,0.999172,0.014500
9.900000,0.999196,0.013500
10.000000,0.999211,0.013500
