t,eg
0.000000,-nan
0.001000,0.499746
0.002000,0.499493
0.003000,0.499239
0.004000,0.498986
0.005000,0.498733
0.006000,0.498481
0.007000,0.498228
0.008000,0.497976
0.009000,0.497724
0.010000,0.497473
0.011000,0.497222
0.012000,0.496971
0.013000,0.496720
0.014000,0.496469
0.015000,0.496219
0.016000,0.495969
0.017000,0.495719
0.018000,0.495469
0.019000,0.495220
0.020000,0.494971
0.021000,0.494722
0.022000,0.494474
0.023000,0.494225
0.024000,0.493977
0.025000,0.493729
0.026000,0.493482
0.027000,0.493234
0.028000,0.492987
0.029000,0.492741
0.030000,0.492494
0.031000,0.492248
0.032000,0.492001
0.033000,0.491756
0.034000,0.491510
0.035000,0.491265
0.036000,0.491020
0.037000,0.490775
0.038000,0.490530
0.039000,0.490286
0.040000,0.490042
0.041000,0.489798
0.042000,0.489554
0.043000,0.489311
0.044000,0.489067
0.045000,0.488825
0.046000,0.488582
0.047000,0.488339
0.048000,0.488097
0.049000,0.487855
0.050000,0.487614
0.051000,0.487372
0.052000,0.487131
0.053000,0.486890
0.054000,0.486649
0.055000,0.486409
0.056000,0.486168
0.057000,0.485928
0.058000,0.485689
0.059000,0.485449
0.060000,0.485210
0.061000,0.484971
0.062000,0.484732
0.063000,0.484493
0.064000,0.484255
0.065000,0.484017
0.066000,0.483779
0.067000,0.483541
0.068000,0.483304
0.069000,0.483067
0.070000,0.482830
0.071000,0.482593
0.072000,0.482357
0.073000,0.482120
0.074000,0.481884
0.075000,0.481649
0.076000,0.481413
0.077000,0.481178
0.078000,0.480943
0.079000,0.480708
0.080000,0.480474
0.081000,0.480239
0.082000,0.480005
0.083000,0.479771
0.084000,0.479538
0.085000,0.479304
0.086000,0.479071
0.087000,0.478838
0.088000,0.478605
0.089000,0.478373
0.090000,0.478141
0.091000,0.477909
0.092000,0.477677
0.093000,0.477445
0.094000,0.477214
0.095000,0.476983
0.096000,0.476752
0.097000,0.476522
0.098000,0.476291
0.099000,0.476061
0.100000,0.475831
0.101000,0.475601
0.102000,0.475372
0.103000,0.475143
0.104000,0.474914
0.105000,0.474685
0.106000,0.474456
0.107000,0.474228
0.108000,0.474000
0.109000,0.473772
0.110000,0.473544
0.111000,0.473317
0.112000,0.473090
0.113000,0.472863
0.114000,0.472636
0.115000,0.472409
0.116000,0.472183
0.117000,0.471957
0.118000,0.471731
0.119000,0.471506
0.120000,0.471280
0.121000,0.471055
0.122000,0.470830
0.123000,0.470605
0.124000,0.470381
0.125000,0.470157
0.126000,0.469933
0.127000,0.469709
0.128000,0.469485
0.129000,0.469262
0.130000,0.469039
0.131000,0.468816
0.132000,0.468593
0.133000,0.468370
0.134000,0.468148
0.135000,0.467926
0.136000,0.467704
0.137000,0.467483
0.138000,0.467261
0.139000,0.467040
0.140000,0.466819
0.141000,0.466598
0.142000,0.466378
0.143000,0.466158
0.144000,0.465937
0.145000,0.465718
0.146000,0.465498
0.147000,0.465278
0.148000,0.465059
0.149000,0.464840
0.150000,0.464622
0.151000,0.464403
0.152000,0.464185
0.153000,0.463967
0.154000,0.463749
0.155000,0.463531
0.156000,0.463313
0.157000,0.463096
0.158000,0.462879
0.159000,0.462662
0.160000,0.462446
0.161000,0.462229
0.162000,0.462013
0.163000,0.461797
0.164000,0.461581
0.165000,0.461366
0.166000,0.461151
0.167000,0.460935
0.168000,0.460721
0.169000,0.460506
0.170000,0.460291
0.171000,0.460077
0.172000,0.459863
0.173000,0.459649
0.174000,0.459436
0.175000,0.459222
0.176000,0.459009
0.177000,0.458796
0.178000,0.458583
0.179000,0.458371
0.180000,0.458158
0.181000,0.457946
0.182000,0.457734
0.183000,0.457522
0.184000,0.457311
0.185000,0.457100
0.186000,0.456888
0.187000,0.456678
0.188000,0.456467
0.189000,0.456256
0.190000,0.456046
0.191000,0.455836
0.192000,0.455626
0.193000,0.455416
0.194000,0.455207
0.195000,0.454998
0.196000,0.454789
0.197000,0.454580
0.198000,0.454371
0.199000,0.454163
0.200000,0.453955
0.201000,0.453747
0.202000,0.453539
0.203000,0.453331
0.204000,0.453124
0.205000,0.452917
0.206000,0.452710
0.207000,0.452503
0.208000,0.452296
0.209000,0.452090
0.210000,0.451884
0.211000,0.451678
0.212000,0.451472
0.213000,0.451267
0.214000,0.451061
0.215000,0.450856
0.216000,0.450651
0.217000,0.450446
0.218000,0.450242
0.219000,0.450037
0.220000,0.449833
0.221000,0.449629
0.222000,0.449426
0.223000,0.449222
0.224000,0.449019
0.225000,0.448815
0.226000,0.448613
0.227000,0.448410
0.228000,0.448207
0.229000,0.448005
0.230000,0.447803
0.231000,0.447601
0.232000,0.447399
0.233000,0.447197
0.234000,0.446996
0.235000,0.446795
0.236000,0.446594
0.237000,0.446393
0.238000,0.446193
0.239000,0.445992
0.240000,0.445792
0.241000,0.445592
0.242000,0.445392
0.243000,0.445193
0.244000,0.444993
0.245000,0.444794
0.246000,0.444595
0.247000,0.444396
0.248000,0.444198
0.249000,0.443999
0.250000,0.443801
0.251000,0.443603
0.252000,0.443405
0.253000,0.443207
0.254000,0.443010
0.255000,0.442813
0.256000,0.442616
0.257000,0.442419
0.258000,0.442222
0.259000,0.442025
0.260000,0.441829
0.261000,0.441633
0.262000,0.441437
0.263000,0.441241
0.264000,0.441046
0.265000,0.440850
0.266000,0.440655
0.267000,0.440460
0.268000,0.440266
0.269000,0.440071
0.270000,0.439877
0.271000,0.439682
0.272000,0.439488
0.273000,0.439294
0.274000,0.439101
0.275000,0.438907
0.276000,0.438714
0.277000,0.438521
0.278000,0.438328
0.279000,0.438135
0.280000,0.437943
0.281000,0.437751
0.282000,0.437558
0.283000,0.437366
0.284000,0.437175
0.285000,0.436983
0.286000,0.436792
0.287000,0.436600
0.288000,0.436409
0.289000,0.436219
0.290000,0.436028
0.291000,0.435837
0.292000,0.435647
0.293000,0.435457
0.294000,0.435267
0.295000,0.435077
0.296000,0.434888
0.297000,0.434698
0.298000,0.434509
0.299000,0.434320
0.300000,0.434131
0.301000,0.433943
0.302000,0.433754
0.303000,0.433566
0.304000,0.433378
0.305000,0.433190
0.306000,0.433002
0.307000,0.432815
0.308000,0.432627
0.309000,0.432440
0.310000,0.432253
0.311000,0.432066
0.312000,0.431880
0.313000,0.431693
0.314000,0.431507
0.315000,0.431321
0.316000,0.431135
0.317000,0.430949
0.318000,0.430764
0.319000,0.430578
0.320000,0.430393
0.321000,0.430208
0.322000,0.430023
0.323000,0.429839
0.324000,0.429654
0.325000,0.429470
0.326000,0.429286
0.327000,0.429102
0.328000,0.428918
0.329000,0.428734
0.330000,0.428551
0.331000,0.428368
0.332000,0.428184
0.333000,0.428002
0.334000,0.427819
0.335000,0.427636
0.336000,0.427454
0.337000,0.427272
0.338000,0.427090
0.339000,0.426908
0.340000,0.426726
0.341000,0.426545
0.342000,0.426363
0.343000,0.426182
0.344000,0.426001
0.345000,0.425820
0.346000,0.425640
0.347000,0.425459
0.348000,0.425279
0.349000,0.425099
0.350000,0.424919
0.351000,0.424739
0.352000,0.424559
0.353000,0.424380
0.354000,0.424201
0.355000,0.424022
0.356000,0.423843
0.357000,0.423664
0.358000,0.423485
0.359000,0.423307
0.360000,0.423129
0.361000,0.422951
0.362000,0.422773
0.363000,0.422595
0.364000,0.422418
0.365000,0.422240
0.366000,0.422063
0.367000,0.421886
0.368000,0.421709
0.369000,0.421532
0.370000,0.421356
0.371000,0.421179
0.372000,0.421003
0.373000,0.420827
0.374000,0.420651
0.375000,0.420476
0.376000,0.420300
0.377000,0.420125
0.378000,0.419949
0.379000,0.419774
0.380000,0.419600
0.381000,0.419425
0.382000,0.419250
0.383000,0.419076
0.384000,0.418902
0.385000,0.418728
0.386000,0.418554
0.387000,0.418380
0.388000,0.418207
0.389000,0.418033
0.390000,0.417860
0.391000,0.417687
0.392000,0.417514
0.393000,0.417341
0.394000,0.417169
0.395000,0.416996
0.396000,0.416824
0.397000,0.416652
0.398000,0.416480
0.399000,0.416308
0.400000,0.416137
0.401000,0.415965
0.402000,0.415794
0.403000,0.415623
0.404000,0.415452
0.405000,0.415281
0.406000,0.415111
0.407000,0.414940
0.408000,0.414770
0.409000,0.414600
0.410000,0.414430
0.411000,0.414260
0.412000,0.414090
0.413000,0.413921
0.414000,0.413751
0.415000,0.413582
0.416000,0.413413
0.417000,0.413244
0.418000,0.413076
0.419000,0.412907
0.420000,0.412739
0.421000,0.412571
0.422000,0.412403
0.423000,0.412235
0.424000,0.412067
0.425000,0.411899
0.426000,0.411732
0.427000,0.411565
0.428000,0.411397
0.429000,0.411231
0.430000,0.411064
0.431000,0.410897
0.432000,0.410731
0.433000,0.410564
0.434000,0.410398
0.435000,0.410232
0.436000,0.410066
0.437000,0.409900
0.438000,0.409735
0.439000,0.409569
0.440000,0.409404
0.441000,0.409239
0.442000,0.409074
0.443000,0.408909
0.444000,0.408745
0.445000,0.408580
0.446000,0.408416
0.447000,0.408252
0.448000,0.408088
0.449000,0.407924
0.450000,0.407760
0.451000,0.407597
0.452000,0.407433
0.453000,0.407270
0.454000,0.407107
0.455000,0.406944
0.456000,0.406781
0.457000,0.406618
0.458000,0.406456
0.459000,0.406294
0.460000,0.406131
0.461000,0.405969
0.462000,0.405807
0.463000,0.405646
0.464000,0.405484
0.465000,0.405323
0.466000,0.405161
0.467000,0.405000
0.468000,0.404839
0.469000,0.404678
0.470000,0.404518
0.471000,0.404357
0.472000,0.404197
0.473000,0.404037
0.474000,0.403876
0.475000,0.403716
0.476000,0.403557
0.477000,0.403397
0.478000,0.403237
0.479000,0.403078
0.480000,0.402919
0.481000,0.402760
0.482000,0.402601
0.483000,0.402442
0.484000,0.402284
0.485000,0.402125
0.486000,0.401967
0.487000,0.401809
0.488000,0.401650
0.489000,0.401493
0.490000,0.401335
0.491000,0.401177
0.492000,0.401020
0.493000,0.400862
0.494000,0.400705
0.495000,0.400548
0.496000,0.400391
0.497000,0.400235
0.498000,0.400078
0.499000,0.399922
0.500000,0.399765
0.501000,0.399609
0.502000,0.399453
0.503000,0.399297
0.504000,0.399142
0.505000,0.398986
0.506000,0.398831
0.507000,0.398675
0.508000,0.398520
0.509000,0.398365
0.510000,0.398210
0.511000,0.398055
0.512000,0.397901
0.513000,0.397746
0.514000,0.397592
0.515000,0.397438
0.516000,0.397284
0.517000,0.397130
0.518000,0.396976
0.519000,0.396823
0.520000,0.396669
0.521000,0.396516
0.522000,0.396363
0.523000,0.396210
0.524000,0.396057
0.525000,0.395904
0.526000,0.395751
0.527000,0.395599
0.528000,0.395447
0.529000,0.395294
0.530000,0.395142
0.531000,0.394990
0.532000,0.394839
0.533000,0.394687
0.534000,0.394535
0.535000,0.394384
0.536000,0.394233
0.537000,0.394082
0.538000,0.393931
0.539000,0.393780
0.540000,0.393629
0.541000,0.393479
0.542000,0.393328
0.543000,0.393178
0.544000,0.393028
0.545000,0.392878
0.546000,0.392728
0.547000,0.392578
0.548000,0.392429
0.549000,0.392279
0.550000,0.392130
0.551000,0.391981
0.552000,0.391832
0.553000,0.391683
0.554000,0.391534
0.555000,0.391385
0.556000,0.391237
0.557000,0.391088
0.558000,0.390940
0.559000,0.390792
0.560000,0.390644
0.561000,0.390496
0.562000,0.390348
0.563000,0.390201
0.564000,0.390053
0.565000,0.389906
0.566000,0.389759
0.567000,0.389612
0.568000,0.389465
0.569000,0.389318
0.570000,0.389171
0.571000,0.389025
0.572000,0.388879
0.573000,0.388732
0.574000,0.388586
0.575000,0.388440
0.576000,0.388294
0.577000,0.388149
0.578000,0.388003
0.579000,0.387857
0.580000,0.387712
0.581000,0.387567
0.582000,0.387422
0.583000,0.387277
0.584000,0.387132
0.585000,0.386987
0.586000,0.386843
0.587000,0.386698
0.588000,0.386554
0.589000,0.386410
0.590000,0.386266
0.591000,0.386122
0.592000,0.385978
0.593000,0.385835
0.594000,0.385691
0.595000,0.385548
0.596000,0.385404
0.597000,0.385261
0.598000,0.385118
0.599000,0.384975
0.600000,0.384833
0.601000,0.384690
0.602000,0.384547
0.603000,0.384405
0.604000,0.384263
0.605000,0.384121
0.606000,0.383979
0.607000,0.383837
0.608000,0.383695
0.609000,0.383553
0.610000,0.383412
0.611000,0.383271
0.612000,0.383129
0.613000,0.382988
0.614000,0.382847
0.615000,0.382706
0.616000,0.382566
0.617000,0.382425
0.618000,0.382284
0.619000,0.382144
0.620000,0.382004
0.621000,0.381864
0.622000,0.381724
0.623000,0.381584
0.624000,0.381444
0.625000,0.381304
0.626000,0.381165
0.627000,0.381026
0.628000,0.380886
0.629000,0.380747
0.630000,0.380608
0.631000,0.380469
0.632000,0.380331
0.633000,0.380192
0.634000,0.380053
0.635000,0.379915
0.636000,0.379777
0.637000,0.379639
0.638000,0.379501
0.639000,0.379363
0.640000,0.379225
0.641000,0.379087
0.642000,0.378950
0.643000,0.378812
0.644000,0.378675
0.645000,0.378538
0.646000,0.378401
0.647000,0.378264
0.648000,0.378127
0.649000,0.377990
0.650000,0.377854
0.651000,0.377717
0.652000,0.377581
0.653000,0.377445
0.654000,0.377309
0.655000,0.377173
0.656000,0.377037
0.657000,0.376901
0.658000,0.376765
0.659000,0.376630
0.660000,0.376494
0.661000,0.376359
0.662000,0.376224
0.663000,0.376089
0.664000,0.375954
0.665000,0.375819
0.666000,0.375685
0.667000,0.375550
0.668000,0.375416
0.669000,0.375281
0.670000,0.375147
0.671000,0.375013
0.672000,0.374879
0.673000,0.374745
0.674000,0.374611
0.675000,0.374478
0.676000,0.374344
0.677000,0.374211
0.678000,0.374078
0.679000,0.373944
0.680000,0.373811
