dimension,300,seed,1
,mode,1
times,cosR,error
0.000000,-0.049834,0.520900
0.100000,-0.026042,0.512400
0.200000,-0.002613,0.506700
0.300000,0.019028,0.499000
0.400000,0.046115,0.490800
0.500000,0.070787,0.481700
0.600000,0.094271,0.473800
0.700000,0.117933,0.463800
0.800000,0.142655,0.456400
0.900000,0.169330,0.448000
1.000000,0.197977,0.438300
1.100000,0.228345,0.429400
1.200000,0.255054,0.420200
1.300000,0.282440,0.414000
1.400000,0.307370,0.405800
1.500000,0.331756,0.398600
1.600000,0.359076,0.391900
1.700000,0.385804,0.383000
1.800000,0.416459,0.372600
1.900000,0.441237,0.362000
2.000000,0.468424,0.353200
2.100000,0.491645,0.345700
2.200000,0.514072,0.335100
2.300000,0.545220,0.324000
2.400000,0.570926,0.315100
2.500000,0.594993,0.307300
2.600000,0.616878,0.295800
2.700000,0.640200,0.285700
2.800000,0.661852,0.277700
2.900000,0.684651,0.267100
3.000000,0.702920,0.256600
3.100000,0.718385,0.251600
3.200000,0.734843,0.241000
3.300000,0.755202,0.229700
3.400000,0.773617,0.221500
3.500000,0.790371,0.212300
3.600000,0.804393,0.205100
3.700000,0.819401,0.197200
3.800000,0.831775,0.188800
3.900000,0.843772,0.183400
4.000000,0.855735,0.174500
4.100000,0.867089,0.170000
4.200000,0.878020,0.162100
4.300000,0.886575,0.155900
4.400000,0.894906,0.151200
4.500000,0.902745,0.145600
4.600000,0.908579,0.142200
4.700000,0.915535,0.136000
4.800000,0.922840,0.131400
4.900000,0.930659,0.125300
5.000000,0.935683,0.119800
5.100000,0.940456,0.114100
5.200000,0.943213,0.110400
5.300000,0.948131,0.106900
5.400000,0.951055,0.104900
5.500000,0.954056,0.101500
5.600000,0.956294,0.099500
5.700000,0.959465,0.095600
5.800000,0.962745,0.089600
5.900000,0.964966,0.087300
6.000000,0.968004,0.084500
6.100000,0.970352,0.079900
6.200000,0.972070,0.080600
6.300000,0.973592,0.078200
6.400000,0.975979,0.073600
6.500000,0.977886,0.071000
6.600000,0.979328,0.068100
6.700000,0.981198,0.066400
6.800000,0.982231,0.063500
6.900000,0.983347,0.062000
7.000000,0.984503,0.058800
7.100000,0.985331,0.056600
7.200000,0.985817,0.056100
7.300000,0.987130,0.053700
7.400000,0.987884,0.051300
7.500000,0.988497,0.049700
7.600000,0.989413,0.048700
7.700000,0.990132,0.047800
7.800000,0.990523,0.046000
7.900000,0.990883,0.045400
8.000000,0.991194,0.044300
8.100000,0.991685,0.043600
8.200000,0.992195,0.040900
8.300000,0.992323,0.040900
8.400000,0.992750,0.039400
8.500000,0.993085,0.039100
8.600000,0.993580,0.036900
8.700000,0.994049,0.035300
8.800000,0.994237,0.033700
8.900000,0.994411,0.034500
9.000000,0.994579,0.033500
9.100000,0.994966,0.031800
9.200000,0.995208,0.031100
9.300000,0.995525,0.029900
9.400000,0.995685,0.030000
9.500000,0.995835,0.029200
9.600000,0.996090,0.029000
9.700000,0.996362,0.028300
9.800000,0.996592,0.026200
9.900000,0.996654,0.025300
10.000000,0.996865,0.024900
