dimension,200,seed,1
,mode,0
times,cosR,error
0.000000,-0.001741,0.503600
0.100000,0.057125,0.486800
0.200000,0.118378,0.469500
0.300000,0.173258,0.453700
0.400000,0.227011,0.436100
0.500000,0.280020,0.417600
0.600000,0.327955,0.400400
0.700000,0.368245,0.385700
0.800000,0.414234,0.369600
0.900000,0.450410,0.355200
1.000000,0.485355,0.344300
1.100000,0.519083,0.331500
1.200000,0.549795,0.319000
1.300000,0.578675,0.306000
1.400000,0.604600,0.294100
1.500000,0.631773,0.283400
1.600000,0.655843,0.272700
1.700000,0.680384,0.262700
1.800000,0.704370,0.247700
1.900000,0.721537,0.240200
2.000000,0.737256,0.233800
2.100000,0.753382,0.226100
2.200000,0.765479,0.223100
2.300000,0.778261,0.214600
2.400000,0.787517,0.209900
2.500000,0.797871,0.207300
2.600000,0.806673,0.203000
2.700000,0.819084,0.196700
2.800000,0.827539,0.193900
2.900000,0.835675,0.188500
3.000000,0.844022,0.185400
3.100000,0.850623,0.180900
3.200000,0.857548,0.176000
3.300000,0.863238,0.170700
3.400000,0.868283,0.167900
3.500000,0.872896,0.165000
3.600000,0.877988,0.162700
3.700000,0.883376,0.159200
3.800000,0.888007,0.157100
3.900000,0.890834,0.156000
4.000000,0.894600,0.154000
4.100000,0.896674,0.152000
4.200000,0.901214,0.148100
4.300000,0.905010,0.145200
4.400000,0.909566,0.142000
4.500000,0.913378,0.140100
4.600000,0.915890,0.137000
4.700000,0.918674,0.133000
4.800000,0.923082,0.130900
4.900000,0.925601,0.130100
5.000000,0.928044,0.127200
5.100000,0.930649,0.125600
5.200000,0.931957,0.123800
5.300000,0.935040,0.122100
5.400000,0.936980,0.120300
5.500000,0.938829,0.118100
5.600000,0.940899,0.115000
5.700000,0.943422,0.111200
5.800000,0.945077,0.108500
5.900000,0.946761,0.108200
6.000000,0.948604,0.107000
6.100000,0.950091,0.104900
6.200000,0.951428,0.103200
6.300000,0.952847,0.102300
6.400000,0.954244,0.100300
6.500000,0.955519,0.099300
6.600000,0.956275,0.098300
6.700000,0.956998,0.097300
6.800000,0.957850,0.096800
6.900000,0.958351,0.095700
7.000000,0.958894,0.095000
7.100000,0.959800,0.093000
7.200000,0.960166,0.092800
7.300000,0.961498,0.091700
7.400000,0.961975,0.090900
7.500000,0.962583,0.088900
7.600000,0.963856,0.087700
7.700000,0.964666,0.087200
7.800000,0.964969,0.087300
7.900000,0.965033,0.087500
8.000000,0.965983,0.086400
8.100000,0.966652,0.085400
8.200000,0.967560,0.085800
8.300000,0.968167,0.084500
8.400000,0.967901,0.084400
8.500000,0.968701,0.082000
8.600000,0.969246,0.081300
8.700000,0.969518,0.080900
8.800000,0.970116,0.080800
8.900000,0.970459,0.081100
9.000000,0.970696,0.080500
9.100000,0.971084,0.080500
9.200000,0.971576,0.079100
9.300000,0.971973,0.078100
9.400000,0.972324,0.077700
9.500000,0.972999,0.076800
9.600000,0.973586,0.076800
9.700000,0.974034,0.075700
9.800000,0.974206,0.075200
9.900000,0.974682,0.075500
10.000000,0.975124,0.073700
