parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,WFG4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimension,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_generation,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent_size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_size,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,1782042351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning_rate,0.004166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.890938272,2.964269891,2.935541889,6.341767437,6.110589676,2.474032525,3.806592385,15.21272299,6.248128321,4.670943323,14.32716558,4.423596105,16.56389556,21.72097048,19.02662491,23.66945794,23.70838618,15.91188204,6.941581998,15.79245721,15.08402475,14.51110734,35.94437925,30.19167382,1.559594057,3.303189052,0,0.134355664,0,1
1,1.268787019,0.052263348,0.556429315,7.870234367,2.486445621,4.034563146,1.817489141,13.50268495,7.094254359,9.560314877,20.93169313,4.655527616,16.75654528,15.88140759,15.48820587,16.72172641,31.97493417,25.4794063,36.76416335,6.773639722,1.731135075,0.722928401,14.88540863,29.53091098,2.079194916,2.312446364,0,inf,0,1
2,0.072777597,2.21982248,2.025314766,7.864872843,6.935396133,4.190323605,8.420327039,8.99996504,10.16673183,19.8644343,20.09730213,9.56188843,7.951519381,2.613850306,12.40552199,1.320445532,27.47947443,17.03608663,32.86923358,19.44770023,15.12777467,38.95922384,26.99072097,17.85996549,1.674445509,3.207136513,0,0.193515134,0,1
3,0.310543729,2.367260009,4.209736238,2.442202649,4.588202153,7.514997366,4.406688531,6.406185539,16.51194616,5.627051904,18.96877288,11.42368318,12.77681473,24.83028775,8.332215543,20.15230695,15.49501429,8.22610767,18.91496542,39.48002557,20.1184318,33.07969042,18.31955904,20.81662933,0.951650578,3.951994403,0,0.195259012,0,1
4,1.15519526,3.329029125,1.657346228,0.27585501,4.742793459,8.310589529,4.377633194,5.201717896,8.596349825,17.34863258,8.364470746,18.61405712,22.60171029,17.55294569,29.77122946,22.32590443,11.90979715,6.666813986,30.33331879,16.13199105,27.75539762,16.64461312,21.46943721,4.767685256,1.617898889,3.263012487,0,0.129728424,0,1
5,1.092625641,0.310088874,5.606531507,5.012118194,3.540265423,0.735972877,6.195663948,7.387411309,7.502796446,8.979978862,2.096418463,12.70453317,11.25819606,12.49838409,2.612644861,3.798379494,25.01688202,16.58004539,1.010292915,36.86941517,28.82574621,35.440022,17.21608408,7.665065783,1.547345188,3.429270294,0,0.176219229,0,1
6,0.399117513,1.477146411,2.440426649,7.702554233,3.981309561,1.747727742,6.816629887,12.47556207,1.971875053,11.01006337,6.80149167,15.09558915,5.119220294,13.35008033,19.61875475,15.0105201,25.00758328,24.23914973,14.50680384,13.3768471,38.6950666,22.25530486,32.83074784,36.17214994,1.122338182,3.858592232,0,0.08704542,0,1
7,1.351542964,1.31569521,1.541537035,4.929973946,7.174752989,6.653686426,9.930441346,1.16887065,9.941201039,2.819219119,16.15912837,19.36350157,17.60452157,15.68182118,23.77597488,5.850813943,1.190876069,4.777581417,14.92148366,35.84427451,29.0556636,21.41535423,28.85519941,18.0502395,0.90812822,4.168033201,0,0.119642256,0,1
8,1.995695991,3.728338494,1.439947708,4.290760138,0.273881338,5.946410633,10.59809796,5.532579456,15.96568153,16.41319719,13.38189154,3.570812073,12.41642692,1.996578656,25.69302689,1.281425503,21.79958353,12.1186891,12.93948265,21.10969962,31.62781848,14.99380552,10.61842241,20.92023337,1.801170381,2.956135465,0,0.169258468,0,1
9,0.079642093,0.336238831,1.045773448,0.040746292,7.838247076,8.887301532,4.855944934,0.695098082,10.52646542,19.87189942,1.975744828,14.2073425,9.531942476,14.56640622,26.41612319,17.55122804,12.89081917,18.67588079,4.841479115,10.33149297,36.34055153,19.10022488,31.50608403,46.5661179,1.926655315,2.795266015,0,0.093354254,0,1
10,0.049754148,0.535223218,4.184020341,6.495535596,6.132594257,1.162712957,0.78893407,9.204035668,14.67741646,9.968210172,7.160926301,8.578002777,14.73803643,3.039886486,16.89771851,3.322957577,16.05290908,31.82180876,4.858568899,23.8930477,19.86182535,26.67012753,10.52344589,13.13745476,1.746574733,3.013221841,0,0.091782539,0,1
11,0.419725258,2.49053046,5.921948912,7.49845302,6.544341147,8.331423009,5.229573673,8.904169477,10.57325584,11.24156301,8.94774943,8.794271634,7.940449322,12.35045763,7.992324118,25.28144159,8.231278731,34.15265112,34.8332368,27.04246146,19.88094728,40.01471844,15.05398668,39.48331401,1.718555077,3.022218243,0,0.149559501,0,1
12,0.594447352,0.789228046,2.379678064,4.997267722,6.503849827,6.98863388,5.567003474,6.915658549,13.53728911,0.350130727,19.93371068,19.62228979,20.86788766,1.366495719,10.89458732,5.851361485,7.527035379,34.61965047,1.803229735,0.702040326,14.10303321,28.57186721,11.68316795,25.2265264,0.886686079,4.234765779,0,0.09032014,0,1
13,0.912685105,0.833250773,1.567313784,1.517048625,3.663353169,6.849558151,9.992107937,7.07111986,13.52052067,19.09143461,2.364038262,6.67586209,7.620052266,3.511359981,27.46899284,23.48516943,21.85617152,4.207811658,13.77921508,0.118557149,22.20692464,3.657786048,19.95766722,39.77137836,0.840016184,4.251259667,0,0.069987643,0,1
14,1.996354606,1.35760224,3.816994293,1.60996302,1.12264845,8.78355759,3.45800706,8.587751083,0.667162512,16.0457783,11.70188192,15.58521188,2.168122498,8.536827392,13.64691887,15.66585973,13.20439344,32.90252457,4.685216974,13.38791299,27.21531823,24.67219545,18.39072847,19.32505167,1.361542224,3.627515595,0,0.135207135,0,1
15,0.376725729,2.042591522,2.380466033,3.527971261,5.833807742,10.88301701,0.095151618,2.991508132,7.72795983,12.56327195,15.04104904,9.736846263,13.05440131,6.219954849,3.329273358,29.60516855,0.512795125,16.84357485,25.60975374,28.67452817,33.35052332,9.544941476,45.61850703,24.07258632,0.800255873,4.252821371,0,0.140351699,0,1
16,0.828433512,2.100868824,2.609233445,4.779659711,8.645510279,3.331604498,4.417908038,0.509755246,9.969155895,18.53625514,6.045299069,0.329343856,4.14610678,16.42640649,2.654189024,20.43358501,17.47863622,12.0985863,6.367134166,20.26627224,28.3717531,16.64767555,28.21268868,37.20905267,0.65730181,4.274511945,0,inf,0,1
17,1.713661824,3.698559425,1.502306961,7.848838202,5.377572584,1.873175788,0.072192098,13.61815582,0.383174154,1.79382079,9.735514793,19.806613,23.69632372,13.15288654,25.07911377,12.81907143,8.311173042,12.93946033,13.65768905,12.88870008,35.52981329,18.2874031,18.48564304,29.97642851,1.950175227,2.778906104,0,0.353356456,0,1
18,1.312410784,0.434326285,5.835797896,7.568766766,2.369746778,11.92873972,10.45539369,8.609252191,3.041952358,3.939814684,9.255140476,13.2863483,23.81169646,17.18157873,5.947347293,24.85924292,9.443584862,6.223937446,21.80203716,39.69492364,22.37257944,18.98749942,10.69780554,21.26844167,1.86997701,2.851408018,0,0.17024186,0,1
19,1.581193457,2.246590602,2.813746978,5.485446939,3.776396439,5.320824192,6.945979361,3.569212751,1.511442573,0.625375104,4.414479447,12.0985269,9.900271368,6.582473968,26.18056724,12.42790684,19.79586288,23.01428615,10.05680342,34.23340503,1.145727589,20.80697801,17.31580428,25.21050043,1.096630159,3.906609981,0,0.167646501,0,1
20,1.206833558,3.903937754,3.883467402,6.069484124,2.448251201,1.665776549,5.980874002,7.399246517,6.390924359,3.466296911,14.94378256,14.8126936,13.01149941,6.087358632,11.32845099,8.815320169,8.577774117,14.73930866,21.74987013,24.83226846,14.15650874,15.85099533,3.934360052,1.394421001,1.424536507,3.46257727,0,0.173077433,0,1
