generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.000364806442043,95,120
2,1,190,120
3,1.0004345163880985,285,120
4,1,380,120
5,1.0002994600000765,475,120
6,1.0010946261549911,570,120
7,1.0001978795537392,665,120
8,1.0024645371884995,760,120
9,1.0055933534766464,855,120
10,1.0105060805718273,950,120
11,1.0137346735596149,1045,120
12,1.0154902887896842,1140,120
13,1.0189634703012687,1235,120
14,1.0216690810638942,1330,120
15,1.0267679548238371,1425,120
16,1.0334268601322241,1520,120
17,1.0369713344941123,1615,120
18,1.0403958363760561,1710,120
19,1.04474628938187,1805,120
20,1.0488309334430794,1900,120
21,1.0537507655088845,1995,120
22,1.0579136946649965,2090,120
23,1.0621605381201926,2185,120
24,1.07118378927702,2280,120
25,1.0755868263100865,2375,120
26,1.081539312118478,2470,120
27,1.0880464396674181,2565,120
28,1.0957022195282591,2660,120
29,1.1020062058088653,2755,120
30,1.1037226760863563,2850,120
31,1.1112134588028413,2945,120
32,1.1172281908180155,3040,120
33,1.1258386072623876,3135,120
34,1.1319618880294005,3230,120
35,1.136226000144666,3325,120
36,1.1399694489746186,3420,120
37,1.1467433788486807,3515,120
38,1.1553581439009251,3610,120
39,1.1621288813915316,3705,120
40,1.1689071664221171,3800,120
41,1.1744155344538898,3895,120
42,1.1796586321859761,3990,120
43,1.1862278369291797,4085,120
44,1.1908877705997476,4180,120
45,1.1994747116262086,4275,120
46,1.2045544400619437,4370,120
47,1.2060763254948728,4465,120
48,1.210075406306542,4560,120
49,1.2166988762942221,4655,120
50,1.2243046163575413,4750,120
51,1.2307945792853254,4845,120
52,1.2378275758220745,4940,120
53,1.2457041004440583,5035,120
54,1.2540065690424782,5130,120
55,1.2600982025701004,5225,120
56,1.2650152833450072,5320,120
57,1.2714258626341306,5415,120
58,1.279892135373923,5510,120
59,1.2831917194626239,5605,120
60,1.2908724577587041,5700,120
61,1.2937016239660748,5795,120
62,1.3013835861010512,5890,120
63,1.3064367723179435,5985,120
64,1.3118041313782924,6080,120
65,1.3192429531300054,6175,120
66,1.3274731132390567,6270,120
67,1.3314158357005235,6365,120
68,1.3348560117453745,6460,120
69,1.3439416475313537,6555,120
70,1.3483851886299636,6650,120
71,1.3551367872748814,6745,120
72,1.3586483663761793,6840,120
73,1.3656129604537588,6935,120
74,1.3727915999362823,7030,120
75,1.3825062925721738,7125,120
76,1.3871893279249312,7220,120
77,1.3914505132654513,7315,120
78,1.3952933440210766,7410,120
79,1.4033748979064649,7505,120
80,1.4112135546890936,7600,120
81,1.4181601662890417,7695,120
82,1.4269850870396434,7790,120
83,1.4335017329634245,7885,120
84,1.4411058916738995,7980,120
85,1.4444897272723942,8075,120
86,1.4505826588147948,8170,120
87,1.4564072873188467,8265,120
88,1.4609068871527826,8360,120
89,1.4649588096947055,8455,120
90,1.4737607003591742,8550,120
91,1.4764065508635646,8645,120
92,1.4788495717546364,8740,120
93,1.4829985189364903,8835,120
94,1.4897133841641705,8930,120
95,1.4917492615961505,9025,120
96,1.5002086411783888,9120,120
97,1.5086451173228759,9215,120
98,1.5115753893768946,9310,120
99,1.5171361556365501,9405,120
100,1.5228428484755445,9500,120
101,1.5297755545983756,9595,120
102,1.5329521279608893,9690,120
103,1.5427276439725799,9785,120
104,1.5490693907983184,9880,120
105,1.5578568373331116,9975,120
106,1.5658433521556094,10070,120
107,1.5708722754851236,10165,120
108,1.5749110169739606,10260,120
109,1.5835450544749154,10355,120
110,1.5897482959282636,10450,120
111,1.5916544230813909,10545,120
112,1.5980506370681726,10640,120
113,1.6060029472570445,10735,120
114,1.6123913573370867,10830,120
115,1.6186079370590143,10925,120
116,1.6258575275689116,11020,120
117,1.6306332335496412,11115,120
118,1.6368180843915159,11210,120
119,1.6440129615070491,11305,120
120,1.6516734478343864,11400,120
121,1.6629149339070293,11495,120
122,1.6729880539428998,11590,120
123,1.6776963245022487,11685,120
124,1.6863562772778395,11780,120
125,1.6932836835677356,11875,120
126,1.6952280361133234,11970,120
127,1.6962955811218992,12065,120
128,1.705192866916081,12160,120
129,1.7094809684506229,12255,120
130,1.7129359504112143,12350,120
131,1.7149781901431946,12445,120
132,1.7213228702379626,12540,120
133,1.7311895383740501,12635,120
134,1.7368087478366145,12730,120
135,1.7423369240924917,12825,120
136,1.7507170553483926,12920,120
137,1.7589503614161235,13015,120
138,1.7684266985481811,13110,120
139,1.7758469505709957,13205,120
140,1.7837390356299654,13300,120
141,1.7902277649156069,13395,120
