parameter,value
function,WFG9
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042407
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.3582616163787713,2.0007630276727424,4.6553558004376177,6.8129008953627856,3.6885404590536019,3.9373293335239214,9.9876544409067218,10.305470346703197,13.542235157152469,16.672975352778693,8.3921979279043182,1.1379921660368963,19.994441446333287,7.6910760675018075,14.188341432436493,14.247941682471117,14.748277328697755,9.4373237902888736,18.312818282394101,20.206153860815842,11.791223287365703,16.255284414820554,36.327457910516792,7.844965622206292,2.0006589534382524,3.1662213509557433,0,0.30550608760289355,0,1
1,1.0351779159974253,2.258844486504203,3.424572342446663,0.72075893506162947,0.68706994871388438,6.6127703977377479,9.4677995690710031,6.9028844293519063,0.80307963747043487,10.271039836459416,6.4800726014969472,10.290291003072721,17.953765069866339,9.8886376365182826,0.75245222597257222,21.28020106487244,10.078088341032959,3.4136110239786266,26.153687088481721,8.8072590160342283,19.746193016821103,26.312541612823495,12.44164522370782,9.1609714439245309,1.395704005693732,3.9708112644134919,0,0.78335742106708428,0,1
2,1.2928788198877945,2.8747820273591236,0.22241030006742485,4.449774320272371,5.5266802887136777,0.80723531852324926,0.56057444802383882,6.2937997510749897,16.791022297696216,8.5831377594855294,11.972101646584555,8.9786585693814338,25.551030807933063,19.831730488178543,11.348940009548118,10.855291076070841,11.154856161176578,13.983640711281906,14.649958858839129,9.3262681249389026,26.373558194464238,41.333049092023096,38.978074669013672,46.406401061353264,2.390499205729439,2.0692070823067925,0,0.49419106395676893,0,1
3,1.910251408980572,1.7576549875773408,4.2131743332627698,5.7501330171260872,1.1377080590659832,8.9363976444975126,6.7242072654611293,13.282326161862152,6.5737933596418197,6.7629997672243789,6.6082895128226005,15.678561528381225,23.697751260191851,10.15513036296797,12.645650560601858,18.502496010793863,4.9251432828595645,10.364057362168335,32.704622674885968,16.870235828868296,26.81203143378324,7.6221801822626833,23.59774680650202,15.948739213673335,2.1847758280453631,2.5923624201615438,0,0.427304427605951,0,1
4,0.68097467626471686,1.844728427648296,5.3309931142612124,4.0482041733638061,9.081505128149379,7.1424235748389657,7.7734072111550203,11.749022726277815,12.855082697099965,16.417287259764993,8.7623152416800156,11.973406409820008,9.1007161616251686,7.4622598135237714,12.079023225907703,12.269719203890741,12.516889493947495,30.318151366004777,4.1958000102292363,6.2915806916027348,14.777197093631418,38.529141772526742,9.0665119564488883,12.554075808195668,2.1444320866614222,2.9486402127702749,0,0.29155395149853724,0,1
5,0.76328402403605966,0.9210139041621036,2.9441947693846067,4.7005156305282352,5.3118735522963121,7.7723399999639691,13.352679438118873,5.4272031272478749,9.3966543996393668,9.6869182080201313,16.615471666602094,14.888356423022202,17.047583737122888,23.26356457701911,27.830203211726136,19.736412918719303,29.379264849548385,7.6386302984422274,31.54145195686128,33.886938611374966,38.752946404514191,39.051176281679759,26.441780552538358,42.448848645137687,0.60327369574481726,4.5383347943901322,0,inf,0,1
6,0.40984447301184979,2.1860416742245548,3.203316125030264,5.5422406308529801,1.3814863535558506,3.5816887549178964,11.979160566054627,9.1843070305923753,6.4288669231359581,1.0824938196952869,9.0256496499920829,16.97529787736984,19.359277646614174,15.111550823132074,18.293628489965069,13.901560613401493,11.914636873872205,5.7849643664315042,2.1703881221343342,34.448404278629539,13.471304215485684,11.296398786065726,18.128094418794003,5.6521346642175478,1.7619593665579081,3.6454638942670297,0,0.18549532693914567,0,1
7,1.931390147745444,0.67383191658957786,1.4433586042132796,7.6824832134846073,5.7149936213244938,1.1453771051658594,7.2091853786566347,0.81415566819927543,3.708925702982893,10.966729979990607,10.957146694785393,9.7404604105867651,1.0688080511810079,23.991996202199203,23.00415633580047,1.3586658479374387,5.8510061435208609,18.477457100786744,10.306587190724251,5.6603154737536796,35.742523524228048,3.5841272547243244,9.9005992663989044,15.458845399367226,2.4541354019790145,1.5506945002925057,0,inf,0,1
8,1.9889308004610795,0.19275326635781587,5.8858686189038236,4.6726993627964779,4.3729208350895448,9.0813558311662561,6.2424261275302619,11.000204923391136,13.860849250273676,7.1386044951267804,7.091822478136347,8.0597846671552666,4.1641319041864904,20.2850490466599,2.647515473751255,9.2305286906120614,20.733566948423334,16.051561630329395,10.408216149543746,14.026607842230938,34.452589686231072,5.697956550396329,28.724484447689967,6.3716695585628074,1.779772686124627,3.5428428154606575,0,0.13437513808590767,0,1
9,1.2084941070986184,2.5111238635754654,3.2027026413166002,2.9186758363443017,1.0537852601773083,9.2432337756010341,0.52481543028260613,8.1849019195652044,7.1877155917737241,3.4252682976617765,18.004502278682228,10.521739172122308,9.6371198831441323,22.560597701032094,18.974670183582912,13.92695698695503,6.4450323853623646,7.4749337213329881,20.391140519895686,3.3775775790361813,22.195751588357282,19.682822700542395,9.0688006882049361,15.841980471015418,1.8398316733285005,3.3696999250370365,0,0.24540223653846388,0,1
10,1.348889499274182,3.7456901080947609,5.1830637346271136,2.395148136400548,7.4905608273564468,6.6361551765846158,3.6863495120313905,0.83035247864732697,4.3753068535504633,17.182680864192509,6.4267629500159877,11.534629163623791,9.7991595441901538,14.789555998788792,17.140477276018185,30.816330843687936,5.0570855842219311,34.893627019136311,7.6657191387929053,17.999463419089253,8.5538960110798676,15.740478032430385,11.111410429263666,7.9541844593003654,1.6791831344105086,3.9346655976894622,0,0.30678147057777599,0,1
11,0.013340041647015764,3.6310873157301717,0.73563279274017979,0.44100529032019342,2.7722177672689718,0.44945852919115237,8.2138773253152557,3.9213436699394877,17.424964586992594,7.6914055437442972,5.9086716705336038,21.562803826824936,2.7795182031384611,7.2036854944141435,11.906397775787493,14.406769537833799,19.287668106022107,35.031087655348081,23.903567934388885,8.7896891973766813,33.881735637121231,27.595376887745239,33.06197025897788,41.638906469188754,1.4118309077907267,4.0880079935391533,1,0.5838981355990126,0,1
12,0.18540698245888085,2.4231251832980396,1.8577176091754317,3.608295724787673,4.7261967143489825,9.0156033053686109,0.1438551693309281,13.658903972133967,9.8078448042871322,1.4301414198845235,11.246279578966483,21.404288714140847,17.395656379670317,15.20093482976219,7.3782968795281079,24.145465208107183,8.232224473521585,10.454860329403145,26.243568982047467,16.009685999194097,21.131480802511124,12.776287791849608,9.2600860178846744,26.340391369220654,2.420083258785342,2.5814659356131715,1,0.19049082492768646,0,1
13,1.5216161955455487,3.2804889598561728,3.3917886171354743,3.1209068069923114,5.3267537061515817,11.581812935909763,2.5428842200152371,9.2607768311954075,6.4728087156010439,8.3678351563632365,2.1933361826690314,16.211459145343987,14.500176186829652,27.816633611616751,17.42959687046519,2.0538929949726232,29.601604578011017,11.170998558614441,25.175447224587543,17.674435188887749,4.4990031997769071,31.847273179187205,18.177716176153794,9.1987487128979417,2.3692349399061179,2.7077475227838121,1,0.14191438279186211,0,1
14,1.6069976105418318,3.6186716828671619,3.801749850853156,7.6177083996538997,3.8742394983107573,9.9520492999793149,11.768775296342291,11.814737991038101,3.0092711087105686,8.5850000409329432,12.296224918320162,3.877165893493121,13.996713586158254,25.485265210191486,14.130333066528475,20.558741150669057,21.247493117322776,15.133071310290561,9.8649681973165322,16.603622755633516,10.467714748377748,13.790855818961257,18.14550048272989,36.085081564579255,2.3172244297443587,2.8454833561099289,1,0.091289882106105155,0,1
15,0.85072567768886476,0.93104224758442311,1.1420047788027796,1.9229921734918365,6.4473428486521982,10.485745797937295,12.341892270485637,0.39568604030433963,9.0965428323387041,16.06294118088265,1.2407203982151107,7.708586313904771,16.565451408865982,27.606303211407887,13.253380423013109,5.0898085389710834,11.146023947197476,25.449894917573534,25.348991393940466,14.089208986166394,24.062341874421691,43.484390355700683,34.990018730721509,10.327033635213382,2.2999805965041742,2.8715950043608891,1,0.18836766679507155,0,1
16,1.1860196612728318,1.4589974633943497,2.6903094561213399,2.9512632321349179,2.94464794498845,11.640815818614179,4.8105603515751385,13.109370742616948,4.1836586921508063,17.644983990544819,8.953570735747201,14.168032896423272,24.085694785549165,13.276690182924062,15.896096467282266,21.102764751401196,13.299184902779372,9.3764790168940095,11.106629357806762,5.5769714356876907,27.121189260265982,8.5511477124302395,24.296121561379689,7.4778505149786252,2.1449923493728904,3.126683772648895,1,0.25418702879901517,0,1
17,0.2812736564970586,3.4009405192693305,0.077925898054569454,2.3597908088666388,4.2164565679245563,8.9076547527304832,7.8650615204099976,15.671849896868782,14.605794290881539,3.4481267656410415,4.3222670792449565,11.861244943824675,15.063334446351947,9.7844958934980948,3.865029296955492,10.841438922957487,30.929293421603063,25.163428261857476,9.8682637139819391,26.424276194214279,37.034251613520048,5.0807906404811316,30.931061494440346,33.857601081616977,1.3372355549295505,4.6265078285083874,1,0.36891960842509697,0,1
18,0.60166962263114543,0.61905693515878124,0.92516259384524868,1.9274183765204453,2.4931451314650612,9.4759230626676683,9.511908959008414,14.196534090826621,7.6835200937902588,17.076622903372449,6.853867987395442,15.04631061491224,22.024960427184972,0.096979790145552608,15.912496184363237,23.178741510272339,23.586008647542339,18.107120211333751,13.55381694391097,37.789961425556022,37.566138655496921,13.87239793658353,42.260098260574559,31.923683798004955,0.90155552578606357,4.8339043052919903,1,inf,0,1
19,0.90591413827004408,2.0240669281429708,0.81054951779013851,5.6887222633637196,9.0845909793217174,8.7966528179227303,2.2015546210949895,13.120900221717207,5.1053797548797775,19.330523205506218,16.918191519512011,22.043877739806796,10.610123025033703,25.294154781865402,15.066634941897702,31.783292453871471,28.225725760989334,25.758792845385791,5.5127976470696893,2.9296239609432702,0.076879240040837404,36.088003550266684,6.2704239457919684,28.229394296497638,1.1263240243670314,4.7392149982672134,1,0.32219813747457043,0,1
20,0.31957562435022469,2.7126204610474893,4.6322043388651597,1.8701138266376862,4.6470272772955692,7.397993192746485,13.231499861810835,8.1622609531404891,15.335742731647128,13.809171107176763,19.525954243934148,9.8706918530773606,4.7910202222647662,18.064195477865763,22.836598951112961,22.76747288719805,10.228060529569811,0.43879267271683142,15.711563801540732,22.290837633852757,21.083817082839904,27.182966647337501,1.6783681966748796,32.757815027816264,2.5433211741063264,2.1068434762335801,1,0.28703153093324812,0,1
