generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0076539240889733,109,120
2,1.0149243128967611,218,120
3,1.0221651143275294,327,120
4,1.0295059592670355,436,120
5,1.0356841136834269,545,120
6,1.0423074899850282,654,120
7,1.0478556005443338,763,120
8,1.0537564510111972,872,120
9,1.0678716227889187,981,120
10,1.0767368215564885,1090,120
11,1.0848881905873169,1199,120
12,1.0940169606831416,1308,120
13,1.1033970403107904,1417,120
14,1.1106619515045928,1526,120
15,1.1189157824288229,1635,120
16,1.1243853885382984,1744,120
17,1.1294415962970712,1853,120
18,1.1392250885474005,1962,120
19,1.1436026257180678,2071,120
20,1.14861438569131,2180,120
21,1.1498880661230726,2289,120
22,1.1548644247567121,2398,120
23,1.1591605199738311,2507,120
24,1.1641441731251483,2616,120
25,1.1708551470285542,2725,120
26,1.1811878820834922,2834,120
27,1.1927690432923768,2943,120
28,1.1997964682533719,3052,120
29,1.2054498446288124,3161,120
30,1.2184649002371437,3270,120
31,1.2301176904671092,3379,120
32,1.2427534932372484,3488,120
33,1.2563829942673717,3597,120
34,1.2662295580856342,3706,120
35,1.2747647835669791,3815,120
36,1.2844558652634872,3924,120
37,1.2933653650887587,4033,120
38,1.3025339012353931,4142,120
39,1.3094784829337636,4251,120
40,1.3214439658575066,4360,120
41,1.3315095506300521,4469,120
42,1.3439439993451547,4578,120
43,1.3523111465786748,4687,120
44,1.3558566748946004,4796,120
45,1.3656720553981645,4905,120
46,1.3732273605874949,5014,120
47,1.3809335787792163,5123,120
48,1.3900218357979017,5232,120
49,1.3964257998041754,5341,120
50,1.4018081673342102,5450,120
51,1.4120148518553939,5559,120
52,1.419499090373229,5668,120
53,1.4288275251124618,5777,120
54,1.4397818839478893,5886,120
55,1.4496307744941672,5995,120
56,1.4583566779770538,6104,120
57,1.4674859369762119,6213,120
58,1.474220062555075,6322,120
59,1.4846667482993059,6431,120
60,1.4970181598802943,6540,120
61,1.5120132039992327,6649,120
62,1.5272815745186625,6758,120
63,1.5378906854870391,6867,120
64,1.5499407235340672,6976,120
65,1.5601953897099794,7085,120
66,1.5656433847648046,7194,120
67,1.5728084709677617,7303,120
68,1.578758318682921,7412,120
69,1.5875493433545229,7521,120
70,1.5984825499316715,7630,120
71,1.6031323757789024,7739,120
72,1.6161918184163375,7848,120
73,1.6284403652134283,7957,120
74,1.6313848429711271,8066,120
75,1.6431754664287421,8175,120
76,1.6517223350602328,8284,120
77,1.6582412704915168,8393,120
78,1.6782347229095125,8502,120
79,1.6903775178631475,8611,120
80,1.6951707635543614,8720,120
81,1.7035315402716771,8829,120
82,1.7232333193863718,8938,120
83,1.7352825089922717,9047,120
84,1.7470191352229221,9156,120
85,1.7618714647098701,9265,120
86,1.7705120189008721,9374,120
87,1.7801437472081125,9483,120
88,1.7901340008694959,9592,120
89,1.8027971172525279,9701,120
90,1.8150012172982224,9810,120
91,1.824138274185126,9919,120
92,1.8366404913571655,10028,120
