generation,alpha,evaluation_count,population_size
0,1,0,120
1,1,89,120
2,1,178,120
3,1,267,120
4,1,356,120
5,1.0000001645539471,445,120
6,1,534,120
7,1,623,120
8,1,712,120
9,1,801,120
10,1.0001916319404696,890,120
11,1.0004740062908619,979,120
12,1.000346641922607,1068,120
13,1.0003361125420756,1157,120
14,1.0003522411858949,1246,120
15,1.000281365385463,1335,120
16,1.0000461941718004,1424,120
17,1,1513,120
18,1.0001040076628196,1602,120
19,1.0001215756730777,1691,120
20,1.0001871728596854,1780,120
21,1.0002416276533457,1869,120
22,1.0002167249491345,1958,120
23,1.0001496666948235,2047,120
24,1.0003780351247271,2136,120
25,1.0008488945146561,2225,120
26,1.0011183264340702,2314,120
27,1.0009127498252597,2403,120
28,1.000715806585555,2492,120
29,1.0011426607602845,2581,120
30,1.0013072714720315,2670,120
31,1.0014216993863654,2759,120
32,1.0016551972244887,2848,120
33,1.0018457090054804,2937,120
34,1.0023756146151288,3026,120
35,1.0036089143549582,3115,120
36,1.0039280025230075,3204,120
37,1.0042955266420537,3293,120
38,1.004818943045281,3382,120
39,1.0052335679663278,3471,120
40,1.0062435537636962,3560,120
41,1.0066374747755698,3649,120
42,1.0076129982008089,3738,120
43,1.0082187721260472,3827,120
44,1.0088420439305714,3916,120
45,1.010260759343893,4005,120
46,1.0107774396581108,4094,120
47,1.0115042285644549,4183,120
48,1.0118209076425111,4272,120
49,1.0124845595798162,4361,120
50,1.0137377980374984,4450,120
51,1.014145914166902,4539,120
52,1.0148171563278998,4628,120
53,1.0154180500170744,4717,120
54,1.0161719954030184,4806,120
55,1.0165409141726471,4895,120
56,1.0179511548273363,4984,120
57,1.0183331288535091,5073,120
58,1.018962093295342,5162,120
59,1.019357775921528,5251,120
60,1.0199988037149748,5340,120
61,1.0205060706881188,5429,120
62,1.0215134697986035,5518,120
63,1.0220776000115295,5607,120
64,1.0228974490604448,5696,120
65,1.0238408148273266,5785,120
66,1.0251154947042309,5874,120
67,1.0253680905256035,5963,120
68,1.025925625363874,6052,120
69,1.0267050596570495,6141,120
70,1.0273237335483745,6230,120
71,1.0281645682262572,6319,120
72,1.0289725037094206,6408,120
73,1.0299077485804669,6497,120
74,1.0306066607217148,6586,120
75,1.0310865877643396,6675,120
76,1.0318831375793796,6764,120
77,1.0327793276827459,6853,120
78,1.0337302928353089,6942,120
79,1.0348179625484442,7031,120
80,1.0352445321893724,7120,120
81,1.0354817252414836,7209,120
82,1.0360079848010746,7298,120
83,1.0369209457648907,7387,120
84,1.0371005054692761,7476,120
85,1.037892631428373,7565,120
86,1.0382847345202177,7654,120
87,1.0384740738392253,7743,120
88,1.0391612327426165,7832,120
89,1.0393371195324601,7921,120
90,1.0398829212757883,8010,120
91,1.0406714746738774,8099,120
92,1.0417997045394016,8188,120
93,1.0425052425331549,8277,120
94,1.0431583824800963,8366,120
95,1.0434249096543344,8455,120
96,1.0438640071905123,8544,120
97,1.044180822500526,8633,120
98,1.0445510910288318,8722,120
99,1.0450845649239191,8811,120
100,1.0451181168580139,8900,120
101,1.0463586567021175,8989,120
102,1.0471665114682092,9078,120
103,1.0476831740815233,9167,120
104,1.047733252899701,9256,120
105,1.0485728856866185,9345,120
106,1.0498590125723049,9434,120
107,1.0506962059910099,9523,120
108,1.0514286593149931,9612,120
109,1.0515569671741825,9701,120
110,1.0520899380114708,9790,120
111,1.053357371941575,9879,120
112,1.0539226647647799,9968,120
113,1.0540556610511571,10057,120
114,1.0543030495801653,10146,120
115,1.0547417362973071,10235,120
116,1.0546900623034365,10324,120
117,1.0550110883047161,10413,120
118,1.0553548119611165,10502,120
119,1.0562810003317695,10591,120
120,1.0569152720196506,10680,120
121,1.0577981009547401,10769,120
122,1.0586683577416449,10858,120
123,1.0593012220253382,10947,120
124,1.0602824749699897,11036,120
125,1.0612339511722937,11125,120
126,1.0622629697150325,11214,120
127,1.0625560532176728,11303,120
128,1.0634815190154312,11392,120
129,1.0643684940312366,11481,120
130,1.0654738151530598,11570,120
131,1.0662049129833089,11659,120
132,1.0671206532814288,11748,120
133,1.0675825018201333,11837,120
134,1.0687114340627366,11926,120
135,1.0696346764007518,12015,120
136,1.0705682041375217,12104,120
137,1.0711271210765501,12193,120
138,1.0720930730877434,12282,120
139,1.0724186998379315,12371,120
140,1.0732329770263342,12460,120
141,1.0745023094358617,12549,120
142,1.0746831496173941,12638,120
143,1.075332582859251,12727,120
144,1.0759039727537267,12816,120
145,1.0766614234476797,12905,120
146,1.0772180930663917,12994,120
147,1.077703307693793,13083,120
148,1.0787999741620626,13172,120
149,1.079885489909679,13261,120
150,1.0808828943170763,13350,120
151,1.081845488923578,13439,120
152,1.0825961644997899,13528,120
153,1.083600989943367,13617,120
154,1.0848809334005494,13706,120
155,1.0859677790376945,13795,120
156,1.0864197132298816,13884,120
157,1.0875248617153717,13973,120
158,1.088124251628281,14062,120
159,1.0890686022348715,14151,120
160,1.0900350459645838,14240,120
161,1.0906491462410552,14329,120
162,1.0913101687982942,14418,120
163,1.0926016162332868,14507,120
164,1.0932246663111862,14596,120
165,1.093853351024171,14685,120
166,1.0947792777329586,14774,120
167,1.0956640833047058,14863,120
168,1.0963147139073228,14952,120
169,1.097203768878261,15041,120
170,1.0980986036018983,15130,120
171,1.0987740194546682,15219,120
172,1.099405493714924,15308,120
173,1.0998820598870058,15397,120
174,1.1008975347407794,15486,120
175,1.1015155777018331,15575,120
176,1.1022361353396104,15664,120
177,1.1031895823031004,15753,120
178,1.1040371208230935,15842,120
179,1.1046819040076983,15931,120
180,1.105323867045954,16020,120
181,1.1062673634675526,16109,120
182,1.1071978085186127,16198,120
183,1.1081495033091491,16287,120
184,1.1091110216938629,16376,120
185,1.1100736630141146,16465,120
186,1.1104923328142358,16554,120
187,1.1107133695646514,16643,120
188,1.1119886782917543,16732,120
189,1.1126012917363928,16821,120
190,1.1133403348901114,16910,120
191,1.1142417882896549,16999,120
192,1.1151391187202626,17088,120
193,1.1164028952151688,17177,120
194,1.117330982961253,17266,120
195,1.1182896675602472,17355,120
196,1.1191832730395177,17444,120
197,1.1198205544020523,17533,120
198,1.1206189167429126,17622,120
199,1.121617588544674,17711,120
200,1.1223542517462488,17800,120
201,1.122523011216032,17889,120
202,1.1231911449696159,17978,120
203,1.1240356417989641,18067,120
204,1.1248265807090609,18156,120
205,1.1262784411680544,18245,120
206,1.1266017784319011,18334,120
207,1.127630987352372,18423,120
208,1.1281587367350872,18512,120
209,1.1292883047519293,18601,120
210,1.1296297680865062,18690,120
211,1.1312763151643725,18779,120
212,1.1325076972032129,18868,120
213,1.1330856283458202,18957,120
214,1.1338877908971157,19046,120
215,1.1347656687057808,19135,120
216,1.1356789606897939,19224,120
217,1.1362923733414767,19313,120
218,1.1372677539417893,19402,120
219,1.1381308876142289,19491,120
220,1.1389428274909541,19580,120
221,1.1403496302588401,19669,120
222,1.141229941117949,19758,120
223,1.1421700674579736,19847,120
224,1.1429817967761364,19936,120
225,1.1435214464178842,20025,120
226,1.1441188488299647,20114,120
227,1.1455141157583684,20203,120
228,1.1464605372615908,20292,120
229,1.1477725314760547,20381,120
230,1.1483814311008809,20470,120
231,1.148820763736746,20559,120
232,1.1493588995842523,20648,120
233,1.1503463039580242,20737,120
234,1.1509154093208891,20826,120
235,1.1521736664720874,20915,120
236,1.1529334392782686,21004,120
237,1.1538379010952482,21093,120
238,1.1543404919743196,21182,120
239,1.1550713631710154,21271,120
240,1.1556993247474265,21360,120
241,1.1566560851015542,21449,120
242,1.1575962048083046,21538,120
243,1.1584197303164512,21627,120
244,1.1594379257520484,21716,120
245,1.1603841779859521,21805,120
246,1.1610733824106849,21894,120
247,1.1623747631600785,21983,120
248,1.1625658190573027,22072,120
249,1.1635930044615534,22161,120
250,1.164390081158158,22250,120
251,1.1657111232323973,22339,120
252,1.1658402783836215,22428,120
253,1.1661807748840545,22517,120
254,1.1673639904354736,22606,120
255,1.1680261076516099,22695,120
256,1.1683746334415694,22784,120
257,1.1693296522029262,22873,120
258,1.1703830343201742,22962,120
259,1.1710251215181771,23051,120
260,1.1718108955891433,23140,120
261,1.1726928631327185,23229,120
262,1.1731721964943418,23318,120
263,1.1744123237447708,23407,120
264,1.1763818403046298,23496,120
265,1.1770340083337714,23585,120
266,1.1777731174714483,23674,120
267,1.1783706935006493,23763,120
268,1.1788883559880514,23852,120
269,1.1804078626207362,23941,120
270,1.1815448762292895,24030,120
271,1.1821275579141228,24119,120
272,1.1825534007789429,24208,120
273,1.1832811575418782,24297,120
274,1.184210543939197,24386,120
275,1.1851241613838641,24475,120
276,1.1863248694945203,24564,120
277,1.1873436526709487,24653,120
278,1.1882572528456765,24742,120
279,1.1891327405833887,24831,120
280,1.1901908048636638,24920,120
281,1.1919741345690535,25009,120
282,1.1925644409420806,25098,120
283,1.1939299078818135,25187,120
284,1.1944437781413133,25276,120
285,1.1944983728871676,25365,120
286,1.1954798137118674,25454,120
287,1.1967519879170236,25543,120
288,1.1970857579774306,25632,120
289,1.1988788867307441,25721,120
290,1.200569013539232,25810,120
291,1.2019236121884176,25899,120
292,1.2025089054781266,25988,120
293,1.2028120643472322,26077,120
294,1.2032778458673503,26166,120
295,1.2039167091760128,26255,120
296,1.2042138424041973,26344,120
297,1.2051604816800414,26433,120
298,1.205547450642332,26522,120
299,1.2064188952489718,26611,120
300,1.207280282039352,26700,120
301,1.2081696919429932,26789,120
302,1.2085409284398345,26878,120
303,1.2097678076872098,26967,120
304,1.2104570076049626,27056,120
305,1.2111650498856639,27145,120
306,1.2119052466219278,27234,120
307,1.2125808629951476,27323,120
308,1.2135697698376569,27412,120
309,1.214254688050014,27501,120
310,1.2153649310514165,27590,120
311,1.2165406626515585,27679,120
312,1.2168926119363379,27768,120
313,1.2180825381355787,27857,120
314,1.2196945082963107,27946,120
315,1.2206325031097582,28035,120
316,1.2217561206164251,28124,120
317,1.2229277734019619,28213,120
318,1.2235276173795673,28302,120
319,1.2245346051335007,28391,120
320,1.2251136968224132,28480,120
321,1.2260417842955962,28569,120
322,1.2267032022068931,28658,120
323,1.2269615998784382,28747,120
324,1.2283396258453818,28836,120
325,1.2289090478527744,28925,120
326,1.2293280518738847,29014,120
327,1.2306407961121928,29103,120
328,1.2316028201400842,29192,120
329,1.2329396972121704,29281,120
330,1.2336478987123332,29370,120
331,1.2347928914513844,29459,120
332,1.2360641274471682,29548,120
333,1.237136577574022,29637,120
334,1.237550881065153,29726,120
335,1.2387620385850098,29815,120
336,1.2397670049199603,29904,120
337,1.2399672936009511,29993,120
338,1.2407736761032999,30082,120
339,1.2415819738190064,30171,120
340,1.2427913900804823,30260,120
341,1.2432377111356665,30349,120
342,1.2444167099802377,30438,120
343,1.2458220182197886,30527,120
344,1.2461610266258392,30616,120
345,1.2466319914057056,30705,120
346,1.2475351187154728,30794,120
347,1.2480784146884647,30883,120
348,1.2483081715760012,30972,120
349,1.2497071337259811,31061,120
350,1.2502077522538078,31150,120
351,1.2514583228466511,31239,120
352,1.2523685613183069,31328,120
353,1.2531525037106452,31417,120
354,1.2543272159090832,31506,120
355,1.2553977483860257,31595,120
356,1.2562827549074906,31684,120
357,1.2575005208972492,31773,120
358,1.257995560954231,31862,120
359,1.2590421270207748,31951,120
360,1.2592682454442661,32040,120
361,1.2601191316257117,32129,120
362,1.2610436725965217,32218,120
363,1.2620212682075513,32307,120
364,1.2630532757035116,32396,120
365,1.2639482164230038,32485,120
366,1.2651704534358474,32574,120
367,1.2658621936174084,32663,120
368,1.2666795258019721,32752,120
369,1.267710626881396,32841,120
370,1.2685417132881995,32930,120
371,1.2691651600935006,33019,120
372,1.2696251926405913,33108,120
373,1.2710302500671833,33197,120
374,1.2719549156881556,33286,120
375,1.2725319530338244,33375,120
376,1.2724273869811684,33464,120
377,1.2728750545739624,33553,120
378,1.2740858428124149,33642,120
379,1.27568363998523,33731,120
380,1.2763049567346896,33820,120
381,1.2768078767059976,33909,120
382,1.277589905340754,33998,120
383,1.2783986943415158,34087,120
384,1.2792571881789787,34176,120
385,1.2802973050743844,34265,120
386,1.2814759105435911,34354,120
387,1.2823804403435943,34443,120
388,1.2834548881192342,34532,120
389,1.2834066593324558,34621,120
390,1.283930737216193,34710,120
391,1.2842931685729906,34799,120
392,1.2850893513902943,34888,120
393,1.2855942949633814,34977,120
394,1.2860763539890752,35066,120
395,1.2863532867707375,35155,120
396,1.2873185407066092,35244,120
397,1.2880790914272702,35333,120
398,1.2885349351589768,35422,120
399,1.2889328858785747,35511,120
400,1.2896711852984259,35600,120
401,1.2906853554096456,35689,120
402,1.2911281842888589,35778,120
403,1.2915991303803949,35867,120
404,1.2927231250569857,35956,120
405,1.2936637271214277,36045,120
406,1.2945598909309159,36134,120
407,1.2948486545714974,36223,120
408,1.2955857690522852,36312,120
409,1.2962578491538197,36401,120
410,1.2967951803171294,36490,120
411,1.2976127417808687,36579,120
412,1.2988351229454074,36668,120
413,1.2992719445159633,36757,120
414,1.3002894018290385,36846,120
415,1.301228751391537,36935,120
416,1.3020522260363285,37024,120
417,1.3034073240548736,37113,120
418,1.3039029779774642,37202,120
419,1.305111570237262,37291,120
420,1.3064323006750616,37380,120
421,1.3075932285704179,37469,120
422,1.3080118447797715,37558,120
423,1.3086933102116067,37647,120
424,1.3093223288473732,37736,120
425,1.3098692351221937,37825,120
426,1.3109857533125284,37914,120
427,1.3115132438017592,38003,120
428,1.3120553241063437,38092,120
429,1.3123201822452348,38181,120
430,1.3129184723087999,38270,120
