parameter,value
function,WFG1
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,3
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,f2,rank,crowding_distance,constraint_violation,evaluated
0,0.7926265765074082,0.42946123334226288,3.0588616691925186,0.81708185979390713,2.8871783284936754,2.7811015626569215,13.54735096072301,4.4531014853791557,4.205205498783644,1.8311288081071511,12.541466475670855,10.030236923897242,9.5639242563831584,22.763859206000838,8.6928000566593795,22.956531265623674,20.840235076714674,15.368753655339354,28.571172842014256,17.112505414962037,17.992061204594116,15.923795780633585,7.0535702646608032,44.985135646030422,2.7695028302124176,0.97724796052719098,1.0132355452989885,0,0.12837953401175592,0,1
1,0.16709269377053182,0.17708918986203384,2.6628479005568826,0.15455001363695398,0.67032050939476573,9.741258165237614,8.9080685909832003,12.365606893108074,12.702278573252872,4.7642183028144114,0.97719472777610095,6.7492053965941796,22.492330548611545,2.0474527246549088,19.809956899996006,5.9961145488135097,17.757743315648529,32.539653462545871,18.055804026573092,33.880891308421639,35.228735171930282,6.1283221751777157,24.854009843932012,22.42009513724188,2.6644040976232199,0.99666712409447544,1.1368597646610448,0,0.56092305893097238,0,1
2,0.78588053506070865,0.32313491951015066,2.1127278700164189,0.0081062401429574799,6.246304802751653,2.4032568715972991,8.7515622581284713,5.1432293163765799,0.8517281221638856,14.467295038752743,16.703544021928071,9.7513032273030316,18.312710728680248,16.390057969132435,29.086935208902499,9.7241096923629087,10.667682969204556,8.1526180983647922,25.548713266390266,31.156889678400915,21.531791511330923,27.071657060559474,2.100413690788316,21.412776276362745,2.6153154019585134,1.0114195030398996,1.0338119915892525,0,inf,0,1
3,0.50654854846880371,3.4808506383223996,0.83778752916234889,0.14456765598152091,6.8971394712676268,10.452933310551147,4.9771159060257721,6.3487857622293227,15.532410994733794,18.645143483388622,9.9166958150034201,23.399791432615018,18.146365166056018,21.101093525819159,17.333230651793397,4.3073968880980367,27.461767137029273,3.7680699527702841,12.749429024385353,22.574577218474055,26.148720163124796,20.15644188331505,37.391341291598536,11.916538803784171,2.7589001702231077,0.99780967548212562,0.98126158123991336,0,0.4524206301421187,0,1
4,1.3201259415012616,2.7603014538062518,1.0085179853446729,5.4860286921853243,6.018043600971871,7.8595337343886502,7.2477166596703242,1.1117523407708281,8.5290678635894608,9.6948756968362915,13.593765820278026,2.4173101741268646,0.73500707101946394,1.903121982092242,11.276496419167684,24.730701841235486,13.842441808766299,33.658366563565487,20.241736538332169,17.856414182150754,13.81040893126362,15.138868359869818,2.1833418735028882,21.53316078682127,2.8879432436219465,0.97383151868097984,0.97246040693171454,0,0.25550271464699259,0,1
5,0.028007118401386942,0.87044438766974952,5.4290746461485808,0.5061717977668424,2.9229909665366831,1.7403145574214389,9.1216318344391851,2.2993067807696548,5.5974180246220806,19.095632816537304,20.185106939401017,20.365135348819674,13.657066024509252,2.7096725858995283,4.3897430900506622,13.283311352003299,17.845653763421442,10.15333049220575,9.9642999560070251,18.279125221256042,16.632135017445634,32.118129885496025,0.27634637521467442,29.458544347705441,2.739293849845637,0.98402336771386689,1.07299171375175,0,0.27273942424379555,0,1
6,0.062393180248456512,0.25084074092783859,1.545673359560757,4.735111951470893,0.8820670035092365,10.332517712965947,1.014508443146688,5.2604979085004198,14.590255732645968,18.662972050646246,5.4338537819864383,13.30933454575877,14.57246720502131,13.362934115764759,13.494945559271082,29.947631855374809,13.262494948041491,1.6875290032977719,9.7169125793788496,17.302093081332035,12.354406940149198,23.829151956153389,34.989220513000205,43.526010455653854,2.746392884554012,0.98025689300818108,1.1438040495340167,0,0.29921846565937116,0,1
7,0.026028978938344879,0.2594879412564044,0.055914370197623547,7.7768296868240148,1.4883964936772069,7.1963064553303333,5.7656609359459878,11.805568271742679,11.457725197528346,18.418944261748194,14.831781705273521,5.4820257780418888,11.340983110103636,14.309282081552908,29.15160071368004,0.081893548002492142,2.204532729209828,30.474452684062783,35.92820745841879,30.640123365990469,27.348699513753335,35.863880940100238,0.1056543389042104,12.137855397691599,2.6811571541705748,0.99517422451363491,1.1930865897029401,0,inf,0,1
8,0.66053721617486294,0.40260699017059398,3.8707765497382303,6.6024845921468662,3.5524473681777269,2.5971366840716512,6.6569501056633431,3.5766898115297163,6.6125266674706058,14.779981381117366,10.136334061419793,1.7111906095979388,8.7138609132734928,17.081822320951289,21.072689091456105,27.833826784250281,0.18736809955655795,10.753447156790671,28.46741990622516,34.532642433588727,37.661383226300039,17.564534284363216,20.159288570089601,18.577123671389369,2.8394506044455405,0.97404049484049471,1.0214231477476114,0,0.1031603519840462,0,1
9,0.45016375421983323,0.59071930933095618,0.01552492682812601,6.1297494373789023,9.795772109980712,9.9123989718496883,2.6002898261856893,12.200091167528042,3.4057198058464948,6.8045313040156721,13.389082008131444,16.555087858160348,10.090533068039129,7.543130888408621,28.327769101930887,9.7422985707174607,19.874003142679861,15.283986309891041,13.017182739598184,16.681963802443786,31.955248474463623,37.952178908911748,23.724562348510887,13.984715017205986,2.711118253464202,0.98445974303725181,1.0114821112362511,0,0.2102236610223783,0,1
10,0.99350539576491659,0.048315250996849413,2.824896104522197,2.128343769536333,6.9415955776689087,6.5094122748471257,11.016753994353849,9.2075139203758756,12.588726354560402,16.737244094402005,11.647994615478067,22.835144879082659,8.125610861622226,21.014672114468798,15.550624779875601,2.5353540397955854,10.213326845996768,22.493812812898355,24.598112549052406,2.8730050054076193,16.662305537409967,2.5437074106186088,23.533475397327397,8.8536295725596155,2.7297637058985256,0.98373394609660791,1.167929077200178,0,0.39281097849894264,0,1
11,0.53700570541100645,0.65963791052238052,5.351015650267998,7.7410793136994771,0.8567137981071028,3.077183059543787,5.0506106554289802,10.297235234230662,5.0037507431824828,6.6817372910196653,10.864327044457204,6.4717073778465437,12.635117947651445,15.207895561561795,0.15280534722755618,10.963274190972703,9.8309881011395479,5.7999766051758677,7.641143534707151,26.607912441760636,36.187014403612629,36.681745308487848,16.387049375782993,24.247211459306108,2.8657485381018684,0.97109053410617219,1.0025430181758503,0,0.2615335291978112,0,1
12,0.18340331967448978,1.2742014203010401,0.87707899066821682,4.9661931306700939,9.4984481391915487,7.9315358897824293,7.0030927260155185,5.5170257832428149,9.0696680292502716,12.643990148546937,8.7248702036911787,22.190589489981466,21.985322672447488,14.864135047801746,25.215417180382868,3.1239247099666452,25.222558000364202,6.8913213434992295,15.279202151957655,8.2238364177892809,13.365156609450752,3.0141793308614062,16.244792325586577,46.358820422495313,2.8134084656078278,0.97635787363775595,1.0012543532954574,0,0.084990147565275856,0,1
13,0.10598731298014226,2.2255980594348799,0.98501456646124752,1.3175368175373572,3.7854581379374608,11.303735537953195,5.6802438701452189,6.7218046737534536,14.914644196321316,1.5124676683043845,6.9092189015391678,0.80780831583265544,12.534819773904022,11.167603031111829,20.405349930919428,5.5942967367558474,16.049744706907585,32.056435681875513,30.835768820740498,26.908872035185645,21.541616934411014,42.239249046432825,23.752705328169657,30.853911821220784,2.7901164408104489,0.98684918892951023,0.99922535391776168,0,0.1813857296538938,0,1
14,1.596300560062617,1.8668635479038489,5.6936327400357607,5.5115469146696885,7.287077203899698,4.9795143366862487,2.6918972672658543,10.685403194416221,8.601919191798439,17.502762853742947,18.469909063392254,13.977525783614244,1.9102056869299664,18.243139583145329,19.20014019585534,22.964843955473409,13.06179304038089,22.278420583996468,14.267503394711532,32.783693921706515,14.692154259202663,19.702001494386586,25.40640982970946,16.413540827890522,2.914006402448277,0.96497065192012799,0.96638771183643457,0,inf,0,1
