generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0035221897856341,95,120
2,1.005935237793699,190,120
3,1.0100157893367445,285,120
4,1.0119501414114638,380,120
5,1.0139396635640903,475,120
6,1.0165250198339761,570,120
7,1.0209916708457194,665,120
8,1.0248697245441869,760,120
9,1.0288949895074107,855,120
10,1.0323566596782603,950,120
11,1.0371100718410857,1045,120
12,1.0415138582702383,1140,120
13,1.0440661331017436,1235,120
14,1.0478938286118622,1330,120
15,1.0512018414185689,1425,120
16,1.0542332454106806,1520,120
17,1.0572135534560099,1615,120
18,1.0573787391784191,1710,120
19,1.0630087279807736,1805,120
20,1.0640811386832223,1900,120
21,1.069881479607429,1995,120
22,1.0746433573618011,2090,120
23,1.0803504495484777,2185,120
24,1.0833161859333518,2280,120
25,1.0902620969228232,2375,120
26,1.1000790412089112,2470,120
27,1.1039452906338332,2565,120
28,1.1102721381107439,2660,120
29,1.1183799799738934,2755,120
30,1.1215820587178893,2850,120
31,1.1236950348277635,2945,120
32,1.129120311379803,3040,120
33,1.134605281324796,3135,120
34,1.1365971385378608,3230,120
35,1.1438861348399674,3325,120
36,1.1465265531326565,3420,120
37,1.1473945026109529,3515,120
38,1.1535367406240429,3610,120
39,1.1542950831991181,3705,120
40,1.1606114880587572,3800,120
41,1.1664819294917512,3895,120
42,1.1699880982021047,3990,120
43,1.1749992246426142,4085,120
44,1.1807771339951083,4180,120
45,1.1813433833242177,4275,120
46,1.1895032587436125,4370,120
47,1.1908504164515683,4465,120
48,1.1931404743349663,4560,120
49,1.1970572270955315,4655,120
50,1.1998766969347452,4750,120
51,1.2021440086654913,4845,120
52,1.2036080244665046,4940,120
53,1.2103110319602899,5035,120
54,1.2167198140128614,5130,120
55,1.2195722732304981,5225,120
56,1.2260153565898586,5320,120
57,1.232552678921808,5415,120
58,1.2357676791635226,5510,120
59,1.2387953027546308,5605,120
60,1.2447352319728322,5700,120
61,1.2497469418877578,5795,120
62,1.2567879233913812,5890,120
63,1.2643904759729971,5985,120
64,1.264871514587754,6080,120
65,1.2702212378429936,6175,120
66,1.276505913492149,6270,120
67,1.2783594123072324,6365,120
68,1.283799098935771,6460,120
69,1.2874042729673378,6555,120
70,1.2917594747199748,6650,120
71,1.2945082435736923,6745,120
72,1.2976851521462325,6840,120
73,1.302447488831572,6935,120
74,1.3082022426971001,7030,120
75,1.3082534656077991,7125,120
76,1.3130506868674672,7220,120
77,1.3215387003433461,7315,120
78,1.3229116132852241,7410,120
79,1.3250982904975623,7505,120
80,1.3321958185900113,7600,120
81,1.3340462429649014,7695,120
82,1.3359014098241246,7790,120
83,1.3383162772670534,7885,120
84,1.3425451755667384,7980,120
85,1.3443015643807337,8075,120
86,1.3508391049656732,8170,120
87,1.3545740264088011,8265,120
88,1.3606056646482312,8360,120
89,1.3653096653733945,8455,120
90,1.369755420570907,8550,120
91,1.3804055932144534,8645,120
92,1.3840528464137563,8740,120
93,1.3906695916106524,8835,120
94,1.3989130599564901,8930,120
95,1.404683851952979,9025,120
96,1.4123353550091695,9120,120
97,1.419740719900229,9215,120
98,1.4308980751659819,9310,120
99,1.4341642462267223,9405,120
100,1.4420617670910381,9500,120
101,1.4463711870487594,9595,120
102,1.4500223015186695,9690,120
103,1.4527765743125358,9785,120
104,1.4555996812585625,9880,120
105,1.4615209119160648,9975,120
106,1.4615473378695472,10070,120
107,1.4649275721540898,10165,120
108,1.472259685072266,10260,120
109,1.4798240317726781,10355,120
110,1.4845705369351447,10450,120
111,1.4921653008289386,10545,120
112,1.5014723418165388,10640,120
113,1.5078621217968793,10735,120
114,1.5139282160148761,10830,120
115,1.5221132205023071,10925,120
116,1.5299832969022988,11020,120
117,1.5379564832799699,11115,120
118,1.5459313572846813,11210,120
119,1.5522886341747031,11305,120
120,1.5582229613908303,11400,120
121,1.5665368265522976,11495,120
122,1.5701017428567119,11590,120
123,1.5730311192637954,11685,120
124,1.5812108915122105,11780,120
125,1.5867539319134827,11875,120
126,1.5885181931598193,11970,120
127,1.5963801592984863,12065,120
128,1.6030149300856853,12160,120
129,1.6084003800713875,12255,120
130,1.615261590811613,12350,120
131,1.6192876652167028,12445,120
132,1.619409986595238,12540,120
133,1.6292087189720592,12635,120
134,1.6372835244585817,12730,120
135,1.6405300985262683,12825,120
136,1.6472414573264373,12920,120
137,1.6574092093461905,13015,120
138,1.6625328957083683,13110,120
139,1.6646692418901743,13205,120
140,1.6732183626157759,13300,120
141,1.6757704854952526,13395,120
142,1.681198509060531,13490,120
143,1.6909347111927417,13585,120
144,1.6952197394655388,13680,120
145,1.7031281892609993,13775,120
146,1.7100809589460018,13870,120
147,1.7164107676089844,13965,120
148,1.7245826650698928,14060,120
149,1.7220826686686899,14155,120
150,1.7308289802300105,14250,120
151,1.7410407898398608,14345,120
152,1.7434455001108373,14440,120
153,1.7504607771330349,14535,120
154,1.7594267225948177,14630,120
155,1.7642086912910551,14725,120
156,1.7698874335772747,14820,120
157,1.7737917942181152,14915,120
158,1.787179217198289,15010,120
159,1.7915725836812524,15105,120
160,1.8001181059228115,15200,120
161,1.8070695647176305,15295,120
162,1.8202486232757991,15390,120
163,1.8232277792392479,15485,120
164,1.8282671883182848,15580,120
165,1.8372510879019155,15675,120
166,1.8410563143630951,15770,120
167,1.8497823093022037,15865,120
168,1.85487866900459,15960,120
169,1.8614976405067623,16055,120
170,1.8668346937936504,16150,120
171,1.878766460612751,16245,120
172,1.8942950135671379,16340,120
173,1.9007998698569848,16435,120
174,1.9120740180527986,16530,120
175,1.9194886273413396,16625,120
176,1.9278224114669049,16720,120
177,1.9370059160205884,16815,120
178,1.9436192029090793,16910,120
179,1.9483371475376272,17005,120
180,1.9659941258546452,17100,120
181,1.9739841248841701,17195,120
182,1.979563736502389,17290,120
183,1.984475415606147,17385,120
184,1.9895004873265227,17480,120
185,1.9974713169993472,17575,120
186,2.0021019431400133,17670,120
187,2.0042553036475761,17765,120
188,2.0134556028540644,17860,120
189,2.0209424913688143,17955,120
190,2.0276907224670881,18050,120
191,2.035356182228516,18145,120
192,2.0506687811936484,18240,120
193,2.0552765285507708,18335,120
194,2.0653995571979795,18430,120
195,2.0758834530732906,18525,120
196,2.0795490690599867,18620,120
197,2.0934898645354436,18715,120
198,2.1112354605882557,18810,120
199,2.1187599530394139,18905,120
200,2.1198297752822977,19000,120
201,2.1261272073799775,19095,120
202,2.1329726841470849,19190,120
203,2.1396181221057349,19285,120
204,2.1491858818755771,19380,120
205,2.1545272935071789,19475,120
206,2.1623912836287045,19570,120
207,2.1649374752378789,19665,120
208,2.1743522885250193,19760,120
209,2.1818559910686526,19855,120
210,2.1928649254993533,19950,120
211,2.2039677275885827,20045,120
212,2.2069903316403674,20140,120
213,2.207782116671396,20235,120
