generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0069115368385833,109,120
2,1.0131806642074801,218,120
3,1.0215935879564257,327,120
4,1.0328602921072181,436,120
5,1.0371678093295036,545,120
6,1.0451141676369282,654,120
7,1.0506421102886458,763,120
8,1.0581169826555599,872,120
9,1.0648529825565234,981,120
10,1.0702820289523807,1090,120
11,1.0761456130977176,1199,120
12,1.0825577344987913,1308,120
13,1.0939465035472156,1417,120
14,1.0977125756649462,1526,120
15,1.1065253091197385,1635,120
16,1.118786884276201,1744,120
17,1.1253810426183448,1853,120
18,1.1334786129210164,1962,120
19,1.144081782782951,2071,120
20,1.1480037498947344,2180,120
21,1.1538085041494996,2289,120
22,1.1622780706649607,2398,120
23,1.1710753704141976,2507,120
24,1.17919088304047,2616,120
25,1.1861110890306537,2725,120
26,1.1936745187370577,2834,120
27,1.2046892876981508,2943,120
28,1.2166584016468764,3052,120
29,1.2252755357916314,3161,120
30,1.2310619281095541,3270,120
31,1.246261710660588,3379,120
32,1.2568160851432522,3488,120
33,1.2627956450542477,3597,120
34,1.2719548785062764,3706,120
35,1.281893231848642,3815,120
36,1.2876166999889005,3924,120
37,1.2948216247578888,4033,120
38,1.3016232069856284,4142,120
39,1.3078293143284583,4251,120
40,1.3153493740611957,4360,120
41,1.3263246541739222,4469,120
42,1.3362325026500983,4578,120
43,1.3493369554095844,4687,120
44,1.361543551861286,4796,120
45,1.3671787342694701,4905,120
46,1.3756922976679478,5014,120
47,1.3866656647726356,5123,120
48,1.3965982230675151,5232,120
49,1.4017793450841636,5341,120
50,1.4185726879238163,5450,120
51,1.4281294372271509,5559,120
52,1.4357931960694086,5668,120
53,1.4498302318834171,5777,120
54,1.4562003856829175,5886,120
55,1.4668309342770329,5995,120
56,1.4760493754604926,6104,120
57,1.4852871568521366,6213,120
58,1.4951885733032271,6322,120
59,1.5050779562074867,6431,120
60,1.5150681207948538,6540,120
61,1.531133932728227,6649,120
62,1.5409304737894207,6758,120
63,1.551127105152559,6867,120
64,1.5577333656779835,6976,120
65,1.5640393426892103,7085,120
66,1.5809487657056449,7194,120
67,1.5922693952873723,7303,120
68,1.5965510644525831,7412,120
69,1.6032867543509304,7521,120
70,1.608625318554654,7630,120
71,1.6195499843658081,7739,120
72,1.6289460192444647,7848,120
73,1.6481966702286783,7957,120
74,1.6574100669075171,8066,120
75,1.6656296123282683,8175,120
76,1.6766493689279824,8284,120
77,1.6842648351877227,8393,120
78,1.6901600301222262,8502,120
79,1.7046509842391053,8611,120
80,1.7148966687490814,8720,120
81,1.7256139268054234,8829,120
82,1.7404635968344939,8938,120
83,1.7540010129363681,9047,120
84,1.7672995362282293,9156,120
85,1.7785923216090405,9265,120
86,1.7928993573162453,9374,120
87,1.8060351215282717,9483,120
88,1.8248374064959088,9592,120
89,1.8373041745649068,9701,120
90,1.849223364546779,9810,120
91,1.8594020283560799,9919,120
92,1.8766251784351571,10028,120
93,1.8798857058491232,10137,120
94,1.8900080689325738,10246,120
95,1.9018401086888115,10355,120
96,1.9090082338615038,10464,120
97,1.9198159095755833,10573,120
98,1.9382867518501734,10682,120
99,1.9528388532183836,10791,120
100,1.9662085161949552,10900,120
101,1.9823542130907852,11009,120
102,1.988416407931322,11118,120
103,2.0033843091696681,11227,120
104,2.0126523056633947,11336,120
105,2.0266873388989137,11445,120
106,2.0440822437749699,11554,120
107,2.0522893711789751,11663,120
108,2.0624555106342979,11772,120
109,2.0736578707858371,11881,120
110,2.0813104477607878,11990,120
111,2.0936007003249042,12099,120
112,2.1088771794063379,12208,120
113,2.1256075400287648,12317,120
114,2.1443433065501636,12426,120
115,2.1551918203532519,12535,120
116,2.1616810241806297,12644,120
117,2.1691396746385299,12753,120
118,2.1806633832078792,12862,120
119,2.1949072357938766,12971,120
120,2.2020725692583971,13080,120
121,2.2165017632913258,13189,120
122,2.2189427843281426,13298,120
123,2.22720713240914,13407,120
124,2.2321877575399443,13516,120
125,2.2396187141851276,13625,120
126,2.2487464325247108,13734,120
127,2.2595819339246632,13843,120
128,2.2826309279204149,13952,120
129,2.2883595568330497,14061,120
130,2.3055250768510289,14170,120
131,2.3136035597040441,14279,120
132,2.3247637203626876,14388,120
133,2.3344281843980106,14497,120
134,2.3464038837588781,14606,120
135,2.3645522063535314,14715,120
136,2.3726947010164463,14824,120
137,2.3821939427718806,14933,120
138,2.3974437805012818,15042,120
139,2.4072325912641288,15151,120
140,2.411556070773738,15260,120
141,2.4275464037321299,15369,120
142,2.4342887009306469,15478,120
143,2.4457895262947416,15587,120
144,2.4506033854000391,15696,120
145,2.4626349790571695,15805,120
146,2.4780210342740152,15914,120
147,2.487862968119825,16023,120
148,2.5003416072398514,16132,120
149,2.5199984469205918,16241,120
150,2.5347437200302703,16350,120
151,2.5423794099546257,16459,120
152,2.5572106504218324,16568,120
153,2.5716116842106813,16677,120
154,2.5756748629078094,16786,120
155,2.5813782798804525,16895,120
156,2.5931785208426494,17004,120
157,2.6014193237821086,17113,120
158,2.6084076892633346,17222,120
159,2.625982375019341,17331,120
160,2.6318160293949031,17440,120
161,2.6438221109286788,17549,120
162,2.6561371865849273,17658,120
163,2.6574521270402216,17767,120
164,2.6629037313464572,17876,120
165,2.6773720226301543,17985,120
166,2.6801846250979677,18094,120
167,2.6890396815970892,18203,120
168,2.697692570956189,18312,120
169,2.7114593577465467,18421,120
170,2.7293075940633078,18530,120
171,2.735107150773409,18639,120
172,2.747030034396146,18748,120
173,2.7560675757944,18857,120
174,2.7687798326047863,18966,120
175,2.7845238748437104,19075,120
176,2.784628891160811,19184,120
177,2.7931057487227693,19293,120
178,2.8025721298378756,19402,120
179,2.8076358453487118,19511,120
180,2.8161523823187546,19620,120
181,2.8237796841640335,19729,120
182,2.8297710168980821,19838,120
183,2.8395357465932691,19947,120
184,2.8539702414025836,20056,120
185,2.8587083472731321,20165,120
186,2.8710960150686571,20274,120
187,2.8728122671487046,20383,120
188,2.8820089510679145,20492,120
189,2.8847320440411979,20601,120
190,2.8905738120043787,20710,120
191,2.8971268876570448,20819,120
192,2.9038959309608128,20928,120
193,2.9089454896872327,21037,120
194,2.9132217259114994,21146,120
195,2.9136508959556116,21255,120
196,2.9167792700763235,21364,120
197,2.9297270419928014,21473,120
198,2.9402754136023814,21582,120
199,2.9538281418625165,21691,120
200,2.9566048297374841,21800,120
201,2.9676320635939923,21909,120
202,2.9731860336376648,22018,120
203,2.9880338615086117,22127,120
204,2.9951531784387777,22236,120
205,3.0025878903733516,22345,120
206,3.0033693657891409,22454,120
207,3.0112634403215179,22563,120
208,3.022322535475483,22672,120
209,3.0268034914293498,22781,120
210,3.0308999298105341,22890,120
211,3.0375729104565274,22999,120
212,3.0482992831477316,23108,120
213,3.0555769144967253,23217,120
214,3.068072083693429,23326,120
215,3.0760521077483993,23435,120
216,3.0912538303309129,23544,120
217,3.1016030410742852,23653,120
218,3.1060631113259412,23762,120
219,3.1110283226891138,23871,120
220,3.1173605909835524,23980,120
221,3.1300250902637274,24089,120
222,3.1417382664308038,24198,120
223,3.1497532935847956,24307,120
224,3.1545140246694494,24416,120
225,3.1619593719881713,24525,120
226,3.1718163877887862,24634,120
227,3.1825740576164643,24743,120
228,3.1875025175069429,24852,120
229,3.1905941244384306,24961,120
230,3.2049234686219861,25070,120
231,3.2175981269686176,25179,120
232,3.2329603127424145,25288,120
233,3.242087849566166,25397,120
234,3.2546829261078072,25506,120
235,3.2638932325317778,25615,120
236,3.2719336781639106,25724,120
237,3.2947519852724723,25833,120
238,3.3079513604103128,25942,120
239,3.3099973367602979,26051,120
240,3.3261595272167357,26160,120
241,3.3341654935219749,26269,120
242,3.3402219367610591,26378,120
243,3.3472146010187362,26487,120
244,3.3461245113584406,26596,120
245,3.346626604123784,26705,120
246,3.3543235709665233,26814,120
247,3.3694880078285454,26923,120
248,3.3810355882011449,27032,120
249,3.3903228109738999,27141,120
250,3.3927579756155857,27250,120
251,3.4024640903556658,27359,120
252,3.4151535841209149,27468,120
253,3.4315709145009339,27577,120
254,3.4450808240641044,27686,120
255,3.458434620254256,27795,120
256,3.4632729236759197,27904,120
257,3.4808856537895241,28013,120
258,3.4879322812082196,28122,120
259,3.4972582906561578,28231,120
260,3.5070392523516345,28340,120
261,3.5139833178486546,28449,120
262,3.5240671157086672,28558,120
263,3.5284377550447164,28667,120
264,3.5430127346230091,28776,120
265,3.552143223400968,28885,120
266,3.5636993835048267,28994,120
267,3.5790593464947769,29103,120
268,3.5842091810389451,29212,120
269,3.5911126261860433,29321,120
270,3.605245724272558,29430,120
271,3.6186414181707494,29539,120
272,3.6258672943252828,29648,120
273,3.62773173048598,29757,120
274,3.6353247724455868,29866,120
275,3.6450894486458978,29975,120
276,3.6506832726350402,30084,120
277,3.6532864797462747,30193,120
278,3.6583132535627128,30302,120
279,3.6715851775303969,30411,120
280,3.6802548218383357,30520,120
281,3.6891499564240049,30629,120
282,3.7063883424469113,30738,120
283,3.7121266667222277,30847,120
284,3.7138249422963652,30956,120
285,3.7225770253436257,31065,120
286,3.7325100534779807,31174,120
