parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,WFG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimension,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_generation,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent_size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_size,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,1782042322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning_rate,0.004166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.187068635,1.565582875,0.957390069,0.257030818,4.841344961,6.9815809,2.634239791,1.380890645,7.319518096,9.019925675,6.169376341,8.960626376,8.767347744,19.56882508,10.64528993,15.46035669,9.201784096,14.53556685,34.37943244,1.444081418,41.36077626,30.39004,11.40255948,42.73739201,0.497651204,3.897623739,0,0.285874996,0,1
1,1.938626938,3.942901035,1.790281251,6.600919417,5.004245424,10.75259273,8.170632975,8.730523308,11.68356799,6.229031403,17.69808129,20.18558244,17.88774515,26.33462185,10.56236471,20.45648815,1.295000571,17.85781787,30.38189967,31.01016351,23.95144876,3.862799074,20.85933514,20.16915792,1.811588035,2.089988667,0,0.443431969,0,1
2,1.943993112,3.876156959,5.829458821,2.105489826,9.53160894,4.2195765,11.81004386,5.47257183,10.73764055,10.1483544,5.457096857,20.02298664,4.150953202,5.038855729,28.20152174,17.27205135,18.00026995,21.84580981,5.241006825,10.19269196,11.49468774,11.06651094,8.544609336,35.78757897,1.893618799,1.382502533,0,inf,0,1
3,0.118036172,0.736220007,0.453965562,3.428810092,2.820068798,5.279592727,2.048168164,15.48220368,11.47604509,16.10884365,7.412254546,7.722767459,15.30274358,9.066281491,20.854196,12.27914116,0.099290281,13.23735794,2.004899252,4.314934472,18.32259543,28.43299061,35.60472684,9.45301908,0.575587078,3.77425082,0,0.565176402,0,1
4,1.243766403,3.28390605,5.310491177,6.293623378,3.697140793,2.709497725,3.013179209,13.81911807,15.62940603,0.483496255,15.11770371,0.343276228,9.990871344,9.894302947,23.95794666,9.52063082,18.9689035,35.35929219,2.390635211,20.32949916,6.973688619,11.73959662,28.04502988,30.28508847,1.868543841,1.772358641,0,0.296833908,0,1
5,1.241207499,3.897256924,0.54697831,5.902047627,4.516578603,4.044993112,2.632757075,14.14649893,5.375383387,16.02831936,7.757190319,7.245170679,13.83822564,1.40359281,6.544631397,22.48468263,21.64755486,33.49326885,11.21297385,37.53994299,6.61071171,17.8975467,21.12079553,0.165513587,1.422419043,2.180131885,0,0.385442427,0,1
6,0.724054561,1.838684859,0.286052986,5.737729954,0.511337042,10.85457548,3.095804266,3.603170163,4.737432379,6.736493567,15.75435446,20.90680085,4.208351705,12.68060544,10.79889274,24.24767289,19.62945898,3.621267289,6.404602173,11.52741029,21.99767902,25.62781461,21.0808834,20.67738722,0.798252654,2.84026017,0,0.906873463,0,1
7,0.301372515,3.238244649,5.208966746,4.235399361,2.08121243,3.602110242,12.20983978,13.36064854,15.27438041,3.42006819,2.924481987,20.28687394,16.09095389,1.733983363,6.053398792,12.21570136,21.09560914,0.98195023,28.04863312,28.27817962,26.13001626,18.5866513,8.422260228,23.13828513,1.312277734,2.220706325,0,0.213994861,0,1
8,0.146450228,0.230971614,0.023578415,0.213032273,4.642976745,6.711432774,8.846483301,12.79536001,6.764467211,4.222129327,12.101219,18.24723122,23.79522268,2.579996417,19.15031764,26.76038876,7.650802169,13.48699238,7.599990896,36.9450104,15.0353799,14.04466236,19.35845433,22.17931118,0.429140755,4.320320739,0,inf,0,1
9,1.491574969,2.064587599,0.352264119,7.935047879,4.843213851,4.58981349,6.562252845,4.278111641,9.651312397,16.66997362,10.2980091,11.96191802,17.11680613,2.899703986,9.331444691,29.83453063,6.797042446,14.72321419,8.396595865,20.75007718,32.11819179,22.39962031,2.09634993,46.32014923,1.217498774,2.397729296,0,0.561884518,0,1
