generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0072917616203709,95,120
2,1.013375193092821,190,120
3,1.0192210397115329,285,120
4,1.0253123880615116,380,120
5,1.0303065725111762,475,120
6,1.0398177185730419,570,120
7,1.0503244835889796,665,120
8,1.056194248147089,760,120
9,1.0654770242317217,855,120
10,1.072052094286684,950,120
11,1.0797154474538695,1045,120
12,1.0880042148757378,1140,120
13,1.094281712480542,1235,120
14,1.1075551435919422,1330,120
15,1.1140806940857209,1425,120
16,1.1179946346989251,1520,120
17,1.1260875550016824,1615,120
18,1.1339619486424557,1710,120
19,1.1435400317106699,1805,120
20,1.151693305831309,1900,120
21,1.1575924048308026,1995,120
22,1.1632288973163183,2090,120
23,1.1698140006275406,2185,120
24,1.1705242119077364,2280,120
25,1.1781513700010666,2375,120
26,1.183638612660028,2470,120
27,1.1932888864327948,2565,120
28,1.2005702349582184,2660,120
29,1.2058102459931568,2755,120
30,1.2168228808258574,2850,120
31,1.2246110683134324,2945,120
32,1.2329084569464599,3040,120
33,1.2403451556518468,3135,120
34,1.2469855058677237,3230,120
35,1.2552462036348075,3325,120
36,1.2635169557085688,3420,120
37,1.2728251675629034,3515,120
38,1.2859949639776116,3610,120
39,1.2932011400512897,3705,120
40,1.2976068210288381,3800,120
41,1.3018254539033345,3895,120
42,1.3113347146511787,3990,120
43,1.3189929478554272,4085,120
44,1.3301615530327988,4180,120
45,1.3388949753271964,4275,120
46,1.3481771146440489,4370,120
47,1.3541544635690654,4465,120
48,1.3598593145796658,4560,120
49,1.3658694238879834,4655,120
50,1.3717726050576162,4750,120
51,1.3751924980732062,4845,120
52,1.3864620301054404,4940,120
53,1.3953123225537585,5035,120
54,1.4068388533362481,5130,120
55,1.4139948916593488,5225,120
56,1.4205725433788483,5320,120
57,1.4275576359108757,5415,120
58,1.4385137294118704,5510,120
59,1.4465711071586771,5605,120
60,1.4576173548774651,5700,120
61,1.4690069785552093,5795,120
62,1.4759744468761484,5890,120
63,1.4826573392331641,5985,120
64,1.4931289020763809,6080,120
65,1.5087805931529243,6175,120
66,1.5207897195058591,6270,120
67,1.5287838504121996,6365,120
68,1.5417798057238141,6460,120
69,1.5527817798698498,6555,120
70,1.5617077018454353,6650,120
71,1.5712422348506014,6745,120
72,1.5809013713581073,6840,120
73,1.5938341008378956,6935,120
74,1.6052565560507557,7030,120
75,1.6140551248764283,7125,120
76,1.6240407749801462,7220,120
77,1.6349433451558251,7315,120
78,1.6425722783401329,7410,120
79,1.6561413639768843,7505,120
80,1.6654532476249715,7600,120
81,1.676161097139816,7695,120
82,1.6848491302460373,7790,120
83,1.6909843203601869,7885,120
84,1.6973977757067618,7980,120
85,1.7068998447776873,8075,120
86,1.7160837763464343,8170,120
87,1.7281457630406019,8265,120
88,1.7367857599414998,8360,120
89,1.7452048563086249,8455,120
90,1.7569995553244995,8550,120
91,1.7683205681491283,8645,120
92,1.78254862354657,8740,120
93,1.7959863060909844,8835,120
94,1.8015510284546745,8930,120
95,1.810334502522746,9025,120
96,1.8273831408527537,9120,120
97,1.8371295127926766,9215,120
98,1.8514640883419256,9310,120
99,1.867225721483438,9405,120
100,1.8828733775087327,9500,120
101,1.8946173772084718,9595,120
102,1.909142891654632,9690,120
103,1.9265023410957827,9785,120
104,1.9356104495540221,9880,120
105,1.9429632204272187,9975,120
106,1.953939224865235,10070,120
107,1.9617605592290992,10165,120
108,1.9712763127864592,10260,120
109,1.9785124166829542,10355,120
110,1.9925070159106801,10450,120
111,2.0010884511120235,10545,120
112,2.0131106234905984,10640,120
113,2.0234635255273439,10735,120
114,2.0373764490517541,10830,120
115,2.0490364795097014,10925,120
116,2.0605817144566099,11020,120
117,2.0739284868623726,11115,120
118,2.0857870151180977,11210,120
119,2.097581891397867,11305,120
120,2.1096012369689099,11400,120
121,2.1227311136823888,11495,120
122,2.1313169276302628,11590,120
123,2.1426926877466399,11685,120
124,2.151806101295723,11780,120
125,2.1633160337707862,11875,120
126,2.1715079530854213,11970,120
127,2.1905349615461995,12065,120
128,2.2011707377181766,12160,120
129,2.2156986343766771,12255,120
130,2.2278669647650808,12350,120
131,2.2346403714580116,12445,120
132,2.2455511883285117,12540,120
133,2.256607414493184,12635,120
134,2.2631108059980791,12730,120
135,2.2749259778604585,12825,120
136,2.286462025741776,12920,120
137,2.297625334034719,13015,120
138,2.3038217631688673,13110,120
139,2.3170347042408936,13205,120
140,2.3338654057959132,13300,120
141,2.3429835024758123,13395,120
142,2.3497815676706217,13490,120
143,2.3575998178535191,13585,120
144,2.3705776227871875,13680,120
145,2.3832555999193441,13775,120
146,2.3967095663618023,13870,120
147,2.4124155792249709,13965,120
148,2.4301469530762039,14060,120
149,2.4352807677361805,14155,120
150,2.4458007670729409,14250,120
151,2.4541760287432202,14345,120
152,2.4637847630244369,14440,120
153,2.4752928411649444,14535,120
154,2.4917170237298443,14630,120
155,2.5103351943180523,14725,120
156,2.5268476451191977,14820,120
157,2.5280948073462031,14915,120
158,2.5404718075390522,15010,120
159,2.5554904288945646,15105,120
160,2.5739633499065104,15200,120
161,2.5938322856302585,15295,120
162,2.608683952032079,15390,120
163,2.6279833279678231,15485,120
164,2.6483762885216531,15580,120
165,2.6596079790099774,15675,120
166,2.678335932337188,15770,120
167,2.6925945692650881,15865,120
168,2.7063152920346756,15960,120
169,2.724254058618067,16055,120
170,2.754928549323902,16150,120
171,2.7667220762190325,16245,120
172,2.7750671386748142,16340,120
173,2.7863776597759289,16435,120
174,2.7962440931737476,16530,120
175,2.8145578490411647,16625,120
176,2.8298749985707707,16720,120
177,2.8440402338432067,16815,120
178,2.8558802637304836,16910,120
179,2.8733567679617056,17005,120
180,2.8902177292670279,17100,120
181,2.908385107772439,17195,120
182,2.9229675841604705,17290,120
183,2.9406667368685295,17385,120
184,2.9624649662590667,17480,120
185,2.9751862929192501,17575,120
186,3.0026310454197689,17670,120
187,3.0212563386734219,17765,120
188,3.0418399714875508,17860,120
189,3.0607465409244203,17955,120
190,3.0731000445314018,18050,120
191,3.0885938892155771,18145,120
192,3.1041675707861311,18240,120
193,3.1199385513501277,18335,120
194,3.1431819329968462,18430,120
195,3.1667941420442389,18525,120
196,3.1927445437924526,18620,120
197,3.2087883914922215,18715,120
198,3.2297814641744664,18810,120
199,3.2462084866372156,18905,120
200,3.2611736449104152,19000,120
201,3.2720195794006721,19095,120
202,3.2902132552488785,19190,120
203,3.3164472941953704,19285,120
204,3.3470134818462203,19380,120
205,3.3626444445388439,19475,120
206,3.3762652747903497,19570,120
207,3.3985633682606498,19665,120
208,3.4077342335340735,19760,120
209,3.4255324954114816,19855,120
210,3.4400265436194859,19950,120
211,3.4652359638932717,20045,120
212,3.4868322452076135,20140,120
213,3.5105514202990742,20235,120
214,3.5316934847332484,20330,120
215,3.5492532774148264,20425,120
216,3.5692516385350679,20520,120
217,3.5861730772533602,20615,120
218,3.6088482371902741,20710,120
219,3.634495741942537,20805,120
220,3.653537440700088,20900,120
221,3.6730243090327024,20995,120
222,3.6951403529844895,21090,120
223,3.7165676513928276,21185,120
224,3.7332538567959657,21280,120
225,3.750495410250978,21375,120
226,3.7726592856859749,21470,120
227,3.7910857434791385,21565,120
228,3.8093251481835746,21660,120
229,3.8240798594363037,21755,120
230,3.8442865060160565,21850,120
231,3.8536669602511857,21945,120
232,3.8725603265655764,22040,120
233,3.8849286426785823,22135,120
234,3.9149789320629242,22230,120
235,3.9327249471453989,22325,120
236,3.9553072938186973,22420,120
237,3.9773240193618542,22515,120
238,4.0031566130386311,22610,120
239,4.0301236626028469,22705,120
