parameter,value
function,WFG4
dimension,24
population_size,120
max_generation,1000
parent_size,25
child_size,95
seed,1782042351
constraint,0
mutation_rate,0
learning_rate,0.0041666666666666666
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.8909382722262513,2.9642698909939802,2.9355418885230664,6.3417674373645738,6.1105896763061445,2.4740325245037651,3.8065923850615055,15.212722990162462,6.2481283208738745,4.6709433227110981,14.327165584929983,4.4235961052115877,16.563895555172387,21.720970477022888,19.02662491411472,23.669457944655282,23.708386180773612,15.91188204186591,6.941581998273513,15.792457213697194,15.084024752931656,14.511107343814032,35.94437925092889,30.191673820178593,1.5595940570794711,3.3031890519580851,0,0.13435566428562296,0,1
1,1.2687870190122246,0.052263347676103994,0.55642931533495155,7.8702343667335519,2.4864456212307569,4.034563145725798,1.8174891410362317,13.502684954848805,7.0942543593282341,9.5603148765412662,20.931693129537944,4.6555276157803442,16.756545279098834,15.881407585616948,15.488205865553944,16.721726409363676,31.974934165372087,25.479406302675464,36.764163345423569,6.77363972192164,1.7311350746227616,0.72292840122695423,14.885408631399244,29.530910981784743,2.0791949161758834,2.3124463636082968,0,inf,0,1
2,0.072777596865119282,2.2198224799589541,2.0253147660609114,7.8648728433541519,6.9353961327397382,4.1903236049842132,8.4203270394663026,8.9999650404170506,10.166731827209562,19.864434297085644,20.09730212994176,9.5618884302117255,7.9515193807108844,2.6138503060341391,12.405521990486374,1.3204455318634731,27.479474431832937,17.036086629276067,32.869233577911153,19.447700232821816,15.127774671879866,38.959223835972203,26.990720972930529,17.859965491111435,1.6744455087381955,3.2071365129495164,0,0.19351513411753063,0,1
3,0.31054372854777162,2.3672600093963005,4.2097362380362515,2.4422026489724771,4.5882021526827019,7.5149973655022571,4.4066885313390314,6.4061855389265503,16.511946161658923,5.6270519039930971,18.968772883307118,11.423683175750941,12.776814725044209,24.830287745447087,8.3322155427340086,20.152306948527116,15.495014287622336,8.2261076703939633,18.914965419453033,39.480025566776099,20.118431799533042,33.079690421368696,18.319559043090319,20.816629327038918,0.9516505783904563,3.9519944025439093,0,0.19525901216640607,0,1
4,1.1551952602371827,3.3290291252512407,1.6573462283789469,0.27585501009654601,4.7427934589691381,8.3105895288842699,4.377633193661298,5.2017178956925774,8.5963498251483905,17.348632583749541,8.3644707455702498,18.61405711797541,22.601710285407613,17.552945688271524,29.771229456671747,22.325904425280434,11.909797152224343,6.6668139859098936,30.333318792247823,16.131991049522533,27.755397622428188,16.644613121178356,21.469437208736327,4.7676852562800596,1.6178988892294148,3.2630124872216704,0,0.12972842428075332,0,1
5,1.092625641246916,0.3100888736700349,5.6065315071545765,5.012118194354545,3.5402654230320247,0.73597287660752253,6.1956639482597282,7.387411308827847,7.5027964462710344,8.9799788621066572,2.0964184633392442,12.704533165953631,11.25819606067977,12.498384093863113,2.6126448614317188,3.7983794941957441,25.016882021897409,16.580045394940345,1.010292914930452,36.869415165581067,28.825746212190346,35.440022003209847,17.216084080823212,7.6650657825155424,1.5473451881195288,3.4292702936212924,0,0.17621922903363602,0,1
6,0.39911751287788383,1.477146410954826,2.4404266494654809,7.7025542325628873,3.9813095607943136,1.7477277418553521,6.8166298872910449,12.475562065141917,1.9718750525243962,11.010063371968112,6.80149166964289,15.095589146382968,5.119220293512134,13.350080325393458,19.618754750168897,15.010520098550941,25.007583281698967,24.239149727438743,14.506803841419325,13.376847104817152,38.69506660070931,22.255304859998702,32.830747840833531,36.172149939387864,1.1223381819339648,3.8585922319452126,0,0.087045419534005478,0,1
7,1.3515429640082788,1.3156952097559453,1.5415370350981417,4.92997394634427,7.1747529892033155,6.6536864255824719,9.9304413460511984,1.1688706497406667,9.9412010387273195,2.8192191189917493,16.159128373062515,19.363501568398249,17.604521569069743,15.68182117740948,23.775974884286008,5.85081394295349,1.1908760687468334,4.7775814169062025,14.921483655867611,35.844274508903816,29.055663596429525,21.415354228571243,28.855199409899054,18.050239499800337,0.90812822011696859,4.1680332013655477,0,0.11964225564887621,0,1
8,1.9956959910951069,3.7283384940469166,1.4399477083964891,4.2907601382616711,0.27388133824428534,5.9464106333799087,10.598097964423577,5.5325794559667925,15.965681527286607,16.413197193771222,13.381891544280009,3.5708120727715249,12.416426921827828,1.9965786562575796,25.693026889191582,1.2814255025473045,21.799583534957108,12.118689098944879,12.939482649901258,21.109699619647429,31.627818483862352,14.993805524500839,10.618422414984147,20.920233370260899,1.801170380676437,2.9561354652707097,0,0.16925846812784751,0,1
9,0.079642093483514462,0.33623883052629155,1.0457734481751655,0.040746291666337239,7.8382470757444782,8.8873015318126409,4.8559449335679323,0.69509808213249535,10.526465420125536,19.871899417783251,1.9757448279083689,14.207342500335923,9.5319424756260904,14.566406220080225,26.416123186579551,17.551228043005779,12.890819171928467,18.675880794614081,4.841479115406214,10.331492968330844,36.340551529857095,19.100224884456473,31.506084034597574,46.56611789784538,1.9266553153282273,2.7952660154998252,0,0.093354253599494647,0,1
