generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0012843598063204,99,120
2,1.0012559354395554,198,120
3,1.0017839759273752,297,120
4,1.0020620748283635,396,120
5,1.0019386072654204,495,120
6,1.0015027728877941,594,120
7,1.0016798622472753,693,120
8,1.0013569783869378,792,120
9,1.001456563654066,891,120
10,1.0026531585654066,990,120
11,1.0022880491289232,1089,120
12,1.0025485352047205,1188,120
13,1.002120398890862,1287,120
14,1.0019652197181799,1386,120
15,1.0023903146932731,1485,120
16,1.0032758893003766,1584,120
17,1.0027297830460824,1683,120
18,1.003093544382049,1782,120
19,1.0032187753890647,1881,120
20,1.0042348603852596,1980,120
21,1.0043428426186471,2079,120
22,1.0043617947812844,2178,120
23,1.0051568981480099,2277,120
24,1.0058435168374096,2376,120
25,1.0064199746919187,2475,120
26,1.0076817582878574,2574,120
27,1.0074997152869598,2673,120
28,1.0074457627628906,2772,120
29,1.0079704283672475,2871,120
30,1.0080978583895526,2970,120
31,1.0084655045023658,3069,120
32,1.0088859607091765,3168,120
33,1.0094247224377404,3267,120
34,1.0094412933045513,3366,120
35,1.0103500783662007,3465,120
36,1.0111369377923629,3564,120
37,1.0118307289444242,3663,120
38,1.0120427015544897,3762,120
39,1.0129653399586587,3861,120
40,1.0139780160801015,3960,120
41,1.0145796945923198,4059,120
42,1.0149000846987126,4158,120
43,1.0156421938260902,4257,120
44,1.0155290363104343,4356,120
45,1.0159185437622709,4455,120
46,1.0164007391931547,4554,120
47,1.0167646461208528,4653,120
48,1.0167837491683054,4752,120
49,1.0171505078826106,4851,120
50,1.0183634509383128,4950,120
51,1.0190804939281717,5049,120
52,1.0197719563281853,5148,120
53,1.0200703543713201,5247,120
54,1.0201756599531775,5346,120
55,1.0201614253307891,5445,120
56,1.0200624570284347,5544,120
57,1.0197279928662617,5643,120
58,1.0204844734538134,5742,120
59,1.0203849230458781,5841,120
60,1.0207240138455609,5940,120
61,1.0211084593211779,6039,120
62,1.0211792500214287,6138,120
63,1.023430781226778,6237,120
64,1.0242401645780888,6336,120
65,1.0237687528123098,6435,120
66,1.0236777178862564,6534,120
67,1.0234810526407874,6633,120
68,1.0238404571097333,6732,120
69,1.0243077140856625,6831,120
70,1.0246456495182439,6930,120
71,1.0246454520023143,7029,120
72,1.0245623634827723,7128,120
73,1.0249266595740134,7227,120
74,1.0246450192822882,7326,120
75,1.0245508437418656,7425,120
76,1.0253123014559564,7524,120
77,1.0249385274595877,7623,120
78,1.0253899574465626,7722,120
79,1.0262991971202065,7821,120
80,1.0274461121747236,7920,120
81,1.0283009289192913,8019,120
82,1.028613914872714,8118,120
83,1.0285672816589275,8217,120
84,1.0284670544175791,8316,120
85,1.0288701883772187,8415,120
86,1.0286291183098528,8514,120
87,1.0286048534613281,8613,120
88,1.0290520531989464,8712,120
89,1.0291105144572714,8811,120
90,1.0292434030848894,8910,120
91,1.0296143206779236,9009,120
92,1.0303530987864564,9108,120
93,1.030107583772365,9207,120
94,1.0310075721723111,9306,120
95,1.0316071340616413,9405,120
96,1.0323529094888841,9504,120
97,1.0333183288542505,9603,120
98,1.0337024254033411,9702,120
99,1.0340300847401303,9801,120
100,1.0342356876015752,9900,120
101,1.0347605395547184,9999,120
102,1.0347044717747131,10098,120
103,1.0359855630370951,10197,120
104,1.0367769951672661,10296,120
105,1.0380499143358899,10395,120
106,1.0393053443315652,10494,120
107,1.0399085834354669,10593,120
108,1.0411741940755579,10692,120
109,1.0433211434242626,10791,120
110,1.0441585614812066,10890,120
111,1.045263575770959,10989,120
112,1.0460983658975762,11088,120
113,1.0468386783438057,11187,120
114,1.0474476760556544,11286,120
115,1.0479667768564354,11385,120
116,1.048075259820626,11484,120
117,1.0485770395193168,11583,120
118,1.0494738527327692,11682,120
119,1.0499414229801705,11781,120
120,1.0516828191060503,11880,120
121,1.0521197074291233,11979,120
122,1.052539828574319,12078,120
123,1.0540351135725081,12177,120
124,1.0544158435413666,12276,120
125,1.0556283609990809,12375,120
126,1.0558525711554638,12474,120
127,1.0572535911756262,12573,120
128,1.0577842281989127,12672,120
129,1.0581357260767703,12771,120
130,1.0589553076078546,12870,120
131,1.0597542016005463,12969,120
132,1.0625399140677025,13068,120
133,1.0640047835830717,13167,120
134,1.0654429693737948,13266,120
135,1.0673082877083515,13365,120
136,1.0678871855446661,13464,120
137,1.0690832402567563,13563,120
138,1.069883932092937,13662,120
139,1.0707265774755199,13761,120
140,1.0715970043415106,13860,120
141,1.0737994400154092,13959,120
142,1.0745185904518542,14058,120
143,1.0753130168202276,14157,120
144,1.0756348425368683,14256,120
145,1.076568239852338,14355,120
146,1.077170175919663,14454,120
147,1.0780524884968412,14553,120
148,1.0791030147408738,14652,120
149,1.0798961011500183,14751,120
150,1.080889825209798,14850,120
151,1.0823862429527673,14949,120
152,1.0842490038957899,15048,120
153,1.0857159536958854,15147,120
154,1.0870826854893014,15246,120
155,1.0885656214718398,15345,120
156,1.0899130796550611,15444,120
157,1.0908167817847061,15543,120
158,1.0920655410944173,15642,120
