generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0007474781124739,95,120
2,1.0014646667012277,190,120
3,1.0023165771530627,285,120
4,1.0026059639480573,380,120
5,1.0028708296937838,475,120
6,1.0034804665677701,570,120
7,1.0039612469862547,665,120
8,1.0041000136084053,760,120
9,1.0039069435596346,855,120
10,1.0038874619129812,950,120
11,1.003926099620561,1045,120
12,1.0038845796492237,1140,120
13,1.0049439582464856,1235,120
14,1.0047006097975857,1330,120
15,1.0049324730879208,1425,120
16,1.005250796066899,1520,120
17,1.0058834736806552,1615,120
18,1.0059293590747129,1710,120
19,1.0056922108617885,1805,120
20,1.0057628504700797,1900,120
21,1.0058892956406027,1995,120
22,1.0065559053501567,2090,120
23,1.0067855861336688,2185,120
24,1.0069090581195126,2280,120
25,1.0070664655786905,2375,120
26,1.0076849019024492,2470,120
27,1.0084173018963609,2565,120
28,1.0086826029754707,2660,120
29,1.008459032148626,2755,120
30,1.008419914314747,2850,120
31,1.0081626396809493,2945,120
32,1.0086476873714292,3040,120
33,1.0102571828818969,3135,120
34,1.0103182011860954,3230,120
35,1.0101768865151111,3325,120
36,1.0103935554005261,3420,120
37,1.011014524107636,3515,120
38,1.0108706104362117,3610,120
39,1.0110017214729947,3705,120
40,1.0114053630153956,3800,120
41,1.0117984444756389,3895,120
42,1.0119387510223248,3990,120
43,1.0122155634227257,4085,120
44,1.0123191529291296,4180,120
45,1.0123762537656205,4275,120
46,1.0121654586027009,4370,120
47,1.0124842826671101,4465,120
48,1.0126871262099357,4560,120
49,1.0136369122016293,4655,120
50,1.0135245754396183,4750,120
51,1.0131182770883924,4845,120
52,1.0131496382460401,4940,120
53,1.0133889710452415,5035,120
54,1.0134266812359385,5130,120
55,1.0136836240661868,5225,120
56,1.0136230441822986,5320,120
57,1.0140187948442856,5415,120
58,1.0139778417607568,5510,120
59,1.0139634972111728,5605,120
60,1.014078145460428,5700,120
61,1.0138318394473249,5795,120
62,1.0138093897302052,5890,120
63,1.0136732014869017,5985,120
64,1.0135897441300761,6080,120
65,1.0136595167088944,6175,120
66,1.0136673211342915,6270,120
67,1.0136093053893604,6365,120
68,1.0135914499919971,6460,120
69,1.0140559670431883,6555,120
70,1.0142545403962451,6650,120
71,1.0141762440492723,6745,120
72,1.0138208575241359,6840,120
73,1.0135146198188458,6935,120
74,1.0131732155314477,7030,120
75,1.0130952735521934,7125,120
76,1.0136868387406177,7220,120
77,1.0134449923494926,7315,120
78,1.014108777776406,7410,120
79,1.0144432235848118,7505,120
80,1.0147059271912282,7600,120
81,1.0150981712303682,7695,120
82,1.0152025784368666,7790,120
83,1.0149304064145008,7885,120
84,1.0155212540548479,7980,120
85,1.015966854505135,8075,120
86,1.0156857061259499,8170,120
87,1.0159626489503368,8265,120
88,1.0165544128433122,8360,120
89,1.016800052637322,8455,120
90,1.016995585441427,8550,120
91,1.0170247506036334,8645,120
92,1.0173930859373483,8740,120
93,1.0177183206466771,8835,120
94,1.0181518632854376,8930,120
95,1.0182753045954063,9025,120
96,1.0183839249553048,9120,120
97,1.0180650890005412,9215,120
98,1.0179224833136884,9310,120
99,1.0177301910943457,9405,120
100,1.0176620825238747,9500,120
101,1.01836492828424,9595,120
102,1.0193504478111304,9690,120
103,1.0200144621777538,9785,120
104,1.0204488549013839,9880,120
105,1.0206633315530684,9975,120
106,1.0210527109734766,10070,120
107,1.0211504215523115,10165,120
108,1.0211991598364878,10260,120
109,1.0209669356184805,10355,120
110,1.0212914370199815,10450,120
111,1.0212934596171288,10545,120
112,1.0208362409318938,10640,120
113,1.0205718683035265,10735,120
114,1.0199631696871889,10830,120
115,1.019948252245608,10925,120
116,1.0199757981680488,11020,120
117,1.0208846332284294,11115,120
118,1.0209192124334812,11210,120
119,1.0215543080695291,11305,120
120,1.0209707276886406,11400,120
121,1.021265723049142,11495,120
122,1.0215029836788758,11590,120
123,1.0221301548341433,11685,120
124,1.0224599800091247,11780,120
125,1.0228397385595867,11875,120
126,1.0233459147952488,11970,120
127,1.0234822866179083,12065,120
128,1.0242522236620977,12160,120
129,1.0237728584971537,12255,120
130,1.0239571986078819,12350,120
131,1.0242642715073909,12445,120
132,1.0242498251143346,12540,120
133,1.024275358343496,12635,120
134,1.0242308125086419,12730,120
135,1.0239412989935772,12825,120
136,1.0238454376570267,12920,120
137,1.0237839244160074,13015,120
138,1.0237369978955881,13110,120
139,1.0241294660896196,13205,120
140,1.0238744028924864,13300,120
141,1.0239994503199099,13395,120
142,1.0246217601859877,13490,120
143,1.0250926516806167,13585,120
144,1.0253823151622206,13680,120
145,1.0251153038107623,13775,120
146,1.0251805244952641,13870,120
147,1.0253973696772571,13965,120
148,1.0252414568688619,14060,120
149,1.0249319978127511,14155,120
150,1.0247256357454366,14250,120
151,1.0248283599194454,14345,120
152,1.0247913000504763,14440,120
153,1.0243835088805893,14535,120
154,1.024115976791494,14630,120
155,1.0239814673996888,14725,120
156,1.0245717114371389,14820,120
157,1.0244864997055585,14915,120
158,1.0245698258466007,15010,120
159,1.0247811435395819,15105,120
160,1.0253582522907876,15200,120
161,1.0250921844053142,15295,120
162,1.0249931794852805,15390,120
163,1.0254297744859941,15485,120
164,1.0259717616056694,15580,120
165,1.0260187875644371,15675,120
166,1.0259458384550382,15770,120
167,1.0260568854440903,15865,120
168,1.0261150927578697,15960,120
169,1.0261636808053489,16055,120
170,1.0269474356731483,16150,120
171,1.0271292982455993,16245,120
172,1.0283799391727821,16340,120
173,1.02841872044573,16435,120
174,1.0283038125556589,16530,120
175,1.0287027917476816,16625,120
176,1.0288985084974385,16720,120
177,1.0293859550918683,16815,120
178,1.0298418615588454,16910,120
179,1.0296893681464943,17005,120
180,1.0301369554240836,17100,120
181,1.0304066959750597,17195,120
182,1.0302166857272987,17290,120
183,1.0303171280110359,17385,120
184,1.0305143835788013,17480,120
185,1.0308099301052138,17575,120
186,1.0307028765838322,17670,120
187,1.0306469754574203,17765,120
188,1.0303255063642891,17860,120
189,1.0306840443598893,17955,120
190,1.0304692318427455,18050,120
191,1.0307019536855078,18145,120
192,1.0311248154139969,18240,120
193,1.0307886434221258,18335,120
194,1.0312944494035574,18430,120
195,1.0314128471156074,18525,120
196,1.0312481072452968,18620,120
197,1.0323050399141114,18715,120
198,1.0329487507832742,18810,120
199,1.0327684889251108,18905,120
200,1.0328283107986016,19000,120
201,1.0327891173207997,19095,120
202,1.0331901766113234,19190,120
203,1.033443567052625,19285,120
204,1.0331454074001687,19380,120
205,1.033146956663854,19475,120
206,1.0330578377039488,19570,120
207,1.0333351378600317,19665,120
208,1.0329978369458177,19760,120
209,1.0340028707925755,19855,120
210,1.0340494029535339,19950,120
211,1.0346907263962795,20045,120
212,1.0356564716547467,20140,120
213,1.0361488451194916,20235,120
214,1.036058759136927,20330,120
215,1.0362456509910876,20425,120
216,1.0359494208276074,20520,120
217,1.0366285403666335,20615,120
218,1.0361691512919669,20710,120
219,1.0361907702025051,20805,120
220,1.0366417695143368,20900,120
221,1.0373138476093917,20995,120
222,1.0379711034939494,21090,120
223,1.0382083183014288,21185,120
224,1.0382446255728226,21280,120
225,1.0390885838445667,21375,120
226,1.0395362286719398,21470,120
227,1.0390862947110899,21565,120
228,1.0405219863182529,21660,120
229,1.0407390199209079,21755,120
230,1.041186493715399,21850,120
231,1.0416233679679046,21945,120
232,1.04149443807804,22040,120
233,1.0419519819827034,22135,120
234,1.0421846495015263,22230,120
235,1.0423547759332745,22325,120
236,1.042109274365417,22420,120
237,1.0419219955910966,22515,120
238,1.0421615365037373,22610,120
239,1.0423370860216774,22705,120
240,1.0423979831515935,22800,120
241,1.041987619242537,22895,120
242,1.0418452040446873,22990,120
243,1.0417026983792688,23085,120
244,1.0415146914952658,23180,120
245,1.0412130993561493,23275,120
246,1.0413136349756575,23370,120
247,1.0417689542631476,23465,120
248,1.0418692574471204,23560,120
249,1.0425447320553298,23655,120
250,1.042610544970574,23750,120
251,1.0421994244682553,23845,120
252,1.042568534199545,23940,120
253,1.0423810067278365,24035,120
254,1.0422014789326395,24130,120
255,1.0424839369794769,24225,120
256,1.0426008831106814,24320,120
257,1.0426302351575265,24415,120
258,1.043017099313776,24510,120
259,1.0433677065536811,24605,120
260,1.0439067619180171,24700,120
261,1.0443792320546639,24795,120
262,1.044462007099664,24890,120
263,1.044725369304774,24985,120
264,1.0446335266546272,25080,120
265,1.0449916196385201,25175,120
266,1.0458907888869442,25270,120
267,1.0467899270001537,25365,120
268,1.0464849183335523,25460,120
269,1.0469516240404906,25555,120
270,1.0469376461294126,25650,120
271,1.0471870455649324,25745,120
272,1.0469198095583845,25840,120
273,1.0470821769835963,25935,120
274,1.0468670178316288,26030,120
275,1.0475700839656927,26125,120
276,1.0478154297792626,26220,120
277,1.0474208408186796,26315,120
278,1.0475328455973372,26410,120
279,1.0476621076549411,26505,120
280,1.047768254681571,26600,120
281,1.0476680110567727,26695,120
282,1.0475520884401035,26790,120
283,1.0479309045858121,26885,120
284,1.0480532260984601,26980,120
285,1.0482061279134507,27075,120
286,1.0483764278315877,27170,120
287,1.0480742684926974,27265,120
288,1.0476627878855491,27360,120
289,1.0480624678684982,27455,120
290,1.0481094863623412,27550,120
291,1.0477433003653642,27645,120
292,1.0474820570024106,27740,120
293,1.0472848092244509,27835,120
294,1.0475262770500802,27930,120
295,1.0473376490789967,28025,120
296,1.047421030830153,28120,120
297,1.047522724178396,28215,120
298,1.0475022441753821,28310,120
299,1.047118179531328,28405,120
300,1.0483473901516189,28500,120
301,1.0487629588278187,28595,120
302,1.0490637615119389,28690,120
303,1.049257479477991,28785,120
304,1.0492822438340943,28880,120
305,1.0492508768959403,28975,120
306,1.0492095099107526,29070,120
307,1.0495932477009926,29165,120
308,1.0501010524659811,29260,120
309,1.0500744134325659,29355,120
310,1.0500602191829591,29450,120
311,1.0498433894336991,29545,120
312,1.0498616799451468,29640,120
313,1.0497791267653229,29735,120
314,1.0500200183426729,29830,120
315,1.0503972096351182,29925,120
316,1.0513264459767591,30020,120
317,1.0512525594907876,30115,120
318,1.0513077033282847,30210,120
319,1.0510742603001277,30305,120
320,1.0506345657239111,30400,120
321,1.0508408762174553,30495,120
322,1.0506988370472898,30590,120
323,1.0504675338568501,30685,120
324,1.0505551964644604,30780,120
325,1.0508696566385365,30875,120
326,1.0510099736843115,30970,120
327,1.0506450423061415,31065,120
328,1.0511623254489222,31160,120
329,1.0516088830949952,31255,120
330,1.0519505434124747,31350,120
331,1.0518411151668834,31445,120
332,1.052169667816613,31540,120
333,1.0525982710339212,31635,120
334,1.0531537188029223,31730,120
335,1.0532722233945586,31825,120
336,1.0535127797875112,31920,120
337,1.0533609829781867,32015,120
338,1.0532447568644745,32110,120
339,1.05326412053305,32205,120
340,1.0530229201766466,32300,120
341,1.0531523513314704,32395,120
342,1.0539124116386109,32490,120
343,1.0541031644514238,32585,120
344,1.0541407090315043,32680,120
345,1.0541820784274472,32775,120
346,1.0544907847888454,32870,120
347,1.0546058187938103,32965,120
348,1.0546527623225761,33060,120
349,1.0546801836517801,33155,120
350,1.0550815755471155,33250,120
351,1.0551479398494124,33345,120
352,1.0549431537695952,33440,120
353,1.0548216691066195,33535,120
354,1.0547037076571064,33630,120
