parameter,value
function,WFG3
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,100
constraint,0
mutation_rate,0.041666666666666664
learning_rate,0.0020833333333333333
M,2
k,4
l,20

snapshot_generation_1200
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0,0.025511125806733814,0.0020641355772150205,0.069980759360335654,3.6658045352335793,4.2773765450923777,4.9675474727383291,5.6525343853818901,6.4061031787294844,7.1577088960368469,7.6468625854973489,8.613020983549216,9.0535448070950562,9.9599836574967231,10.949848435566393,11.364083735712654,11.916095083730248,12.755626153460131,13.543267881643377,14.271186151648211,14.779103131650009,15.31190841885414,16.405780504062381,17.250653817274834,0.018262408869715526,3.9950583104178237,0,inf,0,1
1,1.9968500545393983,3.9990551410584114,5.942479247720037,7.9689125187453271,3.4363212093028186,4.1950595367053092,5.0907130018859279,5.7002563105773802,6.2829620870743526,6.9195431815011652,7.8170907858737531,8.3787540872133253,9.3743742671287347,9.8185079123646979,10.570557629924972,11.075413915751231,11.65500503090383,12.666080139054635,13.285895121040802,14.007872124906028,14.333690561493848,15.283102416599382,16.243432909139557,16.775573977456975,2.0050184955817838,0.027944367585572644,0,inf,0,1
2,0.33340703182692527,0.47386889934312454,0.92285734314268386,0.92314857958616914,3.5093474280274739,4.1997524040237586,4.8716914053348077,5.5548199620284091,6.3720130225941354,7.1105045566436376,8.0253175357605517,8.5385086936261665,9.4788429535531709,10.002185300802672,10.744462529268946,11.102784724149885,11.876680111841488,12.455165025287311,13.430169730002925,14.070453750375,15.347433687358057,15.149078297936301,16.395720692502014,16.750399415077251,0.287642430504567,3.4560816249226236,0,0.060464767854415444,0,1
3,0.32263215938691758,0.74271661987047066,0.59438564894355506,1.4786183620632813,3.4625169229336286,4.2008094146326869,4.7525473980289243,5.5399197728773375,6.2492032331338807,7.0383204758822044,8.0315615431061431,8.484973953893979,9.2363444148885936,10.171379385069148,10.704674871544094,11.380124093935446,12.035392706601098,12.649808660177952,13.543044598668756,14.032456829620454,14.968452987054251,15.580747696965529,16.277640155406527,16.773046411775912,0.32733754203010906,3.3810073349157403,0,0.052760734436781795,0,1
4,1.7493646975465007,3.4352117371465369,4.7276075550567329,6.5547097913901586,3.4966227017692946,4.1819771109336932,5.0481533081871293,5.7491118441365607,6.4120260336022055,7.0944600195553695,7.8380710041392154,8.6416254698723325,9.0236235689260003,9.7657290305172371,10.900671979286946,11.31738695416932,11.948809787980984,12.699858840156692,13.366320271997674,13.876740780221887,14.900340439841147,15.067712760628822,16.095800425561066,16.73534213321031,1.6798913647877272,0.66875346554806225,0,0.052384756201773151,0,1
5,1.4606049252789859,2.8772721525146863,4.4919464660052038,5.7147909640897225,3.4983162016502187,4.2544401181121954,5.1166210751524579,5.8725212365422603,6.3693489980955844,7.0263199777005578,7.7105101820215793,8.4977296355303711,9.0224618140670643,9.8265788468708948,10.578558981529675,11.243817015366897,11.89705631100391,12.833119696256905,13.447497332049759,13.900098726556203,14.547595908359034,15.386537850519133,16.237404958368206,16.78364500672517,1.4640228752991977,1.0950822018788269,0,0.048443030220719968,0,1
6,1.3493549806301779,3.0706292087653626,4.2383017771967202,5.637707584366864,3.480231217084651,4.1997880852252436,5.0495659150615682,5.8743931973967625,6.4796532925287131,6.9889310960355759,7.5204548629089452,8.3644093583867036,9.1423649360889527,9.9325142615071655,10.722666871152068,11.199088435783782,11.856470262240286,12.568867965160765,13.38315169007363,14.124561263103351,15.093630701317966,15.232565377570458,16.563440508009471,16.888026014837344,1.4380123153477256,1.1578645102201142,0,0.046982538984244329,0,1
7,1.6875855552426282,3.5383033523953098,4.9738781942966854,6.7500946244872004,3.54023776583493,4.2503100020999298,5.1270025695200321,5.8470330554931342,6.3896039550371349,7.1233388864430429,7.6210976937307393,8.4678903940437671,9.2487832630086988,9.7204964174752764,10.703007700622052,11.2932203007206,11.749106420925333,12.734538628139049,13.373702402479898,14.008380898586047,14.724807782826408,15.280819231181416,16.258485221598718,16.938379010532739,1.7082610609301858,0.60659584668445177,0,0.045224919777645582,0,1
8,1.1359707304486233,1.9768264518500023,3.5285581417937255,4.0232169068158363,3.5434488472328254,4.1572697362167181,5.0578467434905265,5.8768941670036892,6.3572921237777669,7.0794498427414316,7.3469909255195116,8.3511499886014224,9.1791645997929123,9.7016796500805409,10.687993926412933,11.106993593606971,11.590884783572024,12.682554885250733,13.502593258854782,14.493614549041078,14.870830316470041,15.254930802207564,16.412972173833221,16.83157958849603,1.0916969187978884,1.8619162460412695,0,0.044720389470361804,0,1
9,0.99795142317769414,1.9755916437876713,3.4560680074218442,3.6192322946300726,3.46916505373673,4.2229060225562023,4.9359793222125852,5.441061085651822,6.278859581290356,7.113203767906028,7.8584735253124318,8.4039020239130746,9.4258619522557794,9.8707680250122856,10.474677278195118,11.327350020959697,11.928463203222277,12.69726447907321,13.377484522624735,13.894175198065188,14.713778835918143,15.580555891777824,16.485712465159857,16.981661851199618,1.0210577260842877,1.9891242351820404,0,0.043619250519789404,0,1
