parameter,value
function,WFG3
dimension,24
population_size,120
max_generation,2000
parent_size,25
child_size,95
seed,100
constraint,0
mutation_rate,0.041666666666666664
learning_rate,0.0020833333333333333
M,2
k,4
l,20

initial_population
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.2184820611286141,3.8815696581369621,2.3308790318391344,3.5723119678590982,1.9115508358367697,10.69392382398174,6.6391862601654106,3.3980765895456662,10.964684259463775,10.354066664438101,8.8651415675338843,7.7524787093274501,15.302939548246361,10.885882626306106,13.528485165819335,7.9014739412876516,19.705682317768431,34.411704642430003,22.588722406880322,11.402156452306333,3.1403069970758168,24.744694053924444,8.6362089527911454,27.509505682432209,1.3697626019756659,2.4977841823944797,0,0.25893432584361653,0,1
1,0.54464086991235094,1.3256178327162622,0.80069251186921231,3.7743385095724906,8.7548878747965038,7.8868167126273345,10.345645107786776,13.30063586629292,14.215062110699481,15.147255536655059,13.039516584321966,5.2456505106345785,12.688378503632324,17.386498700304227,28.665790710479072,7.8751054499631117,2.704302743039301,17.941919877115797,16.559137604134339,11.969325481100388,20.550020926169843,39.255337172901456,23.342042691788897,17.300489945538242,1.0931280386561477,3.2796791004411414,0,0.18359294246502844,0,1
2,1.0162429983400996,0.98976095295676325,2.9211797272279645,6.4369416921924305,5.6343065159893229,5.4604615509891605,4.7877832718976654,9.9741292042437646,3.8224774158695087,2.6608588751672513,10.095085261039724,9.7128895847787486,5.3410117455169583,5.2682361348235531,0.75402133962804829,8.6687146112649973,32.581789735942571,35.612786793095133,19.920711072761371,4.679168425461425,11.349467607490926,10.713267714419608,19.639649133753412,32.49215702668927,1.4668256028902813,2.3962614976833483,0,0.1852293101038287,0,1
3,0.52711137658481677,1.0843413635086978,0.13205496371295489,0.90679167972586561,7.3302611105754236,4.5373442877119192,5.9424190126087275,3.9042859038085584,4.9394337675630693,4.918881640111687,8.9074175536300721,2.6479138192879312,2.6396057187268109,12.370501960270241,19.016250459379549,30.655842090720931,28.778512658178407,13.482774487272941,5.1334351690238629,25.113854429715104,36.393203220611028,38.977887363892421,13.239643073210784,46.294623093519839,0.91924172828650985,3.9142430036552964,0,inf,0,1
4,0.89907075496746147,2.1975399975761079,3.1025597206234874,7.0517944942311841,5.8803321655404588,3.8795504507904175,3.3498491067245046,6.3445290113144317,12.264103438037106,10.992886694714546,13.9257559864831,19.980868120072177,17.28443328925367,16.752770921758948,0.9867536297485815,31.440377260345489,1.7168874326332921,26.633833793494844,4.6247872197109254,17.925590842157074,2.2712516814048338,39.613563699968431,30.235415300099074,43.023002243457405,1.7158798780733484,2.1196479149324925,0,0.17817849418688736,0,1
5,0.95297568144659006,3.9084621512260971,5.7072625166559448,7.585099118633539,6.0727647465466328,10.435478412379677,10.855778693917866,8.483082243986102,2.4676943361649117,3.8948414650531356,21.254754904531982,4.625512398986559,2.4380671387112431,13.100768193077414,18.834270080672358,30.508653718357497,32.584120942893712,27.541813147732022,0.41529925301295939,33.901872414374211,19.996400264407992,25.719362764959214,13.366999900956557,9.3921934090066195,2.2827530993280236,1.2533263176255196,0,inf,0,1
6,1.9114005630719262,0.036855418704637585,0.043494008461437528,0.77953335332576668,1.9522217448496808,8.1089485966098387,7.7334728033374081,13.624463418707892,6.4063949092801771,9.0854176359850527,10.039652987581972,13.592575242515423,5.7631995985582183,27.092191214907619,20.86479019424748,29.108809779158374,26.098634272203274,33.992703283349151,11.991873209233932,10.673502580302927,4.9231542335558043,15.711388323650553,9.4502404140460659,17.550281686359053,1.0288337624515811,3.4244265522694564,0,0.13478168197344409,0,1
7,1.7336097825519403,3.4452578042883881,5.4886723646377353,1.6494625054876992,4.7556617578857665,5.0364011571944394,7.0099724834005688,3.6701349927608606,14.337060559665668,15.039916086351258,8.9587417605555064,11.725332762996336,2.3891498850098456,4.9423904894948016,4.1577590046460449,6.239289352221955,16.245010922932877,17.93052955997576,1.9970821810841872,22.071808477124179,34.285900561329392,42.542161927088301,37.300744765228728,41.09088647412149,1.8524089961910826,1.5787876717306046,0,0.46425842989583799,0,1
8,0.053366918727419888,2.4683225240211883,1.4428086948505385,3.7601016204001296,5.2116549626774686,4.6600837332076992,9.8871428726999966,7.872108414672347,0.59981492870008857,19.13906616429157,10.298117852696313,20.566317582310138,15.642506892431223,14.647609602918234,8.0132222233492421,17.530067994192407,13.078480929040525,9.5766785313619849,36.417799994579482,24.514760120603846,23.701759166192716,10.265033641730836,28.05015562042685,23.959897533849663,1.0935360437148689,3.062168680623699,0,0.12201317856422772,0,1
9,0.54991635279338258,3.7524730056029578,4.3452185124176061,2.8944630294670612,9.7837632091350528,11.899813647108548,9.7787972752789649,2.6453438417553832,14.3749360450644,1.1705416186411222,9.6318377868066296,14.140861219514193,18.20754122261334,20.659710589829633,23.861750445688827,24.766714870307446,23.958766975672987,16.777340255573659,15.774665347118511,39.412293508876594,35.755103301822331,33.427616819806552,25.276333409993896,37.944660598742601,1.6897848204903092,2.2411537326646878,0,0.11672303906294876,0,1
10,1.5727020545881079,3.0479273717758284,3.246796497841038,3.9995529030632766,7.8277381390838183,9.2101581011678491,7.1461808716631481,6.5030408874681918,9.0636288861583019,3.1053081616580753,2.8723235076414544,6.2178771996633539,25.260126638134185,25.194272839595278,8.6041739503062971,9.5414071897003012,23.530252531893872,18.233801346631431,22.868041216075504,7.9872092283298901,12.333259607170493,9.4738312232956918,19.854764628644528,2.8879514906255213,1.7303879681180043,1.8462733689763642,0,0.30339140235247081,0,1
11,1.1118678637083164,1.3738874847979123,2.5146918941848027,6.9103568421852417,7.2277788894659443,6.5756031306008804,3.791879224443389,12.721006648669414,7.6193386750906535,13.669950118066554,18.639702135886129,5.0963781176743677,16.359633852406731,13.923711679220768,2.2095609006038335,16.507463978561645,4.082008312768342,28.286629212557617,17.722607781985914,20.456152821305768,26.672717037307201,4.1481326818676543,6.6919999384366555,38.500974878548021,1.5886064719167239,2.3151328858803359,0,0.093997772768384599,0,1
