parameter,value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
function,WFG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimension,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_generation,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parent_size,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
child_size,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
learning_rate,0.002083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,1.543189991,1.205442003,4.63643486,1.223438581,5.78633932,0.108095947,9.926595316,7.530252883,13.76266627,9.34785371,5.918023093,19.96062215,14.33444841,1.962281859,14.17425124,23.76847447,6.526506594,16.71521428,8.753786558,20.32990151,8.759868955,2.169386822,23.86764628,8.269361136,1.852183006,3.268688119,0,0.094368965,0,1
1,0.792626577,0.429461233,3.058861669,0.81708186,2.887178328,2.781101563,13.54735096,4.453101485,4.205205499,1.831128808,12.54146648,10.03023692,9.563924256,22.76385921,8.692800057,22.95653127,20.84023508,15.36875366,28.57117284,17.11250541,17.9920612,15.92379578,7.053570265,44.98513565,1.230774823,4.004556738,0,0.15590871,0,1
2,0.167092694,0.17708919,2.662847901,0.154550014,0.670320509,9.741258165,8.908068591,12.36560689,12.70227857,4.764218303,0.977194728,6.749205397,22.49233055,2.047452725,19.8099569,5.996114549,17.75774332,32.53965346,18.05580403,33.88089131,35.22873517,6.128322175,24.85400984,22.42009514,0.993423223,4.426225795,0,inf,0,1
3,0.785880535,0.32313492,2.11272787,0.00810624,6.246304803,2.403256872,8.751562258,5.143229316,0.851728122,14.46729504,16.70354402,9.751303227,18.31271073,16.39005797,29.08693521,9.724109692,10.66768297,8.152618098,25.54871327,31.15688968,21.53179151,27.07165706,2.100413691,21.41277628,1.103390783,4.256306777,0,0.098965622,0,1
4,1.75931199,1.279395644,3.626880036,7.641681375,4.157921155,2.350698751,2.32439872,9.996913275,1.013286048,6.571056496,21.56906034,18.5183371,5.442643341,16.38790187,13.193642,19.63373355,10.87902888,4.028391305,11.8945563,39.75751533,6.962515397,20.36848379,29.23378945,1.780222474,2.373018074,2.478619279,0,0.241396824,0,1
5,0.845531461,3.22244529,3.288738288,1.980212393,0.107717933,2.963045827,3.498175291,9.852213738,4.71480309,10.48551806,8.365615776,0.866152577,21.93376874,12.59905881,29.29442949,1.83831164,5.545040411,6.573394392,20.56911797,10.90795471,20.71726723,32.29349162,8.498749367,44.19347254,1.883878245,3.257999104,0,0.187109825,0,1
6,1.806462221,3.525713993,4.877734491,7.681820949,3.065506228,11.13920343,0.62898942,5.762122522,1.368316465,18.50852338,7.436514403,18.98352387,19.47718155,13.04325254,2.469782911,6.398880104,2.589753537,32.12869868,27.39691148,17.907489,24.21084273,8.864533401,33.1438242,40.67251354,2.759275648,1.480402918,0,inf,0,1
7,1.298268917,0.835162964,4.466828837,7.821742838,4.156041041,1.098699077,3.658174277,3.661673709,14.96593464,10.53628188,0.719389162,18.26023679,11.00771245,4.956262455,21.03716642,19.12313356,9.369852177,2.226242868,26.78560361,14.32776651,30.37596367,23.18688189,4.367335139,17.10978532,2.22967164,2.649166968,0,0.288713524,0,1
8,0.06239318,0.250840741,1.54567336,4.735111951,0.882067004,10.33251771,1.014508443,5.260497909,14.59025573,18.66297205,5.433853782,13.30933455,14.57246721,13.36293412,13.49494556,29.94763186,13.26249495,1.687529003,9.716912579,17.30209308,12.35440694,23.82915196,34.98922051,43.52601046,1.180474951,4.184978847,0,0.157597426,0,1
9,0.660537216,0.40260699,3.87077655,6.602484592,3.552447368,2.597136684,6.656950106,3.576689812,6.612526667,14.77998138,10.13633406,1.71119061,8.713860913,17.08182232,21.07268909,27.83382678,0.1873681,10.75344716,28.46741991,34.53264243,37.66138323,17.56453428,20.15928857,18.57712367,1.772145103,3.349598371,0,0.163084554,0,1
10,1.862023696,1.940860052,5.540378316,7.109771716,0.898030548,11.60142534,1.875727987,6.82124852,15.45889633,9.085362101,2.835805319,7.411025884,12.2408631,19.4081262,19.17820001,9.459011135,11.84384733,4.717700109,19.5630469,24.30950493,8.64033749,43.67299442,6.540181751,34.50071523,2.6958713,1.980644601,0,0.403523198,0,1
11,0.721883703,3.553584945,1.584921615,0.513546406,1.421679225,3.31004836,8.009221006,3.991722904,3.307703025,18.98144875,20.95162365,2.570957169,16.37695253,7.492653671,2.268689599,10.05108801,22.42869409,3.130838181,21.5612327,20.61174625,11.91722864,18.41013676,23.11836176,26.53010608,1.560845996,3.656046122,0,0.201784589,0,1
12,1.32346888,2.845419401,4.125119048,4.589167321,6.242371214,2.512609331,2.188718625,0.443543132,3.162856673,19.4975278,5.836210808,2.639443726,18.49271318,14.9873094,23.52576998,13.42798654,26.28501787,3.770294979,28.88145065,20.23870875,13.17346,40.16671227,19.54919298,36.58506241,2.316002181,2.640747281,0,0.139071658,0,1
13,0.537005705,0.659637911,5.35101565,7.741079314,0.856713798,3.07718306,5.050610655,10.29723523,5.003750743,6.681737291,10.86432704,6.471707378,12.63511795,15.20789556,0.152805347,10.96327419,9.830988101,5.799976605,7.641143535,26.60791244,36.1870144,36.68174531,16.38704938,24.24721146,1.930997705,2.848975642,0,0.402498787,0,1
14,0.892764481,1.574500664,2.926686043,0.448396521,2.320978745,10.22621361,8.657781468,10.3646068,9.741588078,11.58482102,5.990545456,11.84040053,0.279406825,12.95909442,15.97473146,26.42804418,3.241130514,13.8651587,10.32154743,9.605396266,40.73777042,18.65306331,14.37068948,17.4616262,1.415970508,3.80557412,0,0.239048405,0,1
15,0.046991119,2.122348561,2.262855531,2.267714063,3.919005692,4.722871502,7.403799148,1.811411308,2.806209256,2.973688278,8.051980897,9.688799976,2.852982167,8.814472891,9.512847649,0.114696093,13.71419556,15.24293455,31.61895384,4.051371293,3.261481359,9.189117432,38.60455499,26.46907181,1.315193999,3.950439844,0,0.172423463,0,1
16,0.65220188,0.706674156,3.263735354,5.740401422,2.521480191,8.464656743,4.133321578,4.987790588,11.70292979,8.301311916,18.11835232,8.152522491,0.65880647,16.27933561,19.81656824,20.52655255,0.157670163,21.56427926,16.4784176,1.773050315,29.20204693,23.17377097,16.25725321,30.64546154,1.707635063,3.507969171,0,0.15470386,0,1
17,1.778266327,3.702188909,5.567969213,1.742858159,6.829699598,8.673712414,4.277545458,6.348125985,4.721046165,8.988868838,11.88609888,2.038081492,1.465775799,13.71260892,15.87373736,7.364427509,12.1228925,23.71679978,1.430279922,25.63954323,40.86541004,14.57407924,17.58105326,47.19307315,2.523294053,2.275442566,0,0.351875712,0,1
18,0.718237001,0.960181147,1.090012721,7.061297503,3.132145063,2.714645655,13.13940775,1.801291596,15.40474317,18.57415787,12.23364421,4.856707757,4.153546711,10.75415093,29.26202114,16.09566094,20.10930253,18.32049185,10.36871823,26.21355139,21.66879594,27.30659255,10.69893088,28.40253213,1.663969055,3.62486755,0,0.133393217,0,1
19,0.05798085,2.144470843,0.036498978,1.652733758,7.402330264,11.27707673,0.902267853,6.197938596,13.91908649,19.92437867,9.682168261,17.80924273,9.744389034,9.226068877,4.948674243,10.17551637,11.04603045,13.34789924,35.12256895,36.28220034,19.12241981,11.70215814,33.42549255,8.916511267,1.056878217,4.27032802,0,0.119955834,0,1
20,0.998406069,0.896846278,1.693877971,7.8559351,7.823393066,0.079288494,0.129826063,8.232225053,7.160971269,3.993502903,9.900568273,2.785829243,4.609946422,18.75261983,20.68217007,7.760378171,11.6323052,29.14429225,30.65047765,22.03917036,12.21099951,43.18117188,19.46232264,33.6029174,1.881870724,3.316528094,1,0.231456461,0,1
21,0.450163754,0.590719309,0.015524927,6.129749437,9.79577211,9.912398972,2.600289826,12.20009117,3.405719806,6.804531304,13.38908201,16.55508786,10.09053307,7.543130888,28.3277691,9.742298571,19.87400314,15.28398631,13.01718274,16.6819638,31.95524847,37.95217891,23.72456235,13.98471502,1.280095766,4.017994416,1,0.159655614,0,1
22,1.730040491,3.316587644,4.977620188,2.184399819,0.592431971,8.046336497,8.302917235,10.74646547,7.412181825,3.951017873,6.371852167,3.410883192,20.36617629,11.55108767,1.025139301,19.96895947,22.46161465,10.74583075,16.95311103,8.884981943,3.081295319,20.6464951,4.423923922,43.36176823,2.477850288,2.517382902,1,0.258744531,0,1
23,1.822672212,3.013449832,5.572506516,7.826113119,6.455873272,3.910970055,2.784056728,15.56588,8.595998444,11.44246514,15.50715422,17.38270796,1.037695502,6.367371318,0.921719006,3.424816911,28.0679647,0.648244002,21.77681801,38.26081592,33.37881245,3.375928727,44.48274045,34.21310734,2.797455745,1.495259396,1,inf,0,1
24,1.803399691,3.120687991,5.875056949,5.934035009,4.155777813,8.872049687,5.294980163,8.06011773,0.799170876,6.185713168,21.51915288,5.140339071,0.404541393,16.80078974,7.55142562,23.68369329,8.329996355,15.33614616,17.44121371,33.70484471,38.07677116,28.02778035,6.43245379,26.33880228,2.766690032,1.750938113,1,0.309462522,0,1
25,0.739598545,3.486160179,1.536553901,7.985462129,1.556281826,6.439648015,7.900297893,3.429740791,3.576239213,11.39569578,6.393670883,22.83333282,24.08960917,5.66334942,13.74363334,19.10498969,21.5220341,12.93591969,31.65661332,18.96658939,18.53393424,5.208345064,27.40591832,26.3383027,2.268397964,2.835380365,1,0.216003746,0,1
26,0.105987313,2.225598059,0.985014566,1.317536818,3.785458138,11.30373554,5.68024387,6.721804674,14.9146442,1.512467668,6.909218902,0.807808316,12.53481977,11.16760303,20.40534993,5.594296737,16.04974471,32.05643568,30.83576882,26.90887204,21.54161693,42.23924905,23.75270533,30.85391182,1.232369404,4.243571155,1,inf,0,1
27,1.9952565,2.203206701,1.03359927,1.320851763,2.285209251,1.877949888,12.25082747,8.294024129,5.802431806,4.958563497,11.46328859,15.67651531,23.17360499,21.49713158,11.06782957,11.20021118,14.53597997,0.586683478,8.39110797,20.45848875,33.10903335,8.141012011,25.10809389,38.31336206,1.779688472,3.38267802,1,0.24625383,0,1
28,1.896207442,3.957019296,1.446353773,7.469427847,9.918402742,0.934620118,7.319743661,15.88129973,14.64208418,10.66531663,9.598415252,2.66194469,23.97483604,14.5729987,6.015862652,8.546912416,8.669439896,33.74785267,9.126987026,9.235378009,40.38102983,12.42606796,10.39108714,42.18194429,2.716337983,2.20331505,1,0.233152141,0,1
