generation,alpha,evaluation_count,population_size
0,1,120,120
1,1.0020514168454075,229,120
2,1.0049999740732811,338,120
3,1.0067959424602304,447,120
4,1.0107572338823851,556,120
5,1.0137036431612321,665,120
6,1.0152046477302976,774,120
7,1.0158015388492792,883,120
8,1.016522222542575,992,120
9,1.0177104746002745,1101,120
10,1.0216784945131805,1210,120
11,1.0213819667042976,1319,120
12,1.0219806569101981,1428,120
13,1.0213996753315644,1537,120
14,1.0245357605615377,1646,120
15,1.0275665863422809,1755,120
16,1.0276080818518349,1864,120
17,1.0273311692111864,1973,120
18,1.0269769517255918,2082,120
19,1.0298877759371381,2191,120
20,1.0305032616097964,2300,120
21,1.0293674801003856,2409,120
22,1.0308094821205043,2518,120
23,1.0307535195309663,2627,120
24,1.0319195267872889,2736,120
25,1.0306419317882922,2845,120
26,1.0302824871265417,2954,120
27,1.0313232770165368,3063,120
28,1.0338206582002527,3172,120
29,1.0329202477669797,3281,120
30,1.0356221169592428,3390,120
31,1.0338587455588839,3499,120
32,1.0376591234834871,3608,120
33,1.0382367505445722,3717,120
34,1.0394850993837073,3826,120
35,1.0402935907980599,3935,120
36,1.0384789551394622,4044,120
37,1.0397635097782081,4153,120
38,1.0390009633352097,4262,120
39,1.0413077265218458,4371,120
40,1.0423733175367795,4480,120
41,1.0431345990325016,4589,120
42,1.0435471865049388,4698,120
43,1.0442448358431691,4807,120
44,1.0433231760231776,4916,120
45,1.0436963849644927,5025,120
46,1.0438217647811339,5134,120
47,1.0482950838253673,5243,120
48,1.0478159953648023,5352,120
49,1.0478182422070856,5461,120
50,1.0482585636921606,5570,120
51,1.0493870292090752,5679,120
52,1.0487336701248051,5788,120
53,1.0478775719101472,5897,120
54,1.0482155449020929,6006,120
55,1.0480328815131943,6115,120
56,1.048987492860715,6224,120
57,1.0475216671526073,6333,120
58,1.0476443684711327,6442,120
59,1.0510844465104932,6551,120
60,1.052767701481153,6660,120
61,1.053635659422862,6769,120
62,1.0542520159815603,6878,120
63,1.0526243809323002,6987,120
64,1.0515537305022773,7096,120
65,1.0521707337688233,7205,120
66,1.0553500474558462,7314,120
67,1.0575143919181633,7423,120
68,1.0575382844189127,7532,120
69,1.0583486315882238,7641,120
70,1.0591521027784261,7750,120
71,1.0595915090635681,7859,120
72,1.0592224898499485,7968,120
73,1.059968102930948,8077,120
74,1.0597921868827067,8186,120
75,1.0586886256771761,8295,120
76,1.0594697141489107,8404,120
77,1.0587554403917134,8513,120
78,1.0581326934541864,8622,120
79,1.0581904769116171,8731,120
80,1.0579676614316973,8840,120
81,1.0590866764335911,8949,120
82,1.0593644680850869,9058,120
83,1.0608224854653447,9167,120
84,1.0633926820924609,9276,120
85,1.065410318457537,9385,120
86,1.0650286449553446,9494,120
