parameter,value,,,,,,,,,,,,,,,
function,ZDT6,,,,,,,,,,,,,,,
dimension,10,,,,,,,,,,,,,,,
population_size,120,,,,,,,,,,,,,,,
max_generation,2000,,,,,,,,,,,,,,,
parent_size,11,,,,,,,,,,,,,,,
child_size,109,,,,,,,,,,,,,,,
seed,1,,,,,,,,,,,,,,,
constraint,0,,,,,,,,,,,,,,,
mutation_rate,0,,,,,,,,,,,,,,,
learning_rate,0.005,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
initial_population,,,,,,,,,,,,,,,,
index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,f0,f1,rank,crowding_distance,constraint_violation,evaluated
0,0.083623005,0.916861335,0.91044838,0.298930111,0.584389124,0.565912029,0.613938318,0.956535659,0.260978982,0.231015422,0.284362455,8.889457092,0,inf,0,1
1,0.396313288,0.107365308,0.509810278,0.102135232,0.288717833,0.231758464,0.967667926,0.278318843,0.233622528,0.09155644,0.869723671,7.630265397,0,1.195142527,0,1
2,0.074723893,0.036469702,0.789399842,0.900528547,0.004663313,0.264203304,0.467377305,0.359816194,0.240217633,0.02316873,0.314943003,7.874349247,0,0.804857473,0,1
3,0.531668107,0.130194718,0.561458959,0.167830799,0.421074757,0.684687908,0.273900325,0.009999727,0.219866298,0.031956219,0.996238973,7.402722036,0,inf,0,1
4,0.090987973,0.003843817,0.957427686,0.064792407,0.764933049,0.545754831,0.499810902,0.087548121,0.013014489,0.064871985,0.347292154,7.824274263,0,0.943495899,0,1
5,0.076169222,0.892463852,0.720971355,0.447687225,0.576448636,0.201466668,0.720517917,0.847344032,0.568554218,0.606441774,0.302010794,8.976733493,1,inf,0,1
6,0.294359472,0.360814755,0.274645153,0.073968998,0.152137157,0.16161853,0.938711698,0.371133895,0.050018085,0.740955557,0.972052791,7.788635268,1,0.142387127,0,1
7,0.892900893,0.939331286,0.218100187,0.561831905,0.134153525,0.7088173,0.153213417,0.002546535,0.014003559,0.217611097,0.984928213,7.685405263,1,0.150133669,0,1
8,0.749197504,0.032960797,0.482097612,0.521725794,0.537513025,0.163176565,0.638077611,0.236199387,0.156810194,0.388616427,0.950087135,7.812503899,1,0.487248958,0,1
9,0.074258434,0.095419244,0.162205511,0.356463682,0.095307812,0.143263007,0.931012929,0.576584218,0.839645211,0.623292115,0.319717778,8.253517544,1,1.337114012,0,1
