generation,alpha,evaluation_count,population_size
0,1,0,120
1,1,109,120
2,1,218,120
3,1.0007276857236007,327,120
4,1.0003728821455851,436,120
5,1,545,120
6,1.0004943094246914,654,120
7,1.0007634156911784,763,120
8,1,872,120
9,1,981,120
10,1.0009847410230277,1090,120
11,1.0008840014213152,1199,120
12,1.0016163921909347,1308,120
13,1.0001098606114853,1417,120
14,1.000237076634197,1526,120
15,1.0007861049620195,1635,120
16,1.0003801169574331,1744,120
17,1.0011607747275182,1853,120
18,1.0019533932313383,1962,120
19,1.0018463532990101,2071,120
20,1.0048276151428943,2180,120
21,1.0045029501093459,2289,120
22,1.0042788311334765,2398,120
23,1.0051039320357282,2507,120
24,1.0087011711881455,2616,120
25,1.0133812942405125,2725,120
26,1.0151138140609879,2834,120
27,1.0138121336549348,2943,120
28,1.0134728691143375,3052,120
29,1.0124429098885426,3161,120
30,1.0138544322768974,3270,120
31,1.0123974432618525,3379,120
32,1.0132424683796646,3488,120
33,1.013319467647426,3597,120
34,1.0146674168403795,3706,120
35,1.0134200849788515,3815,120
36,1.0129704901650212,3924,120
37,1.0127964459012349,4033,120
38,1.0114422193374519,4142,120
39,1.0130837177420968,4251,120
40,1.0122329853897789,4360,120
41,1.0110431103945225,4469,120
42,1.0133436327199623,4578,120
43,1.014031137624785,4687,120
44,1.0144774786121622,4796,120
45,1.0130918749016125,4905,120
46,1.0120553766093554,5014,120
47,1.0102526711816571,5123,120
48,1.0118725988211612,5232,120
49,1.0106074288888496,5341,120
50,1.0096448565138298,5450,120
51,1.0115334730097825,5559,120
52,1.0109222123593926,5668,120
53,1.0101593411978684,5777,120
54,1.0090606074068387,5886,120
55,1.0102260417900486,5995,120
56,1.0110784901088237,6104,120
57,1.0103655448198743,6213,120
58,1.0090974393461503,6322,120
59,1.0083534080059311,6431,120
60,1.0082869233219192,6540,120
61,1.0064015715125818,6649,120
62,1.0050705353126468,6758,120
63,1.005842268132864,6867,120
64,1.0052651853324104,6976,120
65,1.0050207670448685,7085,120
66,1.0074879730132893,7194,120
67,1.006276310079137,7303,120
68,1.0060829265485187,7412,120
69,1.0047304842071554,7521,120
70,1.005041325790986,7630,120
71,1.0036378760828817,7739,120
72,1.0029307588773642,7848,120
73,1.0029765346683632,7957,120
74,1.0032189411485728,8066,120
75,1.0026167928994338,8175,120
76,1.0020091940494129,8284,120
77,1.0009053476556253,8393,120
78,1,8502,120
79,1,8611,120
80,1,8720,120
81,1,8829,120
82,1.0002264387244508,8938,120
83,1.0001749181128829,9047,120
84,1,9156,120
85,1,9265,120
86,1,9374,120
87,1.0013315425626441,9483,120
88,1.002318542876407,9592,120
89,1.0019945545458224,9701,120
90,1.0019942707328071,9810,120
91,1.0019004995170273,9919,120
92,1.0016105685318208,10028,120
93,1.001815405839241,10137,120
94,1.0012591860843403,10246,120
95,1.0036559602465469,10355,120
96,1.0044965785582582,10464,120
97,1.0051864666103894,10573,120
98,1.0050396576462401,10682,120
99,1.0062173491133273,10791,120
100,1.0067203107168465,10900,120
101,1.0077027171973596,11009,120
102,1.0091831689022324,11118,120
103,1.0078287461511166,11227,120
104,1.0070541548479583,11336,120
105,1.0052865183168251,11445,120
106,1.0049551822678833,11554,120
107,1.003983553141405,11663,120
108,1.0061122895033228,11772,120
109,1.0050833981740721,11881,120
110,1.0048303557930784,11990,120
111,1.0043279086911105,12099,120
112,1.0041439375431029,12208,120
113,1.0040031497226383,12317,120
114,1.0038186004889593,12426,120
115,1.0032513175619957,12535,120
116,1.0028968572453969,12644,120
117,1.001922535647146,12753,120
118,1.0033872864112785,12862,120
119,1.0030528199561477,12971,120
120,1.0015648106145372,13080,120
121,1.0004693599226631,13189,120
122,1.0055563364690641,13298,120
123,1.0046663125516344,13407,120
124,1.0067669834820516,13516,120
125,1.0104684103186425,13625,120
126,1.0111930187241946,13734,120
127,1.0112431692388211,13843,120
128,1.0112336579819812,13952,120
129,1.0092682907304626,14061,120
130,1.0094924432621861,14170,120
131,1.0090790127497409,14279,120
132,1.0085008669355127,14388,120
133,1.0078411621346479,14497,120
134,1.006711098561083,14606,120
135,1.0070951845050944,14715,120
136,1.0078063546295164,14824,120
137,1.0080824139514373,14933,120
138,1.0075277467987767,15042,120
139,1.0054897824794762,15151,120
140,1.0050940371398061,15260,120
141,1.0036489119058234,15369,120
142,1.003087377436769,15478,120
143,1.0037499057407224,15587,120
144,1.0022355372747547,15696,120
145,1.0004010877186,15805,120
146,1.0018647698002006,15914,120
147,1.0007154719860414,16023,120
148,1,16132,120
149,1.0004170032651807,16241,120
150,1,16350,120
151,1,16459,120
152,1,16568,120
153,1,16677,120
154,1,16786,120
155,1,16895,120
156,1,17004,120
157,1.0002005458684584,17113,120
158,1,17222,120
159,1,17331,120
160,1,17440,120
161,1,17549,120
162,1,17658,120
163,1.0014003378847258,17767,120
164,1.0018690836435853,17876,120
165,1.0004775767995033,17985,120
166,1,18094,120
167,1,18203,120
168,1.0001812530407432,18312,120
169,1,18421,120
170,1,18530,120
171,1.0002338556977108,18639,120
172,1,18748,120
173,1.001677913968023,18857,120
174,1.0010636543556592,18966,120
175,1,19075,120
176,1,19184,120
177,1.0004641736974194,19293,120
178,1.0002971702211121,19402,120
179,1.0007041721254046,19511,120
180,1.0004582705417058,19620,120
181,1,19729,120
182,1,19838,120
183,1,19947,120
184,1,20056,120
185,1,20165,120
186,1,20274,120
187,1.0008727821514647,20383,120
188,1.0044086419524365,20492,120
189,1.0032613703522459,20601,120
190,1.002915467220499,20710,120
191,1.0020101865454543,20819,120
192,1.0002043857592244,20928,120
193,1.0000598748877809,21037,120
194,1,21146,120
195,1,21255,120
196,1,21364,120
197,1,21473,120
198,1,21582,120
199,1.0007967661463855,21691,120
200,1,21800,120
201,1,21909,120
202,1,22018,120
203,1.0002052924859464,22127,120
204,1,22236,120
205,1,22345,120
206,1.0022672006964348,22454,120
207,1.0007875086636122,22563,120
208,1.0009329853045896,22672,120
209,1.0013987364705508,22781,120
210,1,22890,120
211,1,22999,120
212,1.0007050557034214,23108,120
213,1.0027086875443787,23217,120
214,1.0050279394478077,23326,120
215,1.0038207201522447,23435,120
216,1.0035663379313446,23544,120
217,1.0028564616415387,23653,120
218,1.0015202845380493,23762,120
219,1.0006681792119316,23871,120
220,1.0001156843622272,23980,120
221,1,24089,120
222,1,24198,120
223,1.0016597897049877,24307,120
224,1.0006573385725321,24416,120
225,1,24525,120
226,1,24634,120
227,1.0036747999901059,24743,120
228,1.0032396085508215,24852,120
229,1.0028605922921308,24961,120
230,1.0030518778492536,25070,120
231,1.0049647860928266,25179,120
232,1.003727752794481,25288,120
233,1.0032766679652294,25397,120
234,1.0036184210038834,25506,120
235,1.0034902088645359,25615,120
236,1.003927973522982,25724,120
237,1.0032396040521041,25833,120
238,1.0031459398242555,25942,120
239,1.0047593223505322,26051,120
240,1.004047547254852,26160,120
241,1.0028070997256291,26269,120
242,1.0067656836890706,26378,120
243,1.0046901451659225,26487,120
244,1.0047126170506806,26596,120
245,1.0046493789273268,26705,120
246,1.0027721957291258,26814,120
247,1.005315518657095,26923,120
248,1.0054113871898156,27032,120
249,1.0052031868688971,27141,120
250,1.0043523379746722,27250,120
251,1.003074915055008,27359,120
252,1.0036072643947365,27468,120
253,1.0059921955958442,27577,120
254,1.0062141010610235,27686,120
255,1.0046751659246038,27795,120
256,1.0036953821236048,27904,120
257,1.0072057189387658,28013,120
258,1.0075762577474658,28122,120
259,1.0073224781796308,28231,120
260,1.0096428914981792,28340,120
261,1.0105687456102159,28449,120
262,1.0101304928854089,28558,120
263,1.0100861844797937,28667,120
264,1.0092165052318456,28776,120
265,1.0080688189607232,28885,120
266,1.0065064884452914,28994,120
267,1.0059292730437486,29103,120
268,1.0053245722868165,29212,120
269,1.0045566627508544,29321,120
270,1.0042370740136346,29430,120
271,1.0029512950654429,29539,120
272,1.002814612469265,29648,120
273,1.003280129611136,29757,120
274,1.0019539809877223,29866,120
275,1.002352202528821,29975,120
276,1.0017480221503947,30084,120
277,1.0024174396679741,30193,120
278,1.0017331671793095,30302,120
279,1.0028003831365386,30411,120
280,1.002269159985707,30520,120
281,1.0030906702696527,30629,120
282,1.0017378608152696,30738,120
283,1.0005650612203134,30847,120
284,1,30956,120
285,1,31065,120
286,1,31174,120
287,1,31283,120
288,1,31392,120
289,1,31501,120
290,1.0011282885356498,31610,120
291,1.0005369224791532,31719,120
292,1.0004621805486624,31828,120
293,1,31937,120
294,1,32046,120
295,1,32155,120
296,1,32264,120
297,1.0001909680553684,32373,120
298,1.0008178950857491,32482,120
299,1.0006813694277952,32591,120
300,1.0004572125738362,32700,120
301,1,32809,120
302,1,32918,120
303,1,33027,120
304,1,33136,120
305,1,33245,120
306,1,33354,120
307,1,33463,120
308,1,33572,120
309,1,33681,120
310,1,33790,120
311,1,33899,120
312,1,34008,120
313,1,34117,120
314,1,34226,120
315,1.000570727210599,34335,120
316,1.0012183385120161,34444,120
317,1.0039001016085356,34553,120
318,1.0031207249334679,34662,120
319,1.0036558285321089,34771,120
320,1.0035652904634493,34880,120
321,1.0029224251919235,34989,120
322,1.0030077546653822,35098,120
323,1.0022040704298383,35207,120
324,1.000508921935706,35316,120
325,1.0008990927080141,35425,120
326,1.00290385762583,35534,120
327,1.002678411380745,35643,120
328,1.001249941748191,35752,120
329,1.0007858544463371,35861,120
330,1,35970,120
331,1.0007730165035298,36079,120
332,1.0019614684278269,36188,120
333,1.0014876116534486,36297,120
334,1.0009851084545029,36406,120
335,1.0006002577569137,36515,120
336,1.0004290200255523,36624,120
337,1,36733,120
338,1.002439266538244,36842,120
339,1.0019612451393509,36951,120
340,1.0018760654136962,37060,120
341,1.0013910492359248,37169,120
342,1.0023808181094793,37278,120
343,1.0033879383793309,37387,120
344,1.0035499476606988,37496,120
345,1.002375178123635,37605,120
346,1.0009708063219489,37714,120
347,1.0002183302277761,37823,120
348,1,37932,120
349,1,38041,120
350,1,38150,120
351,1,38259,120
352,1,38368,120
353,1,38477,120
354,1.00198645264274,38586,120
355,1.0019159941034264,38695,120
356,1.0006134068341634,38804,120
357,1.0034170011627279,38913,120
358,1.0025237091443373,39022,120
359,1.0026361159926713,39131,120
360,1.0022560135228962,39240,120
361,1.0018751963055905,39349,120
362,1.0017662965775782,39458,120
363,1.0017280628882173,39567,120
364,1.0000364504992101,39676,120
365,1.0003472739154271,39785,120
366,1.0040031853546993,39894,120
367,1.003896571695351,40003,120
368,1.0053444934637166,40112,120
369,1.0053767605812931,40221,120
370,1.0057527052561812,40330,120
371,1.0061707667404935,40439,120
372,1.0055802094391388,40548,120
373,1.0047630568682175,40657,120
374,1.0067878946149174,40766,120
375,1.0074534497672403,40875,120
376,1.0060821333844869,40984,120
377,1.0058423164018131,41093,120
378,1.0042363789999715,41202,120
379,1.0040305910083589,41311,120
380,1.0027724604223922,41420,120
381,1.0049693497480079,41529,120
382,1.0040757971653476,41638,120
383,1.0041256094458326,41747,120
384,1.0035455455656284,41856,120
385,1.0022782682160283,41965,120
386,1.0010566266308236,42074,120
387,1.0024133324117726,42183,120
388,1.0003810679958107,42292,120
389,1.001438718032919,42401,120
390,1.0009806247324453,42510,120
391,1.0004066978080359,42619,120
392,1.0000698974007758,42728,120
393,1,42837,120
394,1,42946,120
395,1,43055,120
396,1.001866464269739,43164,120
397,1.0007639177203547,43273,120
398,1.0018462779394102,43382,120
399,1.0009764919809383,43491,120
400,1,43600,120
401,1,43709,120
402,1.000101948892228,43818,120
403,1,43927,120
404,1,44036,120
405,1.0000823809824182,44145,120
406,1,44254,120
407,1.0002932728554736,44363,120
408,1.0000290666267768,44472,120
409,1,44581,120
410,1.0016094058715146,44690,120
411,1.000597624047568,44799,120
412,1.0002450264890892,44908,120
413,1,45017,120
414,1.0014305804629258,45126,120
415,1,45235,120
416,1.0014985755108101,45344,120
417,1.0003224449317731,45453,120
418,1,45562,120
419,1.0006063145077924,45671,120
420,1.0004999343791736,45780,120
421,1,45889,120
422,1,45998,120
423,1,46107,120
424,1,46216,120
425,1.000521562186812,46325,120
426,1,46434,120
427,1,46543,120
428,1,46652,120
429,1,46761,120
430,1,46870,120
431,1,46979,120
432,1,47088,120
433,1,47197,120
434,1,47306,120
435,1.0002753705348932,47415,120
436,1.0004694568779584,47524,120
437,1,47633,120
438,1.0000258450103647,47742,120
439,1.0002581820852974,47851,120
440,1,47960,120
441,1.0002278222180265,48069,120
442,1.0003351909338563,48178,120
443,1,48287,120
444,1,48396,120
445,1,48505,120
446,1.0015450621506583,48614,120
447,1.0011474679470711,48723,120
448,1.0009143063555626,48832,120
449,1.0010224246811239,48941,120
450,1.0002606666642448,49050,120
451,1,49159,120
452,1.0010997475097669,49268,120
453,1.000800928142118,49377,120
454,1,49486,120
455,1,49595,120
456,1,49704,120
457,1,49813,120
458,1,49922,120
459,1,50031,120
460,1,50140,120
461,1,50249,120
462,1,50358,120
463,1,50467,120
464,1,50576,120
465,1,50685,120
466,1.000966523684458,50794,120
467,1,50903,120
468,1,51012,120
469,1.001092777839707,51121,120
470,1,51230,120
471,1,51339,120
472,1,51448,120
473,1.0029999503525593,51557,120
474,1.0025851962490973,51666,120
475,1.0051867228347224,51775,120
476,1.0041871925186248,51884,120
477,1.0043009065008868,51993,120
478,1.0047111480677902,52102,120
479,1.005773183139639,52211,120
480,1.0044840966265611,52320,120
481,1.0036137463164783,52429,120
482,1.0033068248265655,52538,120
483,1.0034746197093496,52647,120
484,1.0027807888254345,52756,120
485,1.0022822807679166,52865,120
486,1.0008763798873004,52974,120
487,1.0000927189000943,53083,120
488,1.0023049452063015,53192,120
489,1.0008182028273187,53301,120
490,1.0013100743036161,53410,120
491,1.0026061588451127,53519,120
492,1.0034541754446045,53628,120
493,1.0019982504044196,53737,120
494,1.0007223576469109,53846,120
495,1.0003538599120243,53955,120
496,1.0003624056296037,54064,120
497,1,54173,120
498,1,54282,120
499,1.0000015494770056,54391,120
500,1,54500,120
501,1,54609,120
502,1,54718,120
503,1.0005044680133448,54827,120
504,1.0004151322414405,54936,120
505,1.0000898989131883,55045,120
506,1,55154,120
507,1,55263,120
508,1.0004234425918854,55372,120
509,1.0008059064093162,55481,120
510,1,55590,120
511,1,55699,120
512,1,55808,120
513,1,55917,120
514,1,56026,120
515,1.000244243993839,56135,120
516,1.0013313218428783,56244,120
517,1.0021111347771974,56353,120
518,1.0017092603545921,56462,120
519,1.0004438988288211,56571,120
520,1.0004169057875727,56680,120
521,1,56789,120
522,1,56898,120
523,1,57007,120
524,1,57116,120
525,1,57225,120
526,1.000929642430805,57334,120
527,1.0009612258158214,57443,120
528,1.0029535362151216,57552,120
529,1.0028425988218299,57661,120
530,1.0017030892915997,57770,120
531,1.0010528765556277,57879,120
532,1.0015296402587581,57988,120
533,1.0009974538775375,58097,120
534,1.0024064153904189,58206,120
535,1.0029480907720321,58315,120
536,1.002338296504421,58424,120
537,1.0015740626769678,58533,120
538,1.0006512858974814,58642,120
539,1,58751,120
540,1.0006994613738946,58860,120
541,1.0010735540900895,58969,120
542,1.0004395564524562,59078,120
543,1,59187,120
544,1,59296,120
545,1,59405,120
546,1,59514,120
547,1.0002334895153198,59623,120
548,1,59732,120
549,1,59841,120
550,1,59950,120
551,1,60059,120
552,1,60168,120
553,1,60277,120
554,1.000169642908922,60386,120
555,1.0000499913422762,60495,120
556,1.0009045069990135,60604,120
557,1.0007947506212063,60713,120
558,1.0003264922511872,60822,120
559,1.0000197398481483,60931,120
560,1,61040,120
561,1,61149,120
562,1,61258,120
563,1,61367,120
564,1,61476,120
565,1,61585,120
566,1.0001394513018176,61694,120
567,1.0003373902643209,61803,120
568,1.0004369994880098,61912,120
569,1,62021,120
570,1,62130,120
571,1,62239,120
572,1,62348,120
573,1,62457,120
574,1,62566,120
575,1,62675,120
576,1,62784,120
577,1.0000248256970024,62893,120
