generation,alpha,evaluation_count,population_size
0,1,0,120
1,1.0002129353647047,95,120
2,1.0006224305599918,190,120
3,1.0007555543775872,285,120
4,1.0013479881469654,380,120
5,1.0015177288744586,475,120
6,1.0018527051705719,570,120
7,1.0019014805132029,665,120
8,1.0025234252642927,760,120
9,1.0031830424917214,855,120
10,1.0032118773795879,950,120
11,1.0039330979968848,1045,120
12,1.0048183010814677,1140,120
13,1.0058904722728967,1235,120
14,1.0071829902885645,1330,120
15,1.0083661843767644,1425,120
16,1.0089150363696275,1520,120
17,1.0089980860762131,1615,120
18,1.0099706328303615,1710,120
19,1.0097981356208201,1805,120
20,1.0105032486654033,1900,120
21,1.0117225566609278,1995,120
22,1.0127237476835533,2090,120
23,1.0127909615004449,2185,120
24,1.0132302801277571,2280,120
25,1.0142059072391443,2375,120
26,1.0155091740938473,2470,120
27,1.0166974069886623,2565,120
28,1.0167208103981262,2660,120
29,1.0177766886225406,2755,120
30,1.0175590989282683,2850,120
31,1.0184054333482071,2945,120
32,1.0185613795013495,3040,120
33,1.0191446748153778,3135,120
34,1.0205371015206237,3230,120
35,1.0206722194742119,3325,120
36,1.0210972508360718,3420,120
37,1.0216878744874718,3515,120
38,1.0215038576046012,3610,120
39,1.0220692193123246,3705,120
40,1.0222441914172686,3800,120
41,1.0225785520161981,3895,120
42,1.0227681463348532,3990,120
43,1.0226087139587576,4085,120
44,1.0225991229879901,4180,120
45,1.0227947096394363,4275,120
46,1.0227458095326298,4370,120
47,1.0230353478063998,4465,120
48,1.0241538468033164,4560,120
49,1.0249986693879314,4655,120
50,1.0254964514112985,4750,120
51,1.0253528648545671,4845,120
52,1.0256927408870196,4940,120
53,1.0256698258674979,5035,120
54,1.0252910009330742,5130,120
55,1.0259494292598892,5225,120
56,1.0267197790071489,5320,120
57,1.0266291340880431,5415,120
58,1.0269184845074901,5510,120
59,1.0267813928593061,5605,120
60,1.0269799919980069,5700,120
61,1.0276434126160834,5795,120
62,1.0282924688603614,5890,120
63,1.0288103241352755,5985,120
64,1.0292739793533552,6080,120
