次元数,10,母集団サイズ,120,子個体生成数,109
初期f1,初期f2
0.014657,3.779101
0.158526,3.113357
0.364539,2.583579
0.860789,1.995302
0.116664,3.748813
0.710582,2.486056
0.890050,2.317546
0.612656,2.647099
0.027915,4.818216
0.186372,3.359927
0.728363,2.527256
0.544654,2.955069
0.277863,3.232054
0.595987,2.872156
0.463274,3.143322
0.128692,3.903931
0.562548,2.883989
0.030789,3.904499
0.719129,2.676072
0.238168,3.479493
0.034820,5.918564
0.610078,2.887168
0.933775,2.465678
0.283242,3.257910
0.860250,2.541572
0.219256,3.692109
0.063970,4.061943
0.137830,4.004451
0.707712,2.883956
0.038652,5.675064
0.809909,2.551735
0.041971,4.759538
0.062700,4.811643
0.149011,4.197349
0.421092,3.697244
0.922977,2.646258
0.644766,2.928490
0.161124,4.023472
0.442400,3.292315
0.047634,6.895907
0.434412,3.562880
0.439606,3.358637
0.068865,4.231570
0.899241,2.770010
0.372450,3.943152
0.884554,3.097017
0.098141,4.253111
0.912291,2.886536
0.064799,7.462800
0.445548,3.355256
0.189167,4.206207
0.084393,4.460679
0.976149,2.740825
0.295652,4.032076
0.067848,4.945319
0.456265,3.412942
0.852734,3.400211
0.070208,5.827424
0.311185,4.283298
0.893282,3.111084
0.398939,4.065714
0.100892,4.549626
0.361803,4.125991
0.088954,5.383324
0.195541,4.325901
0.166053,4.732027
0.681970,3.506909
0.500925,3.513822
0.355380,4.521194
0.893294,3.466882
0.239518,4.586157
0.112538,4.943151
0.950704,3.203026
0.369642,4.420585
0.089303,6.406865
0.476301,3.599738
0.376854,4.139921
0.467176,4.000605
0.254890,4.585203
0.979372,3.336723
0.120879,6.080817
0.577223,3.545949
0.503394,3.618193
0.413203,4.142460
0.161472,5.177099
0.932272,3.486661
0.171276,4.792932
0.466513,4.276577
0.565819,3.761801
0.256106,4.810144
0.199054,5.056116
0.441820,4.315966
0.942604,3.515432
0.737227,3.739808
0.178508,5.343438
0.237937,5.002651
0.859676,3.615803
0.284475,4.999515
0.274628,5.058115
0.776837,3.932146
0.595795,4.593014
0.188957,5.651400
0.320252,4.915304
0.849602,3.838287
0.966939,3.528189
0.603096,4.009564
0.204496,5.182011
0.503306,4.840468
0.303186,5.089748
0.703218,4.106700
0.865998,3.981884
0.627084,4.371459
0.531117,5.376760
0.789623,4.254881
0.555008,5.136091
0.314150,5.428216
0.676749,5.187030
0.963155,4.297937
0.850398,4.563041
0.378863,5.460496

f1,f2
0.014657,3.779101
0.158526,3.113357
0.364539,2.583579
0.860789,1.995302
0.116664,3.748813
0.705115,2.232197
0.811172,2.230872
0.697806,2.504786
0.010621,4.882504
0.278438,3.083441
0.924035,2.014595
0.710582,2.486056
0.890050,2.317546
0.612656,2.647099
0.186372,3.359927
0.277863,3.232054
0.128692,3.903931
0.231395,3.325022
0.402175,2.654874
0.020308,4.608675
0.663773,2.611750
0.663801,2.589499
0.143751,3.901959
0.030789,3.904499
0.103297,3.969171
0.027915,4.818216
0.728363,2.527256
0.820514,2.517793
0.238168,3.479493
0.933775,2.465678
0.283242,3.257910
0.063970,4.061943
0.041971,4.759538
0.199169,3.770047
0.997914,2.026052
0.450971,2.784747
0.344226,3.240161
0.958896,2.348720
0.646213,2.707643
0.213504,3.597689
0.719129,2.676072
0.442400,3.292315
0.595987,2.872156
0.463274,3.143322
0.562548,2.883989
0.034820,5.918564
0.544654,2.955069
0.860250,2.541572
0.137830,4.004451
0.038652,5.675064
0.809909,2.551735
0.219256,3.692109
0.548024,2.892829
0.062700,4.811643
0.068865,4.231570
0.301961,3.368320
0.749253,2.694974
0.218521,3.806288
0.136675,4.061761
0.211458,3.966643
0.452275,3.173347
0.389431,3.358544
0.641382,2.814106
0.543822,3.129911
0.084393,4.460679
0.161124,4.023472
0.445548,3.355256
0.098141,4.253111
0.439606,3.358637
0.047634,6.895907
0.922977,2.646258
0.149011,4.197349
0.707712,2.883956
0.610078,2.887168
0.067848,4.945319
0.760353,2.724914
0.455418,3.311502
0.277766,3.729374
0.493066,3.238207
0.598046,2.960285
0.226453,3.799209
0.470387,3.293112
0.454507,3.322577
0.409127,3.559437
0.608629,2.927822
0.522269,3.186637
0.413726,3.729407
0.421092,3.697244
0.644766,2.928490
0.434412,3.562880
0.899241,2.770010
0.064799,7.462800
0.976149,2.740825
0.456265,3.412942
0.070208,5.827424
0.100892,4.549626
0.525070,3.269409
0.427132,3.647583
0.090112,4.717224
0.287681,3.836649
0.185399,4.201845
0.293014,3.818762
0.422277,3.662380
0.502569,3.328085
0.638243,3.193707
0.828025,2.921848
0.103904,4.529881
0.226030,4.046618
0.087712,5.094980
0.185673,4.537386
0.119147,4.771811
0.499204,3.512752
0.408603,3.839409
0.126506,4.716437
0.476301,3.599738
0.254515,4.048666
0.305221,4.004831
0.326372,3.910556
0.250486,4.140195
0.532588,3.427736


評価回数,109
