次元数,10,母集団サイズ,120,子個体生成数,109
初期f1,初期f2
0.335511,99.436788
0.010772,131.081315
0.076169,128.836944
0.313324,105.467975
0.002297,153.206702
0.215090,112.276729
0.142178,125.004225
0.083623,162.123300
0.157580,133.368456
0.122154,136.042633
0.006008,203.509753
0.113297,156.589768
0.009319,178.836976
0.473951,105.699788
0.251200,123.737826
0.864218,100.382534
0.470802,107.745717
0.026220,171.628210
0.299627,122.943082
0.540788,121.036074
0.472475,140.461272
0.105391,170.690697
0.738131,120.100223
0.837804,108.370425
0.124280,142.050144
0.044928,172.295105
0.525272,123.186893
0.827084,117.491406
0.694160,120.969236
0.074258,172.384454
0.235268,145.060413
0.867517,110.781271
0.209332,152.433793
0.335672,143.392410
0.532419,124.737075
0.810570,121.943982
0.662162,123.664308
0.744074,123.330234
0.570067,137.470036
0.074724,186.565233
0.624630,125.843516
0.968013,111.815762
0.087660,184.324881
0.255708,147.271215
0.561326,140.593338
0.367363,143.741038
0.944259,114.236076
0.690205,130.272409
0.294359,180.280243
0.298680,147.621566
0.724980,126.160669
0.660063,136.469523
0.090988,194.425878
0.313274,161.966407
0.324518,149.331373
0.969565,133.939635
0.889375,138.663752
0.704884,140.772966
0.131214,217.148041
0.749143,140.453533
0.349729,147.886792
0.406703,150.221333
0.328819,161.383849
0.584100,147.949213
0.904846,139.971559
0.979577,135.347000
0.442701,148.011540
0.396313,176.349238
0.429968,161.953867
0.988065,136.360807
0.749198,149.896313
0.478580,150.176588
0.366335,180.536823
0.440239,152.906744
0.428382,186.794308
0.540305,151.431414
0.452644,167.001008
0.436192,179.970633
0.518354,152.497117
0.645310,150.956569
0.593066,152.520324
0.531826,163.052777
0.443808,192.954297
0.478450,188.581924
0.502657,170.679925
0.855358,151.408480
0.660636,165.401205
0.533448,167.127247
0.531668,214.687988
0.887308,153.692825
0.735354,154.651214
0.688116,165.133462
0.786951,156.807695
0.578634,172.594825
0.555528,173.126459
0.816008,156.784782
0.886920,155.654959
0.635517,170.461082
0.862912,156.263583
0.865090,166.439137
0.831441,170.013747
0.558079,173.210003
0.609207,179.115162
0.604480,197.036984
0.976481,172.365902
0.907629,173.185594
0.820747,174.597625
0.925200,173.908217
0.838838,183.295822
0.617898,185.094580
0.991480,172.483155
0.711606,184.013910
0.923396,181.264441
0.715971,192.420100
0.934872,174.083651
0.892901,184.285734
0.861092,189.052593
0.997185,176.688020
0.982142,189.996754
0.900273,191.748612

f1,f2
0.066875,5.761584
0.037629,6.972619
0.053717,6.137692
0.033295,6.988083
0.078124,5.586010
0.000000,7.423385
0.061317,5.892887
0.004547,7.269955
0.077019,5.597923
0.004186,7.322700
0.005688,7.109068
0.004137,7.342614
0.049172,6.344492
0.069012,5.716164
0.054518,6.098555
0.045768,6.501607
0.046983,6.416880
0.062131,5.863128
0.063636,5.816080
0.050616,6.277521
0.000798,7.406275
0.081355,5.553619
0.048830,6.345199
0.041915,6.720197
0.081509,5.552262
0.074532,5.619200
0.049753,6.281034
0.070502,5.684136
0.045512,6.504034
0.056905,6.006685
0.055446,6.056706
0.069546,5.700666
0.060916,5.911511
0.067267,5.739941
0.055968,6.035017
0.073512,5.637991
0.077301,5.590460
0.046305,6.418061
0.060194,5.916007
0.038602,6.890012
0.049713,6.323682
0.065017,5.797532
0.045937,6.474969
0.063568,5.834024
0.043418,6.564370
0.068334,5.725380
0.058277,5.986234
0.071979,5.665744
0.068947,5.721975
0.039757,6.783984
0.052664,6.172805
0.038842,6.830950
0.040059,6.776440
0.068491,5.724698
0.061595,5.884863
0.050910,6.234282
0.052009,6.205516
0.043857,6.532344
0.042582,6.630506
0.054491,6.133675
0.059499,5.952668
0.048051,6.371959
0.062341,5.857106
0.042054,6.663974
0.050751,6.245484
0.072595,5.650867
0.044998,6.518317
0.058365,5.979867
0.068011,5.736926
0.047207,6.389888
0.059543,5.951066
0.076232,5.604159
0.066065,5.779244
0.058418,5.975146
0.072095,5.656856
0.065629,5.783936
0.071412,5.670789
0.073025,5.643269
0.067083,5.749190
0.068141,5.736326
0.079916,5.566409
0.079625,5.567102
0.069391,5.710862
0.058881,5.963534
0.072392,5.655688
0.040266,6.729623
0.082670,5.546382
0.053261,6.150551
0.085917,5.533863
0.061998,5.869754
0.057613,5.991468
0.062805,5.840084
0.074167,5.636041
0.066550,5.770269
0.057545,5.996328
0.073717,5.636377
0.077568,5.586484
0.059839,5.932021
0.061056,5.896143
0.056619,6.012754
0.055131,6.086578
0.066385,5.775217
0.064996,5.808505
0.083208,5.543713
0.066159,5.776704
0.059037,5.953656
0.051129,6.216011
0.056540,6.028032
0.070692,5.680110
0.042955,6.600839
0.071216,5.671625
0.070351,5.686055
0.052051,6.200087
0.078247,5.580561
0.072039,5.658754
0.059775,5.932294
0.055360,6.062307
0.052503,6.182008
0.059732,5.942492
0.065052,5.789229


評価回数,326237
