min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,325.870315,888.052317,1.002547,,8.350734,7.973100,7.655788,8.504096,7.882242,8.286208,7.954886,8.295746,8.260606,7.846252,8.576066,9.173525,7.984131,8.088823,7.854298,8.510577,7.690827,8.373997,8.117913,8.253153,,-2.875358,1.941509,-0.367142,4.403161,-1.081782,0.976053,-2.221511,4.182328,0.448910,0.265800,-1.930743,-4.855539,-3.935545,-3.373584,-0.732067,2.089709,-2.219444,0.370265,4.193543,1.721438,,0.907583
2,310.759713,888.052317,1.000000,,8.233817,8.022781,7.629013,8.350442,7.723466,8.066072,7.789345,8.138729,8.223455,7.691174,8.426267,8.990563,7.896936,7.778628,7.767209,8.308153,7.560395,8.290584,8.054445,8.198956,,-0.426682,4.900836,-1.186042,2.171249,-4.467332,-4.020986,-2.335698,3.025793,-1.389774,1.281575,-3.158043,-2.146370,2.395932,-0.593024,1.358819,2.062816,-0.298163,3.177716,-4.102384,0.749762,,0.940749
3,293.060250,888.052317,1.001107,,8.063735,7.849927,7.499300,8.090339,7.601136,8.004696,7.720004,7.958512,7.932434,7.550457,8.303148,8.919617,7.864469,7.655163,7.622474,8.171464,7.429805,8.213420,7.946614,8.027500,,-3.105413,1.402703,-1.325102,4.933843,-4.403679,-3.085608,-2.148691,1.245166,-1.326249,0.280623,0.123579,-1.360550,-1.306251,-1.429878,-0.063897,3.468369,-0.224162,4.950290,0.081684,0.293224,,1.012216
4,293.060250,888.052317,1.000000,,7.912177,7.788278,7.373258,7.848275,7.455304,7.814639,7.481809,7.984282,7.889351,7.440459,8.090781,8.772343,7.740372,7.498268,7.494417,8.225745,7.268064,8.070224,7.815841,7.952514,,-3.105413,1.402703,-1.325102,4.933843,-4.403679,-3.085608,-2.148691,1.245166,-1.326249,0.280623,0.123579,-1.360550,-1.306251,-1.429878,-0.063897,3.468369,-0.224162,4.950290,0.081684,0.293224,,1.076839
5,269.817819,888.052317,1.001810,,7.787246,7.726153,7.202688,7.777412,7.321118,7.703788,7.370138,7.784330,7.702992,7.374624,8.044084,8.631115,7.593671,7.386939,7.437992,7.961679,7.231227,8.042710,7.738632,7.984329,,-1.856761,3.284423,1.228809,4.160046,0.367481,-2.977991,-4.133034,1.906826,-0.612266,-0.426428,-2.909612,-2.318660,-2.423004,-1.646700,-0.159762,-0.865390,-1.774283,2.852877,3.034061,2.269368,,1.196571
6,286.436185,888.052317,1.000935,,7.588383,7.626595,6.975285,7.524585,7.193953,7.514768,7.118821,7.642129,7.545499,7.273923,7.914321,8.460841,7.527252,7.234443,7.324180,7.702563,7.096194,7.895753,7.550356,7.812487,,-3.062492,4.058906,0.538750,3.100770,-1.542177,-1.919412,-0.165335,0.427699,-2.225023,0.940721,-3.803331,-1.365718,-2.395841,-3.818113,-1.614899,2.736521,-0.328211,1.303376,3.077979,3.055829,,1.306299
7,244.853507,888.052317,1.000419,,7.454797,7.518953,6.838618,7.493327,7.138870,7.400740,7.071431,7.703064,7.506130,7.131970,7.873878,8.350550,7.442298,7.018964,7.128743,7.706964,7.027760,7.771957,7.429118,7.835158,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,1.435755
8,244.853507,840.092087,1.000691,,7.482883,7.560822,6.686225,7.302556,6.933583,7.270986,7.030044,7.780232,7.317685,6.987066,7.787261,8.201667,7.306280,6.940166,7.027100,7.521014,7.015108,7.623626,7.316428,7.666593,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,1.578745
9,244.853507,840.092087,1.000000,,7.286650,7.484705,6.587501,7.059903,6.716709,7.014605,6.906677,7.669699,7.262956,6.857134,7.767509,8.119967,7.128408,6.814742,6.818109,7.368988,6.969181,7.527115,7.139998,7.383173,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,1.726149
10,244.853507,840.092087,1.001141,,7.100012,7.396473,6.403031,6.886441,6.573568,6.903390,6.775808,7.482060,7.146860,6.657718,7.518421,7.981166,7.136267,6.699800,6.604630,7.099183,6.774299,7.513001,7.037392,7.262700,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,1.842736
11,244.853507,840.092087,1.000000,,6.877913,7.234231,6.260849,6.696359,6.458403,6.733574,6.655917,7.348246,6.903492,6.464297,7.378406,7.770496,7.024658,6.615221,6.400262,6.942924,6.668978,7.273966,6.844972,7.181572,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,1.941905
12,244.853507,840.092087,1.002220,,6.754317,7.074718,6.155240,6.513361,6.373879,6.762284,6.437644,7.152417,6.812120,6.376119,7.108625,7.601227,6.887154,6.459164,6.341986,6.849172,6.649676,7.134006,6.651230,7.011278,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.050938
13,244.853507,840.092087,1.001054,,6.677991,7.074717,6.094047,6.390709,6.316051,6.768238,6.345149,7.063695,6.612041,6.364646,7.050056,7.451223,6.778487,6.349294,6.236649,6.778918,6.585525,6.975946,6.501977,6.861016,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.154072
14,205.366126,840.092087,1.001920,,6.452114,6.896644,6.011758,6.349926,6.203876,6.575536,6.225029,6.967902,6.486196,6.217496,6.844642,7.387814,6.534370,6.143165,6.167849,6.686338,6.392923,6.803745,6.317667,6.769145,,-0.077995,1.862618,-1.926681,1.401107,-4.044128,-3.295379,-1.336540,3.680985,0.889727,-4.102996,-0.989971,-0.708934,-1.241759,0.943359,-1.797764,2.882910,-1.047334,3.113397,-2.169802,4.965180,,2.277260
