min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,238.233526,716.433105,1.000206,,8.294680,7.911335,7.685561,8.450723,7.912483,8.229926,7.911784,8.344971,8.176809,7.879901,8.581660,9.188126,8.020313,8.157346,7.812716,8.484274,7.739592,8.345602,8.101160,8.266637,,-3.095648,-0.765337,-1.817335,-1.941898,0.108178,-0.836364,-1.153024,2.198625,0.159185,-1.850752,2.799884,-0.919269,3.227592,-1.464966,1.291733,-1.596321,-4.150014,3.079912,2.301861,-0.576041,,1.236899
2,168.764364,716.433105,1.000000,,8.156118,7.800952,7.470422,8.379089,7.858690,8.105535,7.703819,8.073810,7.985741,7.795601,8.341339,9.161788,7.795973,8.105822,7.568628,8.327068,7.701607,8.330119,7.926644,8.110079,,0.662274,-3.156071,-0.076391,2.109070,-2.914940,1.202395,-1.015834,1.029421,-2.809686,0.538745,1.008196,-2.310696,-0.101127,-2.895729,2.025139,2.814850,-1.875157,1.642487,3.081288,-3.958236,,1.259276
3,168.764364,716.433105,1.000000,,8.016634,7.665175,7.139849,8.120951,7.704565,8.021853,7.665472,7.881721,7.777394,7.524234,8.215897,8.959892,7.648293,7.883523,7.427137,8.172943,7.515209,8.283896,7.710722,7.913433,,0.662274,-3.156071,-0.076391,2.109070,-2.914940,1.202395,-1.015834,1.029421,-2.809686,0.538745,1.008196,-2.310696,-0.101127,-2.895729,2.025139,2.814850,-1.875157,1.642487,3.081288,-3.958236,,1.261416
4,168.764364,716.433105,1.000000,,7.833926,7.512157,6.961446,7.993333,7.558719,7.975309,7.606022,7.779552,7.771885,7.226596,8.063606,8.870933,7.515741,7.764010,7.278876,7.946872,7.464596,8.135114,7.628555,7.785296,,0.662274,-3.156071,-0.076391,2.109070,-2.914940,1.202395,-1.015834,1.029421,-2.809686,0.538745,1.008196,-2.310696,-0.101127,-2.895729,2.025139,2.814850,-1.875157,1.642487,3.081288,-3.958236,,1.295013
5,238.233526,716.433105,1.001482,,7.716102,7.437795,6.800404,7.888147,7.622745,7.866936,7.482604,7.739501,7.648705,7.137551,7.971603,8.781682,7.455061,7.679523,7.150073,7.807569,7.331264,8.072508,7.501339,7.665020,,-3.095648,-0.765337,-1.817335,-1.941898,0.108178,-0.836364,-1.153024,2.198625,0.159185,-1.850752,2.799884,-0.919269,3.227592,-1.464966,1.291733,-1.596321,-4.150014,3.079912,2.301861,-0.576041,,1.343284
6,221.849696,716.433105,1.001799,,7.587495,7.276892,6.765427,7.786940,7.426067,7.654086,7.288353,7.605234,7.457821,6.936208,7.803466,8.646451,7.302605,7.568851,7.128635,7.699468,7.286117,7.743904,7.355116,7.521866,,-0.703377,-0.155119,0.761522,-2.295535,-2.750447,3.159490,1.956114,-0.468455,2.975260,-0.427579,-0.148201,-2.576434,1.773876,-3.068001,3.064649,-0.104787,-4.908749,-0.154429,-0.072858,-0.856941,,1.388286
7,218.507399,716.433105,1.001514,,7.485056,7.076763,6.638899,7.616023,7.296840,7.607916,7.231751,7.436707,7.364167,6.867845,7.682154,8.553294,7.218935,7.195971,7.060709,7.652681,7.143928,7.681048,7.157210,7.394949,,1.549882,-1.578397,0.656384,0.275493,-1.968603,1.961193,-1.749252,0.219760,0.542477,-1.698298,-0.445237,0.204432,-0.400083,-2.016917,1.717481,0.804570,-2.938353,3.033337,-0.110847,-3.059021,,1.433759
8,218.507399,644.233716,1.000000,,7.305917,6.977202,6.525665,7.501054,7.163383,7.486834,7.202094,7.285869,7.122061,6.752290,7.606678,8.291143,7.178285,7.114011,6.919178,7.500832,6.986252,7.624441,7.066838,7.236107,,1.549882,-1.578397,0.656384,0.275493,-1.968603,1.961193,-1.749252,0.219760,0.542477,-1.698298,-0.445237,0.204432,-0.400083,-2.016917,1.717481,0.804570,-2.938353,3.033337,-0.110847,-3.059021,,1.510530
9,218.507399,644.233716,1.001234,,7.050925,6.959041,6.386717,7.299714,7.103294,7.270841,7.040275,7.183768,6.899992,6.600540,7.484264,8.014427,7.068646,6.969299,6.608700,7.329775,6.889757,7.512711,6.916147,7.132501,,1.549882,-1.578397,0.656384,0.275493,-1.968603,1.961193,-1.749252,0.219760,0.542477,-1.698298,-0.445237,0.204432,-0.400083,-2.016917,1.717481,0.804570,-2.938353,3.033337,-0.110847,-3.059021,,1.548147
10,218.507399,644.233716,1.000919,,6.907658,6.810230,6.205768,7.291027,7.042686,7.133054,6.959715,7.045737,6.770400,6.502984,7.359465,7.877043,6.960883,6.789400,6.421733,7.149108,6.819378,7.228132,6.681488,7.021236,,1.549882,-1.578397,0.656384,0.275493,-1.968603,1.961193,-1.749252,0.219760,0.542477,-1.698298,-0.445237,0.204432,-0.400083,-2.016917,1.717481,0.804570,-2.938353,3.033337,-0.110847,-3.059021,,1.600528
11,201.058615,644.233716,1.001639,,6.709737,6.706188,6.084127,7.218011,7.042442,7.021124,6.782128,6.965940,6.627872,6.419127,7.278504,7.713071,6.822946,6.731013,6.318088,7.055454,6.663036,7.121832,6.591731,6.813264,,-0.149780,-4.762725,-1.109384,0.054867,-1.351943,2.827562,-4.087964,1.781953,-0.048013,2.119557,3.017635,-0.229574,-1.534067,-3.178289,1.323894,1.706547,-3.132409,1.649112,-1.011885,1.114905,,1.652499
12,195.345137,644.233716,1.003104,,6.613097,6.609889,5.937333,7.074889,6.843012,6.886260,6.543337,6.613731,6.499252,6.302885,7.132564,7.466884,6.760767,6.525061,6.182434,6.810346,6.537843,6.953500,6.489731,6.760227,,0.408695,-3.681227,0.352896,0.413645,0.104129,1.029252,-1.823043,2.025894,-1.031900,-0.790427,0.817222,-1.178314,1.719733,-2.714179,2.171182,-1.083964,-1.108713,1.888831,0.932385,-3.452097,,1.732397
13,195.345137,644.233716,1.002003,,6.559961,6.494538,5.859093,6.977497,6.734806,6.828066,6.424887,6.500958,6.421987,6.221819,6.971704,7.386362,6.633301,6.453015,6.074165,6.660947,6.438465,6.908317,6.420658,6.679872,,0.408695,-3.681227,0.352896,0.413645,0.104129,1.029252,-1.823043,2.025894,-1.031900,-0.790427,0.817222,-1.178314,1.719733,-2.714179,2.171182,-1.083964,-1.108713,1.888831,0.932385,-3.452097,,1.774786
14,195.345137,644.233716,1.001013,,6.402556,6.374379,5.789624,6.844760,6.660738,6.692200,6.217638,6.320463,6.302993,5.982843,6.853575,7.163578,6.602770,6.324471,5.931612,6.472072,6.281858,6.853896,6.302310,6.550176,,0.408695,-3.681227,0.352896,0.413645,0.104129,1.029252,-1.823043,2.025894,-1.031900,-0.790427,0.817222,-1.178314,1.719733,-2.714179,2.171182,-1.083964,-1.108713,1.888831,0.932385,-3.452097,,1.840864
15,201.058615,630.939178,1.000986,,6.241540,6.197380,5.736683,6.830529,6.465144,6.592808,6.153884,6.158140,6.180314,5.931228,6.707094,7.110436,6.482163,6.189547,5.778813,6.428818,6.240662,6.739134,6.203709,6.505132,,-0.149780,-4.762725,-1.109384,0.054867,-1.351943,2.827562,-4.087964,1.781953,-0.048013,2.119557,3.017635,-0.229574,-1.534067,-3.178289,1.323894,1.706547,-3.132409,1.649112,-1.011885,1.114905,,1.927138
16,158.107194,630.939178,1.001255,,6.229707,6.202691,5.658489,6.711016,6.315982,6.537057,6.073497,6.004722,6.069299,5.791544,6.618348,6.910711,6.394729,6.074470,5.639350,6.288726,6.100071,6.591776,6.087596,6.383268,,-1.977407,2.325891,-0.762452,-0.080701,-3.995732,2.144121,-1.882613,-0.076362,1.850953,-0.048951,0.082800,-0.123684,1.004821,-1.022667,2.347052,1.233093,-4.022531,-0.016743,-3.978773,1.999886,,1.982863
17,158.107194,630.939178,1.000000,,6.166290,6.107741,5.606536,6.615135,6.047287,6.538615,6.018549,5.754719,5.941680,5.657617,6.456722,6.795831,6.317926,5.978224,5.588495,6.136771,5.926579,6.485555,5.993433,6.164070,,-1.977407,2.325891,-0.762452,-0.080701,-3.995732,2.144121,-1.882613,-0.076362,1.850953,-0.048951,0.082800,-0.123684,1.004821,-1.022667,2.347052,1.233093,-4.022531,-0.016743,-3.978773,1.999886,,2.049353
18,203.152252,630.939178,1.000180,,6.059226,6.084134,5.495317,6.601925,5.967871,6.597998,6.060154,5.687844,5.852954,5.604526,6.413489,6.680721,6.263060,5.930478,5.504047,6.071361,5.879901,6.505917,5.946631,6.078721,,-4.566582,-1.653019,2.970659,1.185805,-0.318056,0.022024,-1.037105,1.674887,0.827839,-3.880566,0.882132,-1.006800,1.896019,-3.698682,1.465056,2.045038,-0.879881,0.072427,-1.099874,0.098677,,2.149510
19,203.152252,630.939178,1.000921,,6.021443,5.867978,5.415155,6.527893,5.912007,6.214237,5.974761,5.628340,5.785959,5.607518,6.297044,6.589670,6.068177,5.839537,5.441135,5.979507,5.727172,6.437089,6.019403,5.971363,,-4.566582,-1.653019,2.970659,1.185805,-0.318056,0.022024,-1.037105,1.674887,0.827839,-3.880566,0.882132,-1.006800,1.896019,-3.698682,1.465056,2.045038,-0.879881,0.072427,-1.099874,0.098677,,2.271392
20,203.152252,630.939178,1.001363,,5.908466,5.719950,5.346564,6.338637,5.879751,6.156417,5.827450,5.534076,5.620728,5.526801,6.237609,6.491559,5.985311,5.677843,5.418661,5.852744,5.636926,6.325389,5.910118,5.763167,,-4.566582,-1.653019,2.970659,1.185805,-0.318056,0.022024,-1.037105,1.674887,0.827839,-3.880566,0.882132,-1.006800,1.896019,-3.698682,1.465056,2.045038,-0.879881,0.072427,-1.099874,0.098677,,2.376809
21,203.152252,630.939178,1.000090,,5.715402,5.692703,5.290340,6.142775,5.792355,6.137071,5.745878,5.478933,5.428419,5.517151,6.256007,6.351206,5.890395,5.529970,5.242544,5.849156,5.578035,6.296952,5.827367,5.723141,,-4.566582,-1.653019,2.970659,1.185805,-0.318056,0.022024,-1.037105,1.674887,0.827839,-3.880566,0.882132,-1.006800,1.896019,-3.698682,1.465056,2.045038,-0.879881,0.072427,-1.099874,0.098677,,2.465531
22,203.152252,630.939178,1.000000,,5.649527,5.651702,5.233593,6.122826,5.697960,5.974783,5.680228,5.434637,5.351459,5.467270,6.165641,6.250802,5.803083,5.448389,5.178414,5.745532,5.457832,6.069565,5.732502,5.585796,,-4.566582,-1.653019,2.970659,1.185805,-0.318056,0.022024,-1.037105,1.674887,0.827839,-3.880566,0.882132,-1.006800,1.896019,-3.698682,1.465056,2.045038,-0.879881,0.072427,-1.099874,0.098677,,2.555831
23,184.107550,630.939178,1.000000,,5.551751,5.596416,5.138324,6.141266,5.563476,5.761320,5.591026,5.351826,5.199733,5.402710,6.075988,5.965865,5.728847,5.375582,5.079691,5.723560,5.368411,6.051021,5.493596,5.452812,,-0.128151,-3.113147,-0.253614,0.511384,0.106236,1.052345,-3.048995,0.912793,1.870970,-0.738429,-1.876396,-3.473618,0.894605,0.093039,1.506648,1.897953,-2.476858,3.251238,-2.178689,0.190683,,2.622422
24,184.107550,630.939178,1.000000,,5.470886,5.542990,5.076389,6.065156,5.482607,5.598506,5.532345,5.276302,5.022499,5.268673,6.064114,5.901966,5.589666,5.264705,5.031379,5.661713,5.176995,6.030730,5.441951,5.325908,,-0.128151,-3.113147,-0.253614,0.511384,0.106236,1.052345,-3.048995,0.912793,1.870970,-0.738429,-1.876396,-3.473618,0.894605,0.093039,1.506648,1.897953,-2.476858,3.251238,-2.178689,0.190683,,2.672675
25,184.107550,630.939178,1.000000,,5.374928,5.465816,4.996599,6.004379,5.468516,5.554755,5.537870,5.300279,5.030910,5.215391,6.009453,5.857935,5.520452,5.110723,4.920913,5.620065,5.126637,5.865903,5.337712,5.292879,,-0.128151,-3.113147,-0.253614,0.511384,0.106236,1.052345,-3.048995,0.912793,1.870970,-0.738429,-1.876396,-3.473618,0.894605,0.093039,1.506648,1.897953,-2.476858,3.251238,-2.178689,0.190683,,2.739034
26,184.107550,630.939178,1.000000,,5.256779,5.381183,4.884900,5.847020,5.331341,5.453379,5.536282,5.202131,4.940278,5.065234,5.888059,5.601779,5.429327,5.068451,4.811354,5.493717,5.079388,5.705473,5.247479,5.213743,,-0.128151,-3.113147,-0.253614,0.511384,0.106236,1.052345,-3.048995,0.912793,1.870970,-0.738429,-1.876396,-3.473618,0.894605,0.093039,1.506648,1.897953,-2.476858,3.251238,-2.178689,0.190683,,2.805749
27,184.107550,630.939178,1.000000,,5.169865,5.269977,4.801527,5.587518,5.253177,5.461799,5.457369,5.131197,4.801841,4.994013,5.840508,5.423661,5.358417,4.889155,4.752100,5.316106,4.942817,5.652193,5.239066,4.955635,,-0.128151,-3.113147,-0.253614,0.511384,0.106236,1.052345,-3.048995,0.912793,1.870970,-0.738429,-1.876396,-3.473618,0.894605,0.093039,1.506648,1.897953,-2.476858,3.251238,-2.178689,0.190683,,2.901553
28,178.583242,630.939178,1.000000,,5.063457,5.110317,4.738996,5.538391,5.135086,5.361381,5.284084,5.002765,4.794647,4.833152,5.744619,5.216448,5.193220,4.852802,4.609130,5.111955,4.854027,5.494286,5.123563,4.862369,,-1.023808,1.528407,-0.924510,0.931882,-3.018327,0.655551,-0.935726,-0.761775,2.936756,-2.955603,0.949561,-2.099838,-2.168431,-0.396173,1.218150,0.224073,-1.069076,2.632159,0.057612,-0.780886,,2.959848
