min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,408.183469,1477.480008,1.000000,,8.684885,8.268730,9.096380,8.589807,8.123961,8.855390,8.198619,8.465839,8.536248,8.098715,9.122241,8.730073,8.658857,8.168704,8.665480,8.440093,8.564347,8.733208,8.160408,8.515091,,0.754040,0.997535,0.147936,4.694478,-2.180116,-3.368421,0.987112,3.408744,-1.881604,-2.269063,-0.500525,-3.758640,0.842359,-0.221176,-0.134057,3.204359,-2.752039,-0.475011,2.164021,-1.324726,,0.627641
2,302.370779,1477.480008,1.001339,,8.623086,8.195672,8.812193,8.574051,8.015116,8.724760,8.085281,8.440346,8.430780,7.974917,8.885881,8.451876,8.561304,8.123671,8.451222,8.310603,8.494734,8.554743,8.024854,8.392804,,-1.075402,2.129504,-1.085168,-1.712921,-3.435702,-0.044636,1.501608,2.930586,-2.620633,0.422573,-1.874579,0.117394,-2.634783,-2.159607,0.934656,1.144797,0.046778,-1.693471,0.530536,3.200713,,0.692719
3,268.200220,1477.480008,1.002048,,8.561530,8.069734,8.818763,8.456820,7.843826,8.651245,7.977249,8.337830,8.274783,7.860678,8.783470,8.388699,8.378998,7.924174,8.361954,8.150207,8.390824,8.373603,7.825595,8.200460,,-0.861030,0.166998,0.296565,2.291288,-2.231197,-2.917821,-1.741236,1.437420,-1.579974,-3.095684,-2.305498,-1.910767,-2.110584,-2.089719,-1.449322,0.330280,-0.585056,-0.920594,0.584151,0.463626,,0.709333
4,321.857436,1477.480008,1.006861,,8.503594,8.026667,8.606301,8.293970,7.549568,8.451045,7.817897,8.176324,8.113869,7.737988,8.689095,8.122291,8.167172,7.742186,8.157780,8.018792,8.309270,8.137685,7.668822,8.102393,,-1.069091,3.932356,-1.807547,-3.156079,-1.664496,-0.267320,-1.978612,3.513104,-2.039200,0.027474,-3.110321,-1.453109,0.414471,-0.092293,-0.311510,4.051938,-2.508728,0.900925,-1.502347,1.297869,,0.759459
5,321.857436,1477.480008,1.007239,,8.316012,7.895711,8.450424,8.081243,7.434423,8.194904,7.694236,8.008144,7.984563,7.534991,8.465630,7.986541,8.119379,7.463575,8.084177,7.867927,8.089600,8.024355,7.535598,7.888583,,-1.069091,3.932356,-1.807547,-3.156079,-1.664496,-0.267320,-1.978612,3.513104,-2.039200,0.027474,-3.110321,-1.453109,0.414471,-0.092293,-0.311510,4.051938,-2.508728,0.900925,-1.502347,1.297869,,0.863570
6,321.857436,1413.463346,1.008544,,8.106350,7.810409,8.262906,8.038645,7.189455,7.960757,7.498674,7.844920,7.750557,7.373763,8.311011,7.850345,7.870698,7.276246,7.895791,7.755124,7.857717,7.880684,7.433325,7.669964,,-1.069091,3.932356,-1.807547,-3.156079,-1.664496,-0.267320,-1.978612,3.513104,-2.039200,0.027474,-3.110321,-1.453109,0.414471,-0.092293,-0.311510,4.051938,-2.508728,0.900925,-1.502347,1.297869,,0.977908
7,321.857436,1413.463346,1.011708,,7.941386,7.661010,8.199670,7.877520,7.028067,7.817704,7.357203,7.796506,7.617000,7.317507,8.290205,7.766694,7.688432,7.143285,7.725755,7.540450,7.742054,7.757508,7.264345,7.459450,,-1.069091,3.932356,-1.807547,-3.156079,-1.664496,-0.267320,-1.978612,3.513104,-2.039200,0.027474,-3.110321,-1.453109,0.414471,-0.092293,-0.311510,4.051938,-2.508728,0.900925,-1.502347,1.297869,,1.028374
8,300.823486,1413.463346,1.010501,,7.820447,7.541593,8.158336,7.760223,6.964577,7.575631,7.202957,7.594215,7.474512,7.179921,8.080348,7.583367,7.674425,6.992894,7.563727,7.329353,7.652300,7.553110,7.123409,7.361850,,1.133782,1.109481,1.049906,1.108216,-0.027146,-0.491714,0.078084,3.152880,-1.387780,-2.019960,-2.580944,-1.185589,-0.659854,1.650956,-1.024058,1.527864,-0.058707,-2.143610,-1.260071,-0.772108,,1.131326
9,268.379207,1413.463346,1.009067,,7.657465,7.465619,8.048850,7.615775,6.947602,7.521837,7.083432,7.404462,7.367236,6.895837,7.995187,7.513737,7.545021,6.903018,7.478055,7.267268,7.585148,7.356909,6.917493,7.208024,,-0.758694,-0.456405,-0.746794,-0.239813,-3.065814,-1.754399,1.977512,-0.074454,-2.086621,-1.233649,-0.984734,-1.042493,-2.097362,-2.642155,-0.263469,-0.772496,-2.618331,1.292930,1.446319,-0.883634,,1.200909
10,248.838514,1413.463346,1.008900,,7.473346,7.370776,7.937093,7.542189,6.868479,7.363028,6.958214,7.284537,7.258448,6.715674,7.963656,7.306354,7.382347,6.835896,7.363499,7.055398,7.484145,7.203297,6.850440,7.072480,,-0.105067,3.065319,1.342008,2.529649,-1.307217,-1.483929,-1.442191,-0.327744,-3.253334,-1.109809,-3.037629,-0.761818,-0.800454,-1.131686,-1.794887,-1.850341,-1.782810,-0.710744,0.720544,-2.820518,,1.313205
