min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,329.612304,910.139821,1.005356,,8.656586,8.509074,8.134646,8.826394,8.240574,8.591786,8.228921,8.577720,8.962781,8.319621,9.038762,9.548494,8.362657,8.742315,8.472403,8.950174,8.281848,8.575098,8.293188,8.564262,,-4.716358,-0.507621,4.787028,2.401548,-2.230587,1.173103,-0.560537,2.503307,-1.811958,-0.916844,-3.970412,-1.397064,-1.428665,-1.986295,-3.200474,-0.022771,-3.679140,2.934582,0.935721,3.399452,,0.605894
2,329.612304,910.139821,1.004115,,8.347970,8.415866,7.996761,8.705384,8.182179,8.414641,8.136988,8.300829,8.670171,8.101866,8.885566,9.338276,8.242278,8.502832,8.395513,8.678692,8.138439,8.449313,8.167410,8.351985,,-4.716358,-0.507621,4.787028,2.401548,-2.230587,1.173103,-0.560537,2.503307,-1.811958,-0.916844,-3.970412,-1.397064,-1.428665,-1.986295,-3.200474,-0.022771,-3.679140,2.934582,0.935721,3.399452,,0.639640
3,329.612304,910.139821,1.003208,,8.183102,8.410742,7.919740,8.550965,8.036812,8.238366,8.001762,8.190887,8.589957,8.000672,8.796304,9.176779,8.178552,8.425947,8.336055,8.607848,8.111260,8.324166,8.061808,8.168266,,-4.716358,-0.507621,4.787028,2.401548,-2.230587,1.173103,-0.560537,2.503307,-1.811958,-0.916844,-3.970412,-1.397064,-1.428665,-1.986295,-3.200474,-0.022771,-3.679140,2.934582,0.935721,3.399452,,0.735248
4,312.769244,910.139821,1.003329,,8.116540,8.299930,7.807084,8.400845,8.040539,8.112717,7.885549,8.171572,8.457803,7.788273,8.590602,9.022763,8.044675,8.265732,8.292376,8.489400,7.919297,8.062752,7.916777,8.055607,,-0.406446,2.696838,2.078300,1.201552,-2.064063,-0.070184,2.131711,-0.098906,-4.620209,-2.137262,-1.490896,-2.986237,-2.999681,-1.644981,0.333756,0.466799,-3.265469,0.663993,0.956628,0.808934,,0.865161
5,275.874771,910.139821,1.002540,,7.905671,8.167574,7.705945,8.277251,7.942287,8.028004,7.745488,8.060552,8.300967,7.691353,8.472819,8.843481,7.863780,8.219181,8.236127,8.248241,7.789710,7.944699,7.853475,7.863207,,0.758209,4.900143,3.055144,2.124556,-1.232292,-1.634581,-1.834673,4.066876,-3.291843,-0.202289,-3.150291,0.999577,-0.582398,-0.385582,-3.097795,-1.491463,-2.328863,0.303162,-1.176177,0.714307,,0.964791
6,290.497059,910.139821,1.003987,,7.862425,7.986765,7.556560,8.172673,7.802137,7.950209,7.758954,7.971066,8.179429,7.516723,8.433859,8.697488,7.726767,8.200107,8.133674,8.158302,7.705118,7.906891,7.729323,7.885734,,-1.245652,1.472010,2.225994,4.830573,-2.092027,0.292219,-2.635940,2.153173,-3.517549,-0.362399,-1.122324,0.617452,1.924189,-1.339927,-1.962359,-0.166684,0.205520,3.819149,-1.754942,0.946097,,1.143071
7,259.451056,910.139821,1.002893,,7.768521,7.987126,7.465431,8.083272,7.669797,7.620533,7.581667,7.989085,8.074558,7.410850,8.377094,8.638461,7.810908,8.160138,8.115418,8.042917,7.557225,8.015764,7.619393,7.886860,,0.947113,3.413536,-0.633498,2.266322,-3.595955,-2.909762,0.177868,3.256946,-3.096214,0.791590,-4.154472,3.359728,-3.527261,-2.245375,-1.991031,1.221864,-0.109485,3.525345,0.684980,4.998408,,1.303222
8,259.451056,829.623454,1.002112,,7.706374,7.974197,7.452436,8.002774,7.616889,7.699755,7.313308,7.825005,7.915036,7.214915,8.266430,8.445849,7.590750,7.999937,7.857142,7.860965,7.349212,7.945311,7.437163,7.851237,,0.947113,3.413536,-0.633498,2.266322,-3.595955,-2.909762,0.177868,3.256946,-3.096214,0.791590,-4.154472,3.359728,-3.527261,-2.245375,-1.991031,1.221864,-0.109485,3.525345,0.684980,4.998408,,1.454079
9,259.451056,829.623454,1.000818,,7.581155,7.796589,7.294208,7.894375,7.463924,7.626548,7.083646,7.748877,7.823335,7.066929,8.161494,8.210908,7.551951,7.817772,7.715796,7.690381,7.257638,7.832826,7.376588,7.769910,,0.947113,3.413536,-0.633498,2.266322,-3.595955,-2.909762,0.177868,3.256946,-3.096214,0.791590,-4.154472,3.359728,-3.527261,-2.245375,-1.991031,1.221864,-0.109485,3.525345,0.684980,4.998408,,1.580997
10,241.225038,829.623454,1.004193,,7.449599,7.585864,7.191355,7.809282,7.337572,7.530208,7.022765,7.674628,7.630736,6.892758,8.038286,7.930963,7.526000,7.659458,7.517819,7.441930,7.214171,7.744742,7.247516,7.806011,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,1.760730
11,241.225038,829.623454,1.002337,,7.260763,7.321717,7.176184,7.737764,7.204287,7.434769,6.814831,7.640087,7.629394,6.863361,7.943740,7.833317,7.415304,7.469789,7.330045,7.329962,7.064150,7.620997,7.160677,7.632703,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,1.861405
12,241.225038,829.623454,1.002279,,7.129483,7.200108,7.128471,7.562083,7.140214,7.271048,6.734158,7.515244,7.538740,6.757858,7.824253,7.708887,7.277820,7.327473,7.120005,7.199123,6.963757,7.562908,7.008844,7.521223,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,1.992199
13,241.225038,829.623454,1.000856,,7.057771,7.125116,7.079924,7.520685,7.012382,7.094625,6.649641,7.562498,7.430214,6.704519,7.608847,7.648370,7.316305,7.278671,7.002984,7.140258,6.849563,7.380383,6.960114,7.525200,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,2.116755
14,241.225038,829.623454,1.000786,,6.966778,6.742902,6.847681,7.244557,6.876529,6.998072,6.504146,7.403889,7.241055,6.641393,7.421036,7.557717,7.210498,7.113450,6.929122,6.917494,6.741439,7.202172,6.760272,7.431901,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,2.243903
