min,-5.120000,max,5.120000,populationsize,250,children,40
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],,distance
1,150.903151,599.753422,1.000000,,8.207416,8.221506,9.040351,7.840447,6.910073,8.619768,8.159314,8.863523,9.497813,9.284505,,1.539807,0.103764,1.137692,-1.162024,-1.311650,-0.158897,-1.858437,-1.615697,2.897460,-2.675959,,0.538112
2,96.200254,599.753422,1.000000,,7.987087,7.728139,8.736892,7.518726,6.779122,8.395919,7.954874,8.609760,9.307464,9.001458,,-1.233091,2.479905,0.892110,0.514064,1.063706,-0.019227,-1.408398,1.581442,-1.130408,-0.948120,,0.556838
3,95.581143,599.753422,1.000000,,7.836759,7.577411,8.404002,7.453674,6.576701,8.273424,7.801836,8.518459,9.230374,8.638316,,-1.175083,-0.185578,-2.019959,-0.775058,0.377979,0.058146,-1.183515,-1.527902,-2.548596,-1.021378,,0.556639
4,95.581143,599.753422,1.002438,,7.512941,7.419082,8.330115,7.358374,6.429094,8.021889,7.712554,8.203479,8.990394,8.544892,,-1.175083,-0.185578,-2.019959,-0.775058,0.377979,0.058146,-1.183515,-1.527902,-2.548596,-1.021378,,0.584483
5,95.581143,599.753422,1.000565,,7.321708,7.167536,8.065314,7.154109,6.322910,7.866528,7.543534,8.120839,8.955314,8.462835,,-1.175083,-0.185578,-2.019959,-0.775058,0.377979,0.058146,-1.183515,-1.527902,-2.548596,-1.021378,,0.620094
6,95.581143,599.753422,1.000000,,7.212945,6.911399,8.027508,7.040403,6.061974,7.694786,7.323294,7.842552,8.659390,8.147063,,-1.175083,-0.185578,-2.019959,-0.775058,0.377979,0.058146,-1.183515,-1.527902,-2.548596,-1.021378,,0.655361
7,96.874235,599.753422,1.000000,,7.098154,6.676948,7.763101,6.828488,6.001828,7.656469,7.157169,7.663932,8.338021,7.970910,,-2.120375,-1.088419,-1.592545,-3.000981,-1.027243,-1.825868,-0.374078,-1.729846,-0.044344,0.168014,,0.673440
8,96.874235,599.753422,1.000000,,6.954812,6.507365,7.654134,6.594934,6.024873,7.413382,7.110453,7.546703,8.069889,7.815123,,-2.120375,-1.088419,-1.592545,-3.000981,-1.027243,-1.825868,-0.374078,-1.729846,-0.044344,0.168014,,0.729875
9,96.874235,599.753422,1.000000,,6.742433,6.450137,7.482808,6.487060,5.919440,7.270131,7.019714,7.396531,7.852851,7.736229,,-2.120375,-1.088419,-1.592545,-3.000981,-1.027243,-1.825868,-0.374078,-1.729846,-0.044344,0.168014,,0.751712
10,97.703105,599.753422,1.002078,,6.577581,6.096362,7.305886,6.363803,5.716012,7.133570,6.960886,7.396269,7.710014,7.632241,,-0.102384,-0.198043,-1.319945,0.116950,-1.802953,0.355837,-2.218714,-0.249175,0.869695,-2.029031,,0.782685
11,62.142999,599.753422,1.005304,,6.450846,6.010765,7.282957,6.243438,5.623563,6.957027,6.916021,7.145625,7.407838,7.288838,,-1.203675,0.934464,-1.715728,-0.975138,0.512128,-0.984196,-1.202240,-1.840775,-0.794950,-1.965914,,0.843246
12,62.142999,599.753422,1.000530,,6.420396,5.911443,7.002114,6.024818,5.512871,6.759704,6.849807,6.953569,7.309483,7.146688,,-1.203675,0.934464,-1.715728,-0.975138,0.512128,-0.984196,-1.202240,-1.840775,-0.794950,-1.965914,,0.881378
13,62.142999,599.753422,1.000000,,6.311054,5.648736,6.774227,5.886827,5.323543,6.561428,6.748218,6.915726,6.926707,6.924136,,-1.203675,0.934464,-1.715728,-0.975138,0.512128,-0.984196,-1.202240,-1.840775,-0.794950,-1.965914,,0.894319
14,95.460155,599.753422,1.000000,,6.179280,5.520262,6.670995,5.772482,5.193428,6.583364,6.554874,6.773801,6.837872,6.749732,,-2.016311,1.923369,-1.282395,0.461875,0.440376,-0.701102,-1.222670,0.202958,-0.947546,-0.247211,,0.964328
15,90.045913,599.753422,1.000957,,6.257428,5.590188,6.548590,5.688565,5.110288,6.536269,6.357989,6.648050,6.647926,6.650980,,-1.792786,-3.185699,-0.906378,-2.048670,-2.747119,-2.089008,-1.057357,-2.017121,-1.821815,-1.670991,,0.970817
16,90.045913,599.753422,1.000000,,6.134052,5.434463,6.401291,5.297789,5.048684,6.293733,6.300065,6.579147,6.442015,6.528399,,-1.792786,-3.185699,-0.906378,-2.048670,-2.747119,-2.089008,-1.057357,-2.017121,-1.821815,-1.670991,,1.033767
17,93.612414,599.753422,1.000000,,5.989657,5.227003,6.210842,5.160505,4.878032,5.938909,6.117083,6.348071,6.153158,6.458128,,0.500728,0.998738,-1.833042,0.509344,-1.137787,-2.401958,-1.760571,0.180395,-0.335973,-0.186461,,1.085342
18,93.612414,599.753422,1.000000,,5.969840,5.041701,6.096900,5.012544,4.697100,5.759484,6.133719,6.315638,6.047130,6.302451,,0.500728,0.998738,-1.833042,0.509344,-1.137787,-2.401958,-1.760571,0.180395,-0.335973,-0.186461,,1.187660
19,95.460155,599.753422,1.000000,,5.911556,5.021466,5.963460,4.881692,4.582043,5.763807,6.031247,6.175406,5.846928,6.209689,,-2.016311,1.923369,-1.282395,0.461875,0.440376,-0.701102,-1.222670,0.202958,-0.947546,-0.247211,,1.255295
20,92.800214,599.753422,1.000000,,5.879567,4.999785,5.783055,4.773585,4.486862,5.687561,5.872287,6.091709,5.812112,6.072727,,-0.962239,-0.233799,-2.890323,0.355820,-2.516491,-1.839262,-2.836256,-1.071709,0.975760,-0.844080,,1.298660
