min,-5.000000,max,5.000000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,37876.281993,2097284.462935,1.002551,,7.979508,7.581333,7.300069,8.122117,7.475171,7.806976,7.468698,7.917811,7.687651,7.601856,8.220623,8.680604,7.636760,7.725384,7.475513,8.076664,7.480779,7.991478,7.712230,7.846084,,3.643574,0.673721,-1.128959,3.068231,-2.026914,4.007493,-0.050897,3.903622,0.448201,2.158955,-2.420947,0.428381,0.815168,-3.503424,0.104460,4.410698,-0.335872,2.946600,-2.416719,0.274628,,3.397650
2,37876.281993,2097284.462935,1.004071,,7.877235,7.492925,7.195807,7.939536,7.200226,7.656412,7.209552,7.663430,7.602601,7.519638,8.173084,8.571591,7.494684,7.537234,7.388200,8.033994,7.418241,7.801790,7.532051,7.645963,,3.643574,0.673721,-1.128959,3.068231,-2.026914,4.007493,-0.050897,3.903622,0.448201,2.158955,-2.420947,0.428381,0.815168,-3.503424,0.104460,4.410698,-0.335872,2.946600,-2.416719,0.274628,,3.405404
3,33902.437587,2097284.462935,1.009227,,7.730609,7.289980,7.012898,7.888055,7.032306,7.489264,7.111696,7.465671,7.495536,7.426384,7.996826,8.490377,7.367749,7.275270,7.232860,7.860280,7.456995,7.697377,7.339474,7.531080,,4.646268,-0.071738,1.817328,4.389009,1.029734,0.462952,0.635913,-1.449596,3.066247,0.655327,1.318851,-3.243114,-0.540497,0.424135,3.321239,1.610894,-4.337677,3.450261,0.163909,-2.349444,,3.418116
4,27415.922104,2097284.462935,1.009045,,7.607938,7.175916,6.806821,7.745540,6.811698,7.345174,7.009267,7.396098,7.215231,7.280982,7.909274,8.325652,7.187215,7.136945,7.073990,7.656321,7.298325,7.575245,7.209230,7.560660,,2.168979,-0.751176,0.525069,3.436247,-1.322932,1.604577,-0.095152,-0.076740,-1.014689,-2.163773,3.807644,-1.960086,3.008248,0.749007,2.830360,2.584194,-1.465543,2.761921,2.757927,-2.384080,,3.443404
5,37876.281993,2097284.462935,1.011043,,7.460143,7.037016,6.625467,7.649644,6.619225,7.242048,6.867620,7.229524,7.169963,7.058628,7.829974,8.204125,6.996426,7.002665,6.938172,7.563725,7.241520,7.424071,7.137387,7.353658,,3.643574,0.673721,-1.128959,3.068231,-2.026914,4.007493,-0.050897,3.903622,0.448201,2.158955,-2.420947,0.428381,0.815168,-3.503424,0.104460,4.410698,-0.335872,2.946600,-2.416719,0.274628,,3.454733
6,28703.488366,2097284.462935,1.013134,,7.333827,6.902610,6.425951,7.497454,6.522964,7.077407,6.763586,7.081124,7.043536,6.854893,7.737738,8.139027,6.859400,6.892568,6.848141,7.546813,7.256288,7.225181,7.010543,7.244178,,4.141587,-0.307685,-0.381310,2.853914,-2.157535,2.249608,0.496525,-0.369178,1.771678,0.059664,2.666812,-0.582974,3.365027,-1.318685,-0.548404,3.972941,0.100010,0.465750,1.346170,-2.823915,,3.497240
7,25149.347489,2097284.462935,1.014703,,7.262135,6.777662,6.350899,7.372475,6.507535,6.999511,6.555792,6.989397,6.870028,6.770387,7.572624,8.039935,6.745042,6.815061,6.808147,7.413749,7.208841,7.091664,6.902325,7.056085,,3.526211,0.073022,-0.570332,3.279708,-0.762048,2.019046,-1.289159,1.688448,0.760778,1.094149,3.604183,-0.733382,2.165191,0.107791,2.910973,-3.088753,-1.108294,0.650153,1.065829,-0.393514,,3.523485
8,25149.347489,1836830.256430,1.014920,,7.019914,6.638927,6.145184,7.312036,6.285405,7.019580,6.506802,6.918513,6.752361,6.636356,7.408949,7.922102,6.595801,6.761562,6.698953,7.204361,7.238122,6.840657,6.842825,6.960258,,3.526211,0.073022,-0.570332,3.279708,-0.762048,2.019046,-1.289159,1.688448,0.760778,1.094149,3.604183,-0.733382,2.165191,0.107791,2.910973,-3.088753,-1.108294,0.650153,1.065829,-0.393514,,3.569674
9,25149.347489,1836830.256430,1.016252,,6.823388,6.520564,6.155406,7.190167,6.107141,6.766503,6.324788,6.779198,6.618329,6.496268,7.184640,7.657659,6.478104,6.767587,6.506765,7.090942,7.179231,6.610969,6.813704,6.848672,,3.526211,0.073022,-0.570332,3.279708,-0.762048,2.019046,-1.289159,1.688448,0.760778,1.094149,3.604183,-0.733382,2.165191,0.107791,2.910973,-3.088753,-1.108294,0.650153,1.065829,-0.393514,,3.609242
10,23940.364800,1836830.256430,1.014582,,6.678813,6.396261,6.064950,6.982686,5.913143,6.570425,6.221535,6.680579,6.455518,6.349126,7.002656,7.453379,6.414733,6.694258,6.441525,6.920928,7.097674,6.471955,6.674774,6.733847,,4.290896,-0.660979,-2.267552,3.217084,0.749965,4.537140,-0.574411,-0.197460,0.436245,-1.964235,0.677420,-0.444853,0.140490,0.422441,2.914179,0.840224,0.449937,3.382304,-0.109299,-0.839535,,3.638022
