min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
1,226.212922,510.348002,1.004257,,8.164339,8.457348,8.084517,8.243598,9.204612,8.405866,8.737713,8.989238,9.172701,8.998592,8.552278,8.943293,8.379892,8.760548,9.115044,9.197728,8.517519,8.429443,8.723409,8.592263,,-1.036189,-0.617291,-0.974467,1.085926,-1.136823,-1.726540,1.219304,1.143529,-0.968862,-4.291753,-3.167816,-1.041364,-3.619993,3.606220,-3.994843,1.345704,-1.213144,-0.083147,-1.036720,-0.683967,,0.403509
2,206.039706,510.348002,1.012576,,8.079926,8.374643,7.970719,8.222979,9.123167,8.247554,8.629515,8.776433,8.939594,8.829348,8.425158,8.852868,8.152252,8.554336,8.979106,8.990691,8.311171,8.290788,8.491606,8.566718,,-2.170740,1.155553,3.932693,-0.946102,0.607123,-3.716604,-2.837030,1.103293,-1.087549,-3.816308,0.329957,-2.006037,0.670084,-1.059420,-2.246336,0.929071,1.867809,3.044842,-2.307323,-0.970685,,0.384371
3,206.039706,510.348002,1.017758,,7.946701,8.186861,7.923072,8.070427,8.914368,8.110294,8.563452,8.529163,8.810811,8.739691,8.359245,8.666463,8.081325,8.303165,8.854411,8.937816,8.154781,8.207564,8.262875,8.526630,,-2.170740,1.155553,3.932693,-0.946102,0.607123,-3.716604,-2.837030,1.103293,-1.087549,-3.816308,0.329957,-2.006037,0.670084,-1.059420,-2.246336,0.929071,1.867809,3.044842,-2.307323,-0.970685,,0.407959
4,206.039706,510.348002,1.019192,,7.906563,8.186984,7.921575,8.037297,8.654687,7.909714,8.513027,8.525462,8.646928,8.706687,8.260882,8.566765,7.944120,8.139405,8.543615,8.772382,8.046600,8.032538,8.205964,8.357757,,-2.170740,1.155553,3.932693,-0.946102,0.607123,-3.716604,-2.837030,1.103293,-1.087549,-3.816308,0.329957,-2.006037,0.670084,-1.059420,-2.246336,0.929071,1.867809,3.044842,-2.307323,-0.970685,,0.408909
5,165.920279,510.348002,1.019484,,7.948443,8.125619,7.905301,7.873301,8.568947,7.738496,8.496489,8.375797,8.533175,8.496777,8.192548,8.469053,7.858208,8.074930,8.381602,8.656831,7.883667,7.992220,8.127547,8.340464,,0.031129,2.031878,3.096132,2.191565,0.075134,-4.060887,-1.577542,-1.060717,0.149409,-1.840418,-0.002467,0.799774,0.719707,-1.187969,0.917241,0.056264,0.907112,-0.817746,-1.305622,-3.609983,,0.418883
6,165.920279,510.348002,1.018605,,7.923945,7.847060,7.715864,7.817573,8.391564,7.633827,8.438323,8.207036,8.443544,8.308816,8.041869,8.371560,7.779711,7.941587,8.286571,8.521930,7.797629,7.973912,7.967971,8.193988,,0.031129,2.031878,3.096132,2.191565,0.075134,-4.060887,-1.577542,-1.060717,0.149409,-1.840418,-0.002467,0.799774,0.719707,-1.187969,0.917241,0.056264,0.907112,-0.817746,-1.305622,-3.609983,,0.425874
7,165.920279,510.348002,1.023205,,7.586592,7.857405,7.656007,7.623480,8.120795,7.450612,8.356102,8.173175,8.312403,8.260823,7.934917,8.291275,7.689975,7.837552,8.212785,8.439841,7.699815,7.955668,7.813155,8.175404,,0.031129,2.031878,3.096132,2.191565,0.075134,-4.060887,-1.577542,-1.060717,0.149409,-1.840418,-0.002467,0.799774,0.719707,-1.187969,0.917241,0.056264,0.907112,-0.817746,-1.305622,-3.609983,,0.420946
8,208.980146,510.348002,1.023284,,7.526405,7.620380,7.597639,7.506276,7.955959,7.291504,8.400348,8.162925,8.088235,8.092602,7.875364,8.274570,7.672066,7.740905,8.043837,8.347213,7.592055,7.915691,7.660048,7.829259,,-0.433706,0.058260,-1.071136,0.808611,3.091462,-1.831769,0.930928,-2.563529,1.182635,0.077665,1.223514,-0.548845,-0.948078,-2.135478,-3.017757,-3.217974,4.010799,-0.476081,2.142314,-1.276412,,0.411252
9,208.980146,510.348002,1.025585,,7.345188,7.621155,7.499580,7.532185,7.936390,7.132172,8.336441,8.140283,8.063504,7.887858,7.708062,8.302512,7.482838,7.584020,7.758552,8.333107,7.493967,7.881191,7.485384,7.753050,,-0.433706,0.058260,-1.071136,0.808611,3.091462,-1.831769,0.930928,-2.563529,1.182635,0.077665,1.223514,-0.548845,-0.948078,-2.135478,-3.017757,-3.217974,4.010799,-0.476081,2.142314,-1.276412,,0.439777
10,208.980146,510.348002,1.023936,,7.204200,7.531278,7.416814,7.415560,7.769553,6.940373,8.211256,8.063099,7.839595,7.831309,7.766834,8.142711,7.399531,7.471756,7.699303,8.133357,7.326249,7.774499,7.350108,7.721764,,-0.433706,0.058260,-1.071136,0.808611,3.091462,-1.831769,0.930928,-2.563529,1.182635,0.077665,1.223514,-0.548845,-0.948078,-2.135478,-3.017757,-3.217974,4.010799,-0.476081,2.142314,-1.276412,,0.438155
